"time" "Srxn1_max" "NRF2_max" "Fraction_X_max" "time2" "Srxn1_mean" "NRF2_mean" "Fraction_X_mean" "time3" "Srxn1_min" "NRF2_min" "Fraction_X_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"1" 0 0 0 0.001 0 0 0 0.001 0 0 0 0.001 0.1 0 "simulation1" 0 0
"2" 1 0.0224429397075196 0 0.00191250814637267 1 0.0224429397075196 0 0.00191250814637267 1 0.0224429397075196 0 0.00191250814637267 0.1 0 "simulation1" 0 0
"3" 2 0.0445343434779266 0 0.00364855138955103 2 0.0445343434779266 0 0.00364855138955103 2 0.0445343434779266 0 0.00364855138955103 0.1 0 "simulation1" 0 0
"4" 3 0.0662807960947727 0.0357295051171416 0.00691604061977391 3 0.0662807960947709 0.0119098350390472 0.00691604061977391 3 0.0662807960947709 0 0.00691604061977391 0.1 0 "simulation1" 0 0
"5" 4 0.0876861412083882 0.0827525807109641 0.0128999930583945 4 0.0876861412079398 0.0500831830314351 0.0128999930583945 4 0.0876861412079386 0 0.0128999930583945 0.1 0 "simulation1" 0.00269160659017544 0.00466199936817108
"6" 5 0.108756749289188 0.068602049698552 0.023138976814242 5 0.108756749162504 0.0385900681089265 0.023138976814242 5 0.108756749162416 0 0.023138976814242 0.1 0 "simulation1" 0.0258246894084676 0.0338591146200284
"7" 6 0.129497736633794 0.078972629113109 0.038064326963386 6 0.129497678692733 0.0368605762946538 0.038064326963386 6 0.129497678684857 0 0.038064326963386 0.1 0 "simulation1" 0.051617773625682 0.0456179873952303
"8" 7 0.149916188532345 0.0960620986848184 0.0534107943901927 7 0.14991409218977 0.0389626491341931 0.0534107943901927 7 0.149914092042366 0 0.0534107943901927 0.1 0 "simulation1" 0.131658050886782 0.0626158979667499
"9" 8 0.170017595559622 0.0799236191686437 0.0604806119517437 8 0.170011068189318 0.037912245966052 0.0604806119517437 8 0.170011067309439 0 0.0604806119517437 0.1 0 "simulation1" 0.177959898214575 0.0595383811174125
"10" 9 0.189802527390561 0.0748217184681677 0.0563166088724317 9 0.189793599658926 0.0362396262502308 0.0563166088724317 9 0.189793598068552 0 0.0563166088724317 0.1 0 "simulation1" 0.225535384204931 0.0645820728062604
