"time" "Srxn1_max" "NRF2_max" "Fraction_X_max" "time2" "Srxn1_mean" "NRF2_mean" "Fraction_X_mean" "time3" "Srxn1_min" "NRF2_min" "Fraction_X_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"1" 0 0 0 0.001 0 0 0 0.001 0 0 0 0.001 0.01 0.01 "simulation1" 0 0
"2" 1 0.0224429397075197 0.0312671240046491 0.00318820710112109 1 0.0224429397075196 0.0104223746682164 0.00318820710112109 1 0.0224429397075196 0 0.00318820710112109 0.01 0.01 "simulation1" 0 0
"3" 2 0.0445347208681726 0.105971608803237 0.010099670443294 2 0.044534230935599 0.0376016997516232 0.010099670443294 2 0.0445343434778914 0 0.010099670443294 0.01 0.01 "simulation1" 0 0
"4" 3 0.0666810812001203 0.293427014004684 0.0312928372548655 3 0.0662934833740849 0.211461661456896 0.0312928372548655 3 0.0662808316406547 0.0590057638631851 0.0312928372548655 0.01 0.01 "simulation1" 0 0
"5" 4 0.398725624377955 0.427854278621995 0.0902248939569184 4 0.240408197241678 0.28412730631736 0.0902248939569184 4 0.0878211339689185 0.0986151593226372 0.0902248939569184 0.01 0.01 "simulation1" 0.0456143815102565 0.0790064263315947
"6" 5 0.855632648623372 0.461070338793521 0.21406758993616 5 0.540420002193316 0.288866572743445 0.21406758993616 5 0.153944839954015 0.0855158339232409 0.21406758993616 0.01 0.01 "simulation1" 0.458206370054939 0.384583525654451
"7" 6 1.24173059578433 0.45900780951245 0.357588634235358 6 0.784760717412019 0.276355220854778 0.357588634235358 6 0.224241964537376 0.0479255836342044 0.357588634235358 0.01 0.01 "simulation1" 1.18248249689589 0.78629025174771
"8" 7 1.55499421080288 0.441760239582037 0.424564666650019 7 0.986983404366748 0.28360849617388 0.424564666650019 7 0.285255483265199 0.077964896906681 0.424564666650019 0.01 0.01 "simulation1" 1.93604642201763 1.119548739004
"9" 8 1.84656344677199 0.449495408098629 0.420414433736374 8 1.18180196090441 0.28823754161318 0.420414433736374 8 0.343167359723429 0.0459946742964256 0.420414433736374 0.01 0.01 "simulation1" 2.5202798721767 1.45386765887852
"10" 9 2.13615915452521 0.420711808750109 0.389906227242388 9 1.38324220961333 0.292555230254149 0.389906227242388 9 0.402841908481991 0.0844806404697088 0.389906227242388 0.01 0.01 "simulation1" 2.92503985244007 1.6102550165956
"11" 10 2.43185085896308 0.433429113291715 0.354450534567555 10 1.59515274075225 0.295350870946989 0.354450534567555 10 0.486673666703413 0.101847804846855 0.354450534567555 0.01 0.01 "simulation1" 3.15701839072001 1.77519858419384
"12" 11 2.74656377466378 0.433802763927965 0.320363170634371 11 1.82121640871636 0.306874577530659 0.320363170634371 11 0.580516682019609 0.108214189476091 0.320363170634371 0.01 0.01 "simulation1" 3.40290676862594 1.93747781042471
"13" 12 3.06997772719102 0.426946331393913 0.289079367359083 12 2.06148096770475 0.311887745545506 0.289079367359083 12 0.69058290830301 0.137831913192291 0.289079367359083 0.01 0.01 "simulation1" 3.45558117811243 1.99159069528989
"14" 13 3.38930573364946 0.411021068965683 0.260729536664501 13 2.31824604178894 0.330960192846722 0.260729536664501 13 0.835318078360502 0.176367149720148 0.260729536664501 0.01 0.01 "simulation1" 3.59730351863425 2.03804667064041
"15" 14 3.75718091629183 0.510364983724561 0.235129178609131 14 2.60229693107197 0.356291219083066 0.235129178609131 14 0.976722405434197 0.127649755950109 0.235129178609131 0.01 0.01 "simulation1" 3.75077302601785 2.13366552554365
