"time" "Srxn1_max" "NRF2_max" "Fraction_X_max" "time2" "Srxn1_mean" "NRF2_mean" "Fraction_X_mean" "time3" "Srxn1_min" "NRF2_min" "Fraction_X_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"1" 0 0 0 0.001 0 0 0 0.001 0 0 0 0.001 0.01 0 "simulation1" 0 0
"2" 1 0.02244293970752 0 0.00318820710112109 1 0.0224429397075196 0 0.00318820710112109 1 0.0224429397075196 0 0.00318820710112109 0.01 0 "simulation1" 0.0206151052036572 0.0357064096161118
"3" 2 0.0445347133814957 0.127807609815882 0.010099670443294 2 0.0445347184092162 0.0933434088315217 0.010099670443294 2 0.0445347264596954 0.0489223729760846 0.010099670443294 0.01 0 "simulation1" 0.00635713381428761 0.0110108787568603
"4" 3 0.0690159533689058 0.350356075783782 0.0312928372548655 3 0.0669435783222864 0.307048440067191 0.0312928372548655 3 0.0664504473205091 0.270704986869101 0.0312928372548655 0.01 0 "simulation1" 0.00571562902079323 0.00989975986122902
"5" 4 0.455310838059634 0.419408116159029 0.0902248939569184 4 0.382381534164872 0.376152319692248 0.0902248939569184 4 0.300919698360014 0.309276894866879 0.0902248939569184 0.01 0 "simulation1" 0.0873085223909596 0.129501865371566
"6" 5 0.866402120056316 0.378661155448677 0.21406758993616 5 0.757720616382454 0.346312491886756 0.21406758993616 5 0.626757002584009 0.31164012386266 0.21406758993616 0.01 0 "simulation1" 0.49227948750499 0.407683128825954
"7" 6 1.16518636874551 0.337100712060526 0.357588634235358 6 1.02853730226871 0.294858082062442 0.357588634235358 6 0.863825071546571 0.240769480320316 0.357588634235358 0.01 0 "simulation1" 1.13165342862661 0.671607815924398
"8" 7 1.40818932068519 0.364881776767657 0.424564666650019 7 1.24246918263451 0.31291509961402 0.424564666650019 7 1.05254369222659 0.285827701046329 0.424564666650019 0.01 0 "simulation1" 1.78510468867906 0.850466124470898
"9" 8 1.66689958437368 0.417638498835913 0.420414433736374 8 1.45114627334432 0.310625342645981 0.420414433736374 8 1.23565728371525 0.249072821603339 0.420414433736374 0.01 0 "simulation1" 2.28401808479663 0.94173901641985
"10" 9 1.94824181468939 0.409125122168378 0.389906227242388 9 1.65677663035538 0.295874550916987 0.389906227242388 9 1.40057777074367 0.234084255675644 0.389906227242388 0.01 0 "simulation1" 2.66975781070753 1.07299980208568
"11" 10 2.20786713074738 0.336792424217526 0.354450534567555 10 1.86760896443537 0.301826510895049 0.354450534567555 10 1.58403486069498 0.275662363119151 0.354450534567555 0.01 0 "simulation1" 3.03048883572715 1.13678370522736
"12" 11 2.45030374150707 0.340730701040589 0.320363170634371 11 2.09173421496473 0.305701772177425 0.320363170634371 11 1.79471478975546 0.282280417898902 0.320363170634371 0.01 0 "simulation1" 3.15837047241884 1.1754179981145
"13" 12 2.71297600273512 0.35653443383263 0.289079367359083 12 2.32418079822612 0.303256277512646 0.289079367359083 12 2.01112979218835 0.275390525838502 0.289079367359083 0.01 0 "simulation1" 3.36730978409643 1.32667662472098
"14" 13 2.98577759953634 0.344871746515581 0.260729536664501 13 2.56329642321078 0.304930553001357 0.260729536664501 13 2.23419439001715 0.282828711860979 0.260729536664501 0.01 0 "simulation1" 3.5077450507889 1.33756539858224
"15" 14 3.24984827577106 0.325860405865129 0.235129178609131 14 2.80370975281735 0.294141680668652 0.235129178609131 14 2.46021598690879 0.271180158693087 0.235129178609131 0.01 0 "simulation1" 3.81319270179206 1.51466217243182
"16" 15 3.51544594849412 0.336659423156775 0.212034622377939 15 3.04590285270337 0.298788578179037 0.212034622377939 15 2.68539330502732 0.271047456501517 0.212034622377939 0.01 0 "simulation1" 4.01190279139979 1.62188854487075
"17" 16 3.79486106580302 0.3445779517848 0.191206437613498 16 3.29229367343856 0.294873876859735 0.191206437613498 16 2.90189052200963 0.244037241073338 0.191206437613498 0.01 0 "simulation1" 4.30710889175885 1.7469155056543
"18" 17 4.08569580341067 0.355290113232437 0.1724237008875 17 3.5417288413783 0.301514984967928 0.1724237008875 17 3.11037163037591 0.255021479563186 0.1724237008875 0.01 0 "simulation1" 4.78711243253519 1.88034180917292
"19" 18 4.3994148434376 0.382180578709345 0.155485915333096 18 3.81184644602493 0.328961580063204 0.155485915333096 18 3.34698438998574 0.291778419598357 0.155485915333096 0.01 0 "simulation1" 5.03991580740598 1.87234731625962
"20" 19 4.71643163224092 0.359355710604009 0.140211955117065 19 4.09129918539772 0.316988571374978 0.140211955117065 19 3.60014482032547 0.284959457861658 0.140211955117065 0.01 0 "simulation1" 5.35972103731576 2.07107597966762
"21" 20 5.0248873009455 0.365074808852401 0.126438404519146 20 4.36547639996206 0.320034980579365 0.126438404519146 20 3.84984022406532 0.288018509390859 0.126438404519146 0.01 0 "simulation1" 5.75890659649436 2.21441206115407
"22" 21 5.3316845910405 0.353270138770749 0.114017879761039 21 4.64798179389211 0.329803631384799 0.114017879761039 21 4.11397649832933 0.308310459131913 0.114017879761039 0.01 0 "simulation1" 6.10939479794089 2.50999400891338
"23" 22 5.62868375059527 0.35032156328009 0.102817469789605 22 4.93162795785275 0.323501039574371 0.102817469789605 22 4.37604921612944 0.286244652599653 0.102817469789605 0.01 0 "simulation1" 6.2741886928559 2.57923810651665
"24" 23 5.94540748733864 0.384111548547884 0.0927173185505679 23 5.21972930317867 0.337806609165772 0.0927173185505679 23 4.63373480279002 0.302611362193538 0.0927173185505679 0.01 0 "simulation1" 6.4927448870946 2.72349000435287
"25" 24 6.2478570383888 0.335393945175431 0.0836093435600304 24 5.50103812170826 0.318417809638215 0.0836093435600304 24 4.89567647814821 0.298340787847515 0.0836093435600304 0.01 0 "simulation1" 6.72288419822693 2.71388002520117
"26" 25 6.54720350336778 0.442642946752092 0.173773943450445 25 5.77768465331518 0.388434035989262 0.173773943450445 25 5.15542255524288 0.353960301597127 0.173773943450445 0.01 0 "simulation1" 5.24585448817588 0.617223345739592
"27" 26 6.77254661642425 0.184305246741941 0.162025750933881 26 5.98418366814046 0.175654045815428 0.162025750933881 26 5.35254803325019 0.170698894116257 0.162025750933881 0.01 0 "simulation1" 4.86822504960557 0.735398554452473
"28" 27 6.82253338243137 0.119499090710436 0.151071808836371 27 6.0263378610657 0.0955865627458126 0.151071808836371 27 5.38746789503465 0.083369923880118 0.151071808836371 0.01 0 "simulation1" 5.12540718110354 0.788399020193219
"29" 28 6.8424118203602 0.124460941884771 0.140858420921045 28 5.99764180696494 0.0983436660853944 0.140858420921045 28 5.33683770399533 0.0753361952291871 0.140858420921045 0.01 0 "simulation1" 5.57953865240823 0.67464382020558
"30" 29 6.89517606291826 0.160802715491563 0.131335521148493 29 6.00986293321581 0.12582559748534 0.131335521148493 29 5.28145249028797 0.0784582089046572 0.131335521148493 0.01 0 "simulation1" 6.13128240609904 0.604961168355613
"31" 30 6.9698616844003 0.163623709078834 0.122456428252982 30 6.04631660576148 0.128467323601588 0.122456428252982 30 5.22265778909519 0.0602843782379904 0.122456428252982 0.01 0 "simulation1" 6.52955268480526 0.292708803081347
"32" 31 7.03472714757066 0.152976603989826 0.114177616910836 31 6.06205082319075 0.123600682695295 0.114177616910836 31 5.16439093258162 0.0851657226387271 0.114177616910836 0.01 0 "simulation1" 6.62621743011428 0.25680998031601
"33" 32 7.1029720245306 0.175865224245392 0.106458504379253 32 6.07906075723693 0.140854519759548 0.106458504379253 32 5.1103745130043 0.0923916303909617 0.106458504379253 0.01 0 "simulation1" 6.91575364428045 0.154719615562087
"34" 33 7.19795142542813 0.194695897866156 0.0992612515596456 33 6.08693247685153 0.131938456984421 0.0992612515596456 33 5.05394456379903 0.0679790479084434 0.0992612515596456 0.01 0 "simulation1" 6.87197976431044 0.117449288213413
"35" 34 7.31574233122599 0.214575808579839 0.0925505775103432 34 6.07357414504979 0.143257947323966 0.0925505775103432 34 4.99740032310537 0.0764559571157485 0.0925505775103432 0.01 0 "simulation1" 6.60593380275494 0.213903579133726
"36" 35 7.42916464459352 0.199104937960972 0.0862935864993705 35 6.05148120927461 0.140577369473344 0.0862935864993705 35 4.94175696360878 0.0777818273391793 0.0862935864993705 0.01 0 "simulation1" 6.50070167849042 0.362476219758814
"37" 36 7.5212818312646 0.205884589468328 0.0804596067495324 36 6.01011578075813 0.144422658925884 0.0804596067495324 36 4.88697350237194 0.0844576888412002 0.0804596067495324 0.01 0 "simulation1" 6.40589232972017 0.362372295936897
"38" 37 7.63812347234486 0.233886783082751 0.0750200400853269 37 5.95801696962738 0.143508570943975 0.0750200400853269 37 4.83298732430643 0.0683958123464923 0.0750200400853269 0.01 0 "simulation1" 6.27846220354124 0.447113485776292
"39" 38 7.73813737962165 0.207809594881176 0.0699482217446554 38 5.9000729421784 0.149227150660056 0.0699482217446554 38 4.77982700778983 0.0870366809348707 0.0699482217446554 0.01 0 "simulation1" 6.00894113542719 0.337827300489501
"40" 39 7.71555187537445 0.180778665774556 0.0652192896681275 39 5.83507244107929 0.133411822838478 0.0652192896681275 39 4.72749765036435 0.074917271509456 0.0652192896681275 0.01 0 "simulation1" 5.75749212761622 0.32220971529054
"41" 40 7.75389361991966 0.259923188975719 0.0608100626252179 40 5.77104419930993 0.166032834212446 0.0608100626252179 40 4.67603607496547 0.116665463950982 0.0608100626252179 0.01 0 "simulation1" 5.57344511868089 0.44635182838064
"42" 41 7.76893787062461 0.185531336549966 0.0566989265798469 41 5.70815284456288 0.149966218651998 0.0566989265798469 41 4.62550669631883 0.116951353413831 0.0566989265798469 0.01 0 "simulation1" 5.36359319628085 0.477562840908656
"43" 42 7.68932895612162 0.21052542299228 0.0528657287383503 42 5.64206531984463 0.138594486943117 0.0528657287383503 42 4.57561673549071 0.0950144763017553 0.0528657287383503 0.01 0 "simulation1" 5.19826174464129 0.502238522365721
"44" 43 7.60396186884461 0.181798411206416 0.0492916787604621 43 5.57645015776289 0.136241741510357 0.0492916787604621 43 4.52647150957087 0.0941377438685777 0.0492916787604621 0.01 0 "simulation1" 5.03974391846587 0.616175016769248
"45" 44 7.51056876356179 0.1953316992258 0.0459592566490442 44 5.51173243994943 0.133673336746367 0.0459592566490442 44 4.47809185279614 0.0743567848521497 0.0459592566490442 0.01 0 "simulation1" 4.7200230326712 0.631803285331579
