"time" "Srxn1_max" "NRF2_max" "Fraction_X_max" "time2" "Srxn1_mean" "NRF2_mean" "Fraction_X_mean" "time3" "Srxn1_min" "NRF2_min" "Fraction_X_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"1" 0 0 0 0.001 0 0 0 0.001 0 0 0 0.001 1 1 "simulation1" 0 0
"2" 1 0.0224429397075214 0.155143413731501 0.002943666652518 1 0.0224429397075196 0.077456474442253 0.002943666652518 1 0.0224429397075196 0.0327705029620649 0.002943666652518 1 1 "simulation1" 0.000140475016591202 0.000243309865930042
"3" 2 0.0445343431092234 0.122510918146088 0.00861797995267028 2 0.0445343434766114 0.0638467617620027 0.00861797995267028 2 0.0445343434779264 0.015663552052956 0.00861797995267028 1 1 "simulation1" 0 0
"4" 3 0.0662808442753128 0.127748892819921 0.0247831176104602 3 0.0662808148371108 0.0769294526358063 0.0247831176104602 3 0.0662807960982912 0.03842589214063 0.0247831176104602 1 1 "simulation1" 0 0
"5" 4 0.0888466366724059 0.156325379527633 0.0674034111507033 4 0.0876878744442348 0.0824689570894906 0.0674034111507033 4 0.087686358054727 0.0364225392506602 0.0674034111507033 1 1 "simulation1" 0.000500748064606066 0.000867321089689489
"6" 5 0.243274737340401 0.179753301723332 0.157609898831033 5 0.122543941117004 0.0943137318555057 0.157609898831033 5 0.108774632623321 0.0467396158395975 0.157609898831033 1 1 "simulation1" 0.0142619807332477 0.0161229975235784
"7" 6 0.411599574140073 0.149950757924022 0.274443319709444 6 0.216478140002785 0.0789847594976047 0.274443319709444 6 0.131178420856964 0.0391455121769322 0.274443319709444 1 1 "simulation1" 0.0646830175775451 0.0439033298990573
"8" 7 0.533694589051963 0.124692053990885 0.341431345547393 7 0.285882935659937 0.0549304872603967 0.341431345547393 7 0.152187126400078 0.01131767709486 0.341431345547393 1 1 "simulation1" 0.107274793500007 0.0856060864007934
"9" 8 0.641615166830806 0.130096323350021 0.3431684902918 8 0.347381030259621 0.072184693131797 0.3431684902918 8 0.172247215170119 0.011279983705608 0.3431684902918 1 1 "simulation1" 0.20085513611343 0.1700362744614
"10" 9 0.785958792133764 0.210948728744419 0.315755903204502 9 0.448554395172548 0.14019274105291 0.315755903204502 9 0.202271362249224 0.0508043428362157 0.315755903204502 1 1 "simulation1" 0.322563104446921 0.265085432953759
"11" 10 0.933482230959874 0.12602518794926 0.282055855422312 10 0.54804002210378 0.0689344079082957 0.282055855422312 10 0.234299467005053 0.0237012505337086 0.282055855422312 1 1 "simulation1" 0.254179283732334 0.240141337261004
"12" 11 1.04141897425598 0.123424457357792 0.249650938710811 11 0.609559616324806 0.0630432762888777 0.249650938710811 11 0.253078284450713 0.0144392339156661 0.249650938710811 1 1 "simulation1" 0.25704474247161 0.24787889495843
"13" 12 1.17546287821498 0.165150224030949 0.220357129071387 12 0.683310351956298 0.0889474228400002 0.220357129071387 12 0.271561458180077 0.0151826630451524 0.220357129071387 1 1 "simulation1" 0.259135184915528 0.236559779587553
"14" 13 1.31061673167921 0.120217763646601 0.194339016468906 13 0.762013416864744 0.0755641299094263 0.194339016468906 13 0.289758226154987 0.0307206914163027 0.194339016468906 1 1 "simulation1" 0.252676410392377 0.223067072478369
"15" 14 1.4123747198017 0.105585160613844 0.171350320298136 14 0.802543999143895 0.0713218982673225 0.171350320298136 14 0.307695432139284 0.039730262248308 0.171350320298136 1 1 "simulation1" 0.231911405138669 0.207150799183072
"16" 15 1.52292067389765 0.130544756586773 0.151069770259724 15 0.825491901617391 0.0744164860642684 0.151069770259724 15 0.325339038017547 0.0338322948121381 0.151069770259724 1 1 "simulation1" 0.236447301059835 0.185953616165615
"17" 16 1.60049873419071 0.0902304415255729 0.133186612590642 16 0.84084345193949 0.0745452304001687 0.133186612590642 16 0.342695989063784 0.0431830097308231 0.133186612590642 1 1 "simulation1" 0.23704924554226 0.181111834835722
"18" 17 1.62916079605014 0.113568470543919 0.117419627028285 17 0.853483266667556 0.0844128226366214 0.117419627028285 17 0.359789535157133 0.0505656978663634 0.117419627028285 1 1 "simulation1" 0.246832682963561 0.183241669187422
"19" 18 1.67173859350975 0.118440347105796 0.103518973941723 18 0.864401673260852 0.0802944307646577 0.103518973941723 18 0.37660887205176 0.0315859299475847 0.103518973941723 1 1 "simulation1" 0.25914316881007 0.177270227068517
"20" 19 1.68207174577811 0.105581474157575 0.0912638873869924 19 0.873741351935202 0.0828894593198487 0.0912638873869924 19 0.39315930468239 0.0461937055743058 0.0912638873869924 1 1 "simulation1" 0.26703020123641 0.214088642793498
"21" 20 1.68037233049873 0.107287113645715 0.0804596041637695 20 0.88266267185873 0.081359660384277 0.0804596041637695 20 0.409450905491564 0.0452993351461989 0.0804596041637695 1 1 "simulation1" 0.286911854630456 0.226315439486581
"22" 21 1.67701594398972 0.0980690937931095 0.0709343831955975 21 0.89132024621297 0.0748306906812384 0.0709343831955975 21 0.425487336882741 0.0383600508184013 0.0709343831955975 1 1 "simulation1" 0.265018437286327 0.237047711470198
"23" 22 1.67352705099245 0.123880034662166 0.0625368057937424 22 0.899822206354398 0.0813548966380911 0.0625368057937424 22 0.441272452127003 0.0326867532644359 0.0625368057937424 1 1 "simulation1" 0.282961760754787 0.251873160827526
"24" 23 1.67007958526167 0.120564525392288 0.0551333765690959 23 0.908189705025535 0.0817342505323118 0.0551333765690959 23 0.456810741525672 0.0320982112899888 0.0551333765690959 1 1 "simulation1" 0.297895758378141 0.263401837734726
"25" 24 1.66649036922181 0.130921180953685 0.0486064033658349 24 0.916423527810353 0.0754143478496615 0.0486064033658349 24 0.47210591428434 0.0231978071526316 0.0486064033658349 1 1 "simulation1" 0.315200964087692 0.277276128992288
"26" 25 1.66289136688707 0.113415942586457 0.0428521268637604 25 0.92452779355616 0.0760338707635576 0.0428521268637604 25 0.487161774059495 0.0339201077855181 0.0428521268637604 1 1 "simulation1" 0.315612076726627 0.274953007379777
"27" 26 1.65931835307231 0.102777425885219 0.0377790712613652 26 0.932505121108253 0.0697291540263547 0.0377790712613652 26 0.501982069009082 0.00542669072510193 0.0377790712613652 1 1 "simulation1" 0.322994455470266 0.288577466687032
"28" 27 1.65579918825102 0.11551957506582 0.0333065901222423 27 0.940357604091001 0.0689225914447176 0.0333065901222423 27 0.516570480256417 0.0157654699997026 0.0333065901222423 1 1 "simulation1" 0.290600627207233 0.26869571487231
"29" 28 1.65233491359735 0.12022288014529 0.0293635843476394 28 0.948087168276156 0.068896275777377 0.0293635843476394 28 0.530930636369748 0.00318089945983108 0.0293635843476394 1 1 "simulation1" 0.308582238521445 0.277681984115544
"30" 29 1.64892462319959 0.115507835283743 0.0258873719156931 29 0.95569578271483 0.0659994123136619 0.0258873719156931 29 0.545066109107262 0.00678557689332687 0.0258873719156931 1 1 "simulation1" 0.272605904527187 0.245878405314723
"31" 30 1.64556757526442 0.0916051778721669 0.0228226914250888 30 0.963185205228766 0.0587364504204057 0.0228226914250888 30 0.558980413931536 0.0115494786553153 0.0228226914250888 1 1 "simulation1" 0.247482927895294 0.219351374480464
"32" 31 1.64226303203049 0.0928348602977269 0.0201208236039174 31 0.970557490165577 0.0602353941654729 0.0201208236039174 31 0.57267701127519 0.0248858222014819 0.0201208236039174 1 1 "simulation1" 0.256332489304771 0.233332905288249
"33" 32 1.639010236381 0.104811988864696 0.0177388168187245 32 0.977814425934091 0.0690732561214546 0.0177388168187245 32 0.586159307479899 0.0142063213005483 0.0177388168187245 1 1 "simulation1" 0.236267707029909 0.21809117673518
"34" 0 0 0 0.001 0 0 0 0.001 0 0 0 0.001 2.15 2.15 "simulation2" 0 0
"35" 1 0.0224429397075644 0.171541272645725 0.002943666652518 1 0.0224429397075196 0.0646656129222227 0.002943666652518 1 0.0224429397075196 0 0.002943666652518 2.15 2.15 "simulation2" 0 0
"36" 2 0.0445343266290167 0.172533411260367 0.00861797995267028 2 0.0445343434758963 0.0659241987964593 0.00861797995267028 2 0.0445343434779266 0 0.00861797995267028 2.15 2.15 "simulation2" 0 0
"37" 3 0.0662812585680643 0.180028395330241 0.0247831176104602 3 0.0662808509623191 0.0805624414867262 0.0247831176104602 3 0.0662807960947709 0 0.0247831176104602 2.15 2.15 "simulation2" 0.000806585228684868 0.00139704659671675
"38" 4 0.105322058202468 0.207445054782323 0.0674034111507033 4 0.087691156118785 0.0908531734607023 0.0674034111507033 4 0.0876861412079386 0 0.0674034111507033 2.15 2.15 "simulation2" 0.00878247591809778 0.0152116945063955
"39" 5 0.328601270054162 0.211635273648129 0.157609898831033 5 0.119147310237405 0.0891095498372791 0.157609898831033 5 0.108756749162416 0 0.157609898831033 2.15 2.15 "simulation2" 0.0407482501010965 0.0530024858023781
"40" 6 0.533044641090702 0.204194369297461 0.274443319709444 6 0.212298519921606 0.0891904780105807 0.274443319709444 6 0.129497678684857 0 0.274443319709444 2.15 2.15 "simulation2" 0.133617179348608 0.0393643936138802
"41" 7 0.700134847128423 0.18728120543568 0.341431345547393 7 0.300751933327119 0.0883053449835636 0.341431345547393 7 0.149914092042366 0 0.341431345547393 2.15 2.15 "simulation2" 0.258761841201545 0.0296866894799898
"42" 8 0.854559532950903 0.197366082628918 0.3431684902918 8 0.383424102963155 0.0868376176242947 0.3431684902918 8 0.170011067309439 0 0.3431684902918 2.15 2.15 "simulation2" 0.336838060646382 0.0520518671256229
"43" 9 1.0183160292643 0.205985901562618 0.315755903204502 9 0.469474788915312 0.0946600225929848 0.315755903204502 9 0.189793598068552 0 0.315755903204502 2.15 2.15 "simulation2" 0.520057202412291 0.167081885078543
"44" 10 1.19135690739524 0.207555892144585 0.282055855422312 10 0.554854991825137 0.0816431127964903 0.282055855422312 10 0.209266604834128 0 0.282055855422312 2.15 2.15 "simulation2" 0.492255599096282 0.181108425438277
"45" 11 1.36428845988636 0.194924814093018 0.249650938710811 11 0.639023795373111 0.08796812972321 0.249650938710811 11 0.228434931003092 0 0.249650938710811 2.15 2.15 "simulation2" 0.545692737019015 0.201894902385819
