"time" "Srxn1_max" "NRF2_max" "Fraction_X_max" "time2" "Srxn1_mean" "NRF2_mean" "Fraction_X_mean" "time3" "Srxn1_min" "NRF2_min" "Fraction_X_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"1" 0 0 0 0.001 0 0 0 0.001 0 0 0 0.001 1 0 "simulation1" 0 0
"2" 1 0.0224429397075196 0.0274554030660362 0.002943666652518 1 0.0224429397075196 0.00915180102201207 0.002943666652518 1 0.0224429397075196 0 0.002943666652518 1 0 "simulation1" 0.00516565776793867 0.00792618035764297
"3" 2 0.0445343434779266 0.0197475961248857 0.00861797995267028 2 0.0445343434779266 0.00658253204162858 0.00861797995267028 2 0.0445343434779266 0 0.00861797995267028 1 0 "simulation1" 0 0
"4" 3 0.0662807975950951 0.0302436353215553 0.0247831176104602 3 0.0662807960947811 0.0100812117738518 0.0247831176104602 3 0.0662807960947709 0 0.0247831176104602 1 0 "simulation1" 0 0
"5" 4 0.0876864826936576 0.0740413604489711 0.0674034111507033 4 0.0876861460473113 0.0246804534829904 0.0674034111507033 4 0.0876861412079386 0 0.0674034111507033 1 0 "simulation1" 0 0
"6" 5 0.124968673196558 0.0979580440205445 0.157609898831033 5 0.108757152913507 0.0326526813401815 0.157609898831033 5 0.108756749162416 0 0.157609898831033 1 0 "simulation1" 0.00198917720309534 0.00344535598101888
"7" 6 0.230242966832011 0.0996842973229084 0.274443319709444 6 0.129620374821676 0.0332280991076361 0.274443319709444 6 0.129497678684857 0 0.274443319709444 1 0 "simulation1" 0.0814000660417186 0.0797380751374406
"8" 7 0.337656396285813 0.128146152761345 0.341431345547393 7 0.158617490874029 0.0427153842537817 0.341431345547393 7 0.149914092042366 0 0.341431345547393 1 0 "simulation1" 0.228673301726573 0.125670055043153
"9" 8 0.446930574005004 0.118178085859397 0.3431684902918 8 0.197232249767485 0.0393926952864657 0.3431684902918 8 0.170011067309439 0 0.3431684902918 1 0 "simulation1" 0.332053599836394 0.207185588377446
"10" 9 0.561190011990093 0.138477505423406 0.315755903204502 9 0.23652095433322 0.0461591684744687 0.315755903204502 9 0.189793598068552 0 0.315755903204502 1 0 "simulation1" 0.372525706609894 0.200603841387559
"11" 10 0.672846390532463 0.107348752918365 0.282055855422312 10 0.265569958761405 0.0357829176394549 0.282055855422312 10 0.209266604834128 0 0.282055855422312 1 0 "simulation1" 0.371944279641136 0.198460843768333
"12" 11 0.784913517413619 0.133529378730899 0.249650938710811 11 0.28656948648732 0.0445097929102997 0.249650938710811 11 0.228434931003092 0 0.249650938710811 1 0 "simulation1" 0.361986276370687 0.210858369992123
"13" 12 0.911575777876727 0.128422280204084 0.220357129071387 12 0.307381004168687 0.0428074267346945 0.220357129071387 12 0.247303343702065 0 0.220357129071387 1 0 "simulation1" 0.346879297357924 0.189089012655092
"14" 13 1.01913956043125 0.097746499154712 0.194339016468906 13 0.325260465559162 0.032582166384904 0.194339016468906 13 0.265876535429475 0 0.194339016468906 1 0 "simulation1" 0.292703013658783 0.202313561220348
"15" 14 1.13529660713371 0.139676018062405 0.171350320298136 14 0.342715025184296 0.0465586726874683 0.171350320298136 14 0.284159125337056 0 0.171350320298136 1 0 "simulation1" 0.303282353440154 0.224575915252171
"16" 15 1.25187960619165 0.104186627655598 0.151069770259724 15 0.359863707338539 0.0347288758851992 0.151069770259724 15 0.30215566028494 0 0.151069770259724 1 0 "simulation1" 0.227643982426153 0.282666546084044
"17" 16 1.34864218686834 0.125369899263489 0.133186612590642 16 0.376679898297106 0.0417899664211631 0.133186612590642 16 0.319870615965904 0 0.133186612590642 1 0 "simulation1" 0.277409721680706 0.247003358350155
"18" 17 1.43060997171706 0.109564039639365 0.117419627028285 17 0.393231534692674 0.037049897721438 0.117419627028285 17 0.337308398053818 0 0.117419627028285 1 0 "simulation1" 0.331235033963365 0.290303200359372
"19" 18 1.45240275987757 0.103703027160672 0.103518973941723 18 0.409522851089211 0.0442060134064341 0.103518973941723 18 0.354473343291135 0 0.103518973941723 1 0 "simulation1" 0.361735102520935 0.315827574397497
"20" 19 1.45550955593977 0.0917657883391748 0.0912638873869924 19 0.425558254409646 0.0309232319466557 0.0912638873869924 19 0.371369720566334 0 0.0912638873869924 1 0 "simulation1" 0.417106709604076 0.324416572398531
"21" 20 1.45612553699802 0.107031452594457 0.0804596041637695 20 0.441342861606307 0.0378149021318731 0.0804596041637695 20 0.388001731975564 0 0.0804596041637695 1 0 "simulation1" 0.487799920178231 0.361140864613204
"22" 21 1.45704683658894 0.114704947874068 0.0709343831955975 21 0.456879904623298 0.0382349826246893 0.0709343831955975 21 0.404373513867698 0 0.0709343831955975 1 0 "simulation1" 0.574164766841566 0.484584021076506
"23" 22 1.45683761888427 0.0692725909796291 0.0625368057937424 22 0.472173998414007 0.0234380340774294 0.0625368057937424 22 0.420489137873035 0 0.0625368057937424 1 0 "simulation1" 0.629073749468337 0.512983920095784
"24" 23 1.45649798782782 0.119011668386411 0.0551333765690959 23 0.487228792466131 0.0396705561288035 0.0551333765690959 23 0.436352611915898 0 0.0551333765690959 1 0 "simulation1" 0.589765747430027 0.525217910627781
"25" 24 1.45618082507506 0.0978621173612365 0.0486064033658349 24 0.502048035270239 0.0326207057870788 0.0486064033658349 24 0.451967881211453 0 0.0486064033658349 1 0 "simulation1" 0.589663634013302 0.506652316035999
"26" 25 1.45584833876197 0.079771309371545 0.0574316585778082 25 0.516635411628767 0.0265904364571817 0.0574316585778082 25 0.467338829247041 0 0.0574316585778082 1 0 "simulation1" 0.505459249685751 0.375047152178779
"27" 26 1.45551312942994 0.0291090734950766 0.0560088030625659 26 0.5309945494523 0.00970302449835888 0.0560088030625659 26 0.482469278747326 0 0.0560088030625659 1 0 "simulation1" 0.425644552566055 0.35684903537124
"28" 27 1.45518229896514 0.0290940169329271 0.0544441224237309 27 0.545129019398246 0.00969800564430904 0.0544441224237309 27 0.497362992625484 0 0.0544441224237309 1 0 "simulation1" 0.405927061032504 0.342366425454884
"29" 28 1.45485664760808 0.0543362847188387 0.052752037734633 28 0.559042338755292 0.0181120949062796 0.052752037734633 28 0.512023674919192 0 0.052752037734633 1 0 "simulation1" 0.459873379567228 0.393553538864216
"30" 29 1.45453609421208 0.0428500103000243 0.050948780167041 29 0.572737968265047 0.0142833367666748 0.050948780167041 29 0.526454971711664 0 0.050948780167041 1 0 "simulation1" 0.506299670906527 0.39312694161074
"31" 30 1.45422054843098 0.0241907732732994 0.0490519345547819 30 0.586219311049603 0.00806359109109981 0.0490519345547819 30 0.540660472038329 0 0.0490519345547819 1 0 "simulation1" 0.590710242643767 0.390968048299475
"32" 31 1.45390993954029 0.0172463609115775 0.0470799447599488 31 0.599489720337748 0.00574878697052583 0.0470799447599488 31 0.554643708779477 0 0.0470799447599488 1 0 "simulation1" 0.646994556849729 0.432192962293105
"33" 32 1.45360419062884 0.0235260454788052 0.0450516086393636 32 0.61255249675971 0.00784201515960174 0.0450516086393636 32 0.568408159538874 0 0.0450516086393636 1 0 "simulation1" 0.658370012520583 0.397902629541243
"34" 33 1.4533032256676 0.00982492913808575 0.0429855895239942 33 0.625410888999057 0.00327497637936192 0.0429855895239942 33 0.581957247508639 0 0.0429855895239942 1 0 "simulation1" 0.633044683864838 0.357963105187591
"35" 34 1.45300697879582 0.00820449207400209 0.0408999679477048 34 0.638068094892583 0.00273483069133403 0.0408999679477048 34 0.595294342320586 0 0.0408999679477048 1 0 "simulation1" 0.630616390984924 0.386710351650993
"36" 35 1.45271536430787 0.0422091579169653 0.0388118524485363 35 0.6505272622853 0.0140697193056551 0.0388118524485363 35 0.608422760884239 0 0.0388118524485363 1 0 "simulation1" 0.612302724057815 0.413977799324218
"37" 36 1.45242831245636 0.0394504273821008 0.0367370623301653 36 0.6627914897567 0.0131501424607003 0.0367370623301653 36 0.62134576821175 0 0.0367370623301653 1 0 "simulation1" 0.588256940194636 0.428797946115508
"38" 37 1.45214575188537 0.0482654708544075 0.0346898890590044 37 0.674863827389749 0.0160884902848025 0.0346898890590044 37 0.634066578229892 0 0.0346898890590044 1 0 "simulation1" 0.56307222010821 0.382392091752747
"39" 38 1.45186761236023 0.0400133695169899 0.0326829371463499 38 0.686747277550622 0.0133377898389966 0.0326829371463499 38 0.646588354579363 0 0.0326829371463499 1 0 "simulation1" 0.533804536240831 0.387498277971048
"40" 39 1.45159382465772 0.0510295267984221 0.0307270404253133 39 0.698444795630238 0.0170098422661407 0.0307270404253133 39 0.658914211401575 0 0.0307270404253133 1 0 "simulation1" 0.521012590161598 0.391867251047193
"41" 40 1.45132432073341 0.0396907405510268 0.0288312458797619 40 0.70995929077858 0.0132302468503423 0.0288312458797619 40 0.671047214113134 0 0.0288312458797619 1 0 "simulation1" 0.466492551584812 0.387062604771831
"42" 41 1.45105903352741 0.049190069268673 0.0270028547215039 41 0.721293626628186 0.0163966897562243 0.0270028547215039 41 0.682990380168204 0 0.0270028547215039 1 0 "simulation1" 0.480423924752292 0.435174371660117
"43" 42 1.45079789709052 0.0508384995241697 0.0252475091829048 42 0.732450622006325 0.0169461665080566 0.0252475091829048 42 0.694746679808943 0 0.0252475091829048 1 0 "simulation1" 0.468133685692268 0.438982939543086
"44" 43 1.45054084646947 0.0394730481845472 0.0235693133201415 43 0.743433051636038 0.0131576827281824 0.0235693133201415 43 0.706319036804193 0 0.0235693133201415 1 0 "simulation1" 0.434798135657125 0.40965540987153
"45" 44 1.45028781773736 0.0197664915657769 0.0219709767690452 44 0.7542436468262 0.00658883052192564 0.0219709767690452 44 0.717710329176621 0 0.0219709767690452 1 0 "simulation1" 0.407650994354076 0.40940072300737
"46" 45 1.45003874796944 0.0245944024733937 0.020453971604959 45 0.764885096150838 0.00819813415779791 0.020453971604959 45 0.728923389918472 0 0.020453971604959 1 0 "simulation1" 0.40200035081066 0.411525453566793
"47" 46 1.44979357516361 0.0364171196942571 0.019018693990891 46 0.775360046117839 0.0121390398980857 0.019018693990891 46 0.739961007696134 0 0.019018693990891 1 0 "simulation1" 0.410735080719014 0.397330829015475
"48" 47 1.4495522384173 0.027940585355232 0.0176646239532128 47 0.785671101826741 0.00931352845174401 0.0176646239532128 47 0.750825927543668 0 0.0176646239532128 1 0 "simulation1" 0.357668594258096 0.381817985214907
"49" 48 1.44931467770636 0.0289213086135188 0.0163904782477643 48 0.795820827616926 0.00964043620450628 0.0163904782477643 48 0.761520851545499 0 0.0163904782477643 1 0 "simulation1" 0.36494660445193 0.390757651741856
"50" 0 0 0 0.001 0 0 0 0.001 0 0 0 0.001 2.15 0 "simulation2" 0 0
"51" 1 0.0224429397075197 0.132798703474203 0.002943666652518 1 0.0224429397075196 0.0442662344914011 0.002943666652518 1 0.0224429397075196 0 0.002943666652518 2.15 0 "simulation2" 0.0193199956060915 0.0334632139917579
"52" 2 0.0445343434776505 0.0849408288207771 0.00861797995267028 2 0.0445343434779266 0.0283136096069257 0.00861797995267028 2 0.0445343434779266 0 0.00861797995267028 2.15 0 "simulation2" 0.0319890530302353 0.0554066651343827
"53" 3 0.0662808316219936 0.0663257050028792 0.0247831176104602 3 0.0662807962119092 0.0270385003229078 0.0247831176104602 3 0.0662807960947709 0 0.0247831176104602 2.15 0 "simulation2" 0.0427852371541219 0.0741062045648228
"54" 4 0.087894308259805 0.136010898550814 0.0674034111507033 4 0.0876861816046177 0.0580057322061899 0.0674034111507033 4 0.0876861412079386 0 0.0674034111507033 2.15 0 "simulation2" 0.0491078043566837 0.0850572121939284
"55" 5 0.225791022448157 0.181698623069105 0.157609898831033 5 0.111069003698292 0.0769010143268828 0.157609898831033 5 0.108756749162416 0 0.157609898831033 2.15 0 "simulation2" 0.110991795812406 0.123998359008611
"56" 6 0.415490392382197 0.195329924320957 0.274443319709444 6 0.184396200285389 0.0747435571776833 0.274443319709444 6 0.129497678684857 0 0.274443319709444 2.15 0 "simulation2" 0.284159052471512 0.19319246184553
"57" 7 0.584849710787106 0.195863527717874 0.341431345547393 7 0.264854087948464 0.0816459739046373 0.341431345547393 7 0.149914092042366 0 0.341431345547393 2.15 0 "simulation2" 0.464715870566451 0.310023472215755
"58" 8 0.745428104827043 0.200500219639507 0.3431684902918 8 0.340662407624733 0.0749548210789853 0.3431684902918 8 0.170011067309439 0 0.3431684902918 2.15 0 "simulation2" 0.611744105827548 0.372138016631701
"59" 9 0.922381445029347 0.233599660112604 0.315755903204502 9 0.42570103218027 0.104378471580573 0.315755903204502 9 0.189793598068552 0 0.315755903204502 2.15 0 "simulation2" 0.660320613170566 0.376179265642206
"60" 10 1.11780176775613 0.233308418470737 0.282055855422312 10 0.529177163460018 0.114951997890654 0.282055855422312 10 0.209266604834128 0 0.282055855422312 2.15 0 "simulation2" 0.736386576954157 0.429406375747087
"61" 11 1.33446267371033 0.262738821502979 0.249650938710811 11 0.654756021503865 0.145666613941182 0.249650938710811 11 0.228434931003092 0 0.249650938710811 2.15 0 "simulation2" 0.779969147106976 0.473557056740702
"62" 12 1.52736806171631 0.176984105884407 0.220357129071387 12 0.774694651632095 0.0992841191341759 0.220357129071387 12 0.247303343702065 0 0.220357129071387 2.15 0 "simulation2" 0.863199350227323 0.491964240557478
"63" 13 1.70941786874892 0.232356735999102 0.194339016468906 13 0.871021035023302 0.0998457464855803 0.194339016468906 13 0.265876535429475 0 0.194339016468906 2.15 0 "simulation2" 0.894535341272714 0.503210592363753
"64" 14 1.91396347413377 0.211538393335052 0.171350320298136 14 0.974287328415481 0.109952809385715 0.171350320298136 14 0.284159125337056 0 0.171350320298136 2.15 0 "simulation2" 1.02789645014707 0.62950125721856
"65" 15 2.11931411401944 0.235215564203425 0.151069770259724 15 1.08129420578625 0.112686410950874 0.151069770259724 15 0.30215566028494 0 0.151069770259724 2.15 0 "simulation2" 1.06327442115726 0.648659733011823
"66" 16 2.35457839481932 0.259482720292908 0.133186612590642 16 1.1861402260005 0.119860048129076 0.133186612590642 16 0.319870615965904 0 0.133186612590642 2.15 0 "simulation2" 1.14051995970875 0.731013663755407
"67" 17 2.57971431678997 0.215788817106331 0.117419627028285 17 1.27139619321734 0.115624864062441 0.117419627028285 17 0.337308398053818 0 0.117419627028285 2.15 0 "simulation2" 1.17917250337531 0.724880235931361
"68" 18 2.76905050798885 0.200225761327917 0.103518973941723 18 1.30467583701885 0.106659023527566 0.103518973941723 18 0.354473343291135 0 0.103518973941723 2.15 0 "simulation2" 1.24762943601152 0.768779299098954
"69" 19 2.96185160946302 0.225566878099478 0.0912638873869924 19 1.31527769753602 0.112439105532291 0.0912638873869924 19 0.371369720566334 0 0.0912638873869924 2.15 0 "simulation2" 1.27045049522792 0.762897960186599
"70" 20 3.1954658035763 0.268579791730653 0.0804596041637695 20 1.32515431358309 0.127575162161529 0.0804596041637695 20 0.388001731975564 0 0.0804596041637695 2.15 0 "simulation2" 1.29370841300912 0.715305876585623
"71" 21 3.43893658477778 0.254042291623364 0.0709343831955975 21 1.33159447079975 0.127873645078788 0.0709343831955975 21 0.404373513867698 0 0.0709343831955975 2.15 0 "simulation2" 1.28100393060258 0.716409010658562
"72" 22 3.65311475550954 0.257394316789267 0.0625368057937424 22 1.33438578629376 0.120862517314229 0.0625368057937424 22 0.420489137873035 0 0.0625368057937424 2.15 0 "simulation2" 1.3522966891454 0.791478322379066
"73" 23 3.7943694436593 0.240697864168484 0.0551333765690959 23 1.33618401861983 0.121657808867659 0.0551333765690959 23 0.436352611915898 0 0.0551333765690959 2.15 0 "simulation2" 1.34064229103451 0.870153612664301
"74" 24 3.83490485170653 0.23983366556761 0.0486064033658349 24 1.33778989527171 0.11690745132287 0.0486064033658349 24 0.451967881211453 0 0.0486064033658349 2.15 0 "simulation2" 1.36620056762442 0.856442310020236
"75" 25 3.92925652990321 0.224993048611632 0.0574316585778082 25 1.33937881496003 0.0993582087324288 0.0574316585778082 25 0.467338829247041 0 0.0574316585778082 2.15 0 "simulation2" 1.14171790691979 0.433233689184388
"76" 26 3.90993915961754 0.104041269629715 0.0560088030625659 26 1.34086872663877 0.039695583824107 0.0560088030625659 26 0.482469278747326 0 0.0560088030625659 2.15 0 "simulation2" 0.991346429120933 0.392826796568745
"77" 27 3.87122191338365 0.0995954640122445 0.0544441224237309 27 1.34233169128461 0.0374625092159617 0.0544441224237309 27 0.497362992625484 0 0.0544441224237309 2.15 0 "simulation2" 1.00920728699203 0.414165795274777
"78" 28 3.83309905879131 0.0845506077889155 0.052752037734633 28 1.34377176576094 0.0354508179428819 0.052752037734633 28 0.512023674919192 0 0.052752037734633 2.15 0 "simulation2" 1.04019130031824 0.364073350800022
