"time" "Srxn1_max" "NRF2_max" "Fraction_X_max" "time2" "Srxn1_mean" "NRF2_mean" "Fraction_X_mean" "time3" "Srxn1_min" "NRF2_min" "Fraction_X_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"1" 0 0 0 0.001 0 0 0 0.001 0 0 0 0.001 0.35 0 "simulation1" 0 0
"2" 1 0.0224417353080697 0 0.665012370446506 1 0.022442932290472 0 0.665012370446506 1 0.0224429397075196 0 0.665012370446506 0.35 0 "simulation1" 0.00337871818080306 0.00481110385443749
"3" 2 0.0648620544265928 0.185978071648563 0.740754009417095 2 0.0565871418484157 0.110268140225443 0.740754009417095 2 0.0445343434779266 0 0.740754009417095 0.35 0 "simulation1" 0 0
"4" 3 0.185539152953197 0.341860342091157 0.637628135340418 3 0.132304159990748 0.179139083089288 0.637628135340418 3 0.0662807960947709 0 0.637628135340418 0.35 0 "simulation1" 0.00285855658895174 0.0049511652483752
"5" 4 0.356447608165397 0.292975742016829 0.548811636089898 4 0.232125507388258 0.155820475996487 0.548811636089898 4 0.0876861412079386 0 0.548811636089898 0.35 0 "simulation1" 0.104672359003659 0.0952860054745102
"6" 5 0.526271431948578 0.252218021084562 0.472366552741014 5 0.331944128264937 0.133082235162859 0.472366552741014 5 0.108756749162416 0 0.472366552741014 0.35 0 "simulation1" 0.497784147750849 0.317348840019416
"7" 6 0.678178882621602 0.186464356854467 0.406569659740599 6 0.42032109846384 0.0933652723323965 0.406569659740599 6 0.129497678684857 0 0.406569659740599 0.35 0 "simulation1" 0.97727654918255 0.457586468678864
"8" 7 0.841866850621222 0.240570339873074 0.349937749111155 7 0.507403128108857 0.109012767892438 0.349937749111155 7 0.149914092042366 0 0.349937749111155 0.35 0 "simulation1" 1.40904581414409 0.590714246868735
"9" 8 1.02027656689771 0.192991441634196 0.301194211912202 8 0.600592756856272 0.0933745923718712 0.301194211912202 8 0.170011067309439 0 0.301194211912202 0.35 0 "simulation1" 1.63278484084553 0.647937868076164
"10" 9 1.1806120692666 0.183977523928446 0.259240260645892 9 0.684227273892681 0.0810319387875511 0.259240260645892 9 0.189793598068552 0 0.259240260645892 0.35 0 "simulation1" 1.81211840889348 0.755534083916328
"11" 10 1.34101011739064 0.176028108651814 0.22313016014843 10 0.764861129595676 0.0830543671244955 0.22313016014843 10 0.209266604834128 0 0.22313016014843 0.35 0 "simulation1" 1.89099018393416 0.686186215275454
"12" 11 1.49591259086652 0.162450221096104 0.192049908620754 11 0.837214932172631 0.0756789894975554 0.192049908620754 11 0.228434931003092 0 0.192049908620754 0.35 0 "simulation1" 1.85661042442434 0.687101418646795
"13" 12 1.64293723453332 0.152260658563605 0.165298888221587 12 0.865819743396419 0.0604912682635747 0.165298888221587 12 0.247303343702065 0 0.165298888221587 0.35 0 "simulation1" 1.84951281169216 0.740580663438736
