"iter" "CDDO,r2,32hR" "CDDO,d2,32hR" "ETA,r2,32hR" "ETA,d2,32hR" "Andr,r2,32hR" "Andr,d2,32hR" "Sul,r2,32hR" "Sul,d2,32hR" "CDDO,r2,48hR" "CDDO,d2,48hR" "ETA,r2,48hR" "ETA,d2,48hR" "Andr,r2,48hR" "Andr,d2,48hR" "Sul,r2,48hR" "Sul,d2,48hR" "kp" "kd" "Kmm" "nu" "Vm2" "Kmu" "nm" "rall" "decayall" "Sul,r1" "Sul,d2" "Andr,r1" "Andr,d2" "ETA,r1" "ETA,d2" "CDDO,r1" "CDDO,d2" "LnPrior" "LnData" "LnPosterior"
"1" 0 2.92276 0.25764 2.58224 0.562163 5.61698 0.512848 1.23852 0.473966 1.38203 0.0449657 0.0380834 0.458797 1.55132 0.530679 1.17115 0.406712 0.0416942 0.0181389 0.0208537 1.00071 130258 107126 9.30567 3.17916 3.58045 1.67824 2.38055 6.76677 3.24164 2.08177 2.69623 6.75038 3.30502 -17.89405 -476282.3 -476300.2
"2" 20001 4.00565 0.0751346 0.399099 0.100389 7.84687 0.205254 0.00271253 0.0719537 0.514972 0.0710423 0.0271468 0.0856762 3.874 0.124559 3.45972 0.125955 0.0212168 0.0162449 0.0141451 1.00298 130501 107228 9.96835 5.032 0.142227 10.6899 0.147879 0.651835 0.293869 1.08302 0.124404 1.19716 0.102472 -16.53092 -12890.99 -12907.52
"3" 20002 3.77938 0.0751346 1.34105 0.101843 7.84687 0.205134 0.00177524 0.0719537 1.09681 0.0710423 0.0271468 0.0847411 3.73217 0.124559 1.80435 0.12537 0.0212168 0.0162217 0.0141053 1.00304 130501 107228 9.96835 3.12069 0.142227 10.6899 0.147879 0.654426 0.293869 1.08302 0.124404 1.17561 0.102243 -15.43468 -12890.19 -12905.63
"4" 20003 2.85999 0.0751346 1.34105 0.101843 8.0655 0.204583 0.00177524 0.0719537 0.841406 0.0710423 0.0271468 0.0847411 3.54233 0.124559 1.80435 0.12537 0.0212168 0.0162008 0.0141625 1.00302 130399 107228 9.96835 3.36367 0.0108325 7.59666 0.147879 0.654426 0.293869 1.09308 0.124404 1.20766 0.1025 -13.70237 -12892.77 -12906.48
"5" 20004 0.639985 0.0764827 2.56838 0.101179 8.23419 0.204583 0.00271851 0.0719537 0.958176 0.0713993 0.0271468 0.0836347 3.3986 0.124559 2.3951 0.12537 0.0226661 0.0162008 0.0141769 1.00309 130399 107228 9.91592 3.30187 0.0108325 8.60137 0.147879 0.654426 0.293869 1.09308 0.124404 1.20766 0.102064 -14.31887 -12889.56 -12903.88
"6" 20005 0.475656 0.0764827 3.78956 0.101827 8.23419 0.206335 0.00262567 0.0721872 1.2554 0.0713993 0.0271468 0.0836347 5.2518 0.124559 2.54258 0.12537 0.0219649 0.0162008 0.0141769 1.00309 130399 107228 9.91592 4.09052 0.215941 9.94192 0.147879 0.654426 0.293869 1.09308 0.124404 1.20766 0.102064 -16.41061 -12890.6 -12907.01
"7" 20006 0.604833 0.0766116 1.73189 0.10453 8.23419 0.206335 0.00262567 0.0721872 1.2554 0.0713993 0.0271468 0.0836347 6.03023 0.124678 1.70606 0.12537 0.0228788 0.0162008 0.0141981 1.00309 130399 107228 9.91592 4.09052 0.215941 9.94192 0.147879 0.654426 0.293869 1.09308 0.124404 1.17148 0.102074 -16.41724 -12887.45 -12903.86
"8" 20007 2.07753 0.0766116 3.10741 0.102059 6.4822 0.206335 0.00162358 0.0721872 1.2554 0.0715316 0.0286519 0.0836347 5.65768 0.124678 1.70606 0.12537 0.0228788 0.0162313 0.0141981 1.00309 130532 107228 9.91592 4.09052 0.0777149 7.34887 0.148527 0.654426 0.293869 1.10843 0.124404 1.17148 0.102537 -13.92655 -12891.12 -12905.04
"9" 20008 3.4477 0.0766116 4.93902 0.105995 7.04286 0.206046 0.00151986 0.0721872 0.829609 0.0715316 0.0286519 0.0836347 5.20807 0.124678 1.70606 0.12537 0.0228788 0.0162173 0.0141981 1.00309 130532 107228 9.91592 3.44702 0.0777149 7.34887 0.148527 0.654426 0.293869 1.10843 0.125457 1.17148 0.102537 -13.33824 -12891.66 -12905
"10" 20009 0.671857 0.0766116 5.18008 0.105995 4.56077 0.206131 0.00221105 0.0721872 2.11257 0.0715316 0.0302508 0.0836347 4.83709 0.124634 2.20713 0.12537 0.0228788 0.0161216 0.0141981 1.00298 130532 107228 9.91592 2.43532 0.0777149 7.34887 0.148527 0.654426 0.293869 1.09795 0.125457 1.23434 0.102462 -12.38945 -12894.56 -12906.95
