"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 "Simu1" 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Andr" 0 "Srxn1"
"Srxn1_1.2" 1 "Simu1" 0.1 0.1 0.0467518865095985 0.140255659528795 0 0.0809766427843186 0.057125329297907 0.0799737453978686 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 "Andr" 1 "Srxn1"
"Srxn1_1.3" 2 "Simu1" 0.1 0.1 0.0280137628947674 0.0840412886843023 0 0.048521260644925 0.0549096213179702 0.0784140422352227 0.07051585 0.063917475 0.077359465 0.07544285 0.06888943 0.0822183975 0.069883 0.0632667025 0.0767427925 "Andr" 2 "Srxn1"
"Srxn1_1.4" 3 "Simu1" 0.1 0.1 0.0348216583734888 0.104464975120466 0 0.0603128815066889 0.0503744628452999 0.0730117670229702 0.1044615 0.0947096875 0.114543125 0.1121975 0.102547825 0.1221442 0.103458 0.093689245 0.11357825 "Andr" 3 "Srxn1"
"Srxn1_1.5" 4 "Simu1" 0.1 0.1 0.0445639460616565 0.121973533890252 0 0.0672942261990634 0.0700634077245035 0.0965505429152337 0.1380905 0.12535385 0.151301125 0.1528955 0.14036765 0.165669575 0.13618 0.1233829 0.1494723 "Andr" 4 "Srxn1"
"Srxn1_1.6" 5 "Simu1" 0.1 0.1 0.0475616863256604 0.13981715279174 0 0.0799084447422631 0.0852120005409782 0.10201920250912 0.172436 0.15688025 0.188575125 0.2018605 0.186760875 0.217176025 0.168035 0.1523107 0.184402575 "Andr" 5 "Srxn1"
"Srxn1_1.7" 6 "Simu1" 0.1 0.1 0.0405094523528767 0.12152835705863 0 0.070164429661973 0.144703059701494 0.137379322957175 0.207802 0.189527 0.226667425 0.265725 0.248380975 0.28369325 0.199071 0.1804873 0.218428 "Andr" 6 "Srxn1"
"Srxn1_1.8" 7 "Simu1" 0.1 0.1 0.0388007912125026 0.116402373637508 0 0.0672049417539266 0.208344461257336 0.165308474872248 0.2425755 0.22167775 0.264051125 0.3306155 0.31061145 0.35128735 0.229325 0.208002275 0.251508725 "Andr" 7 "Srxn1"
"Srxn1_1.9" 8 "Simu1" 0.1 0.1 0.0550745025076229 0.165223507522869 0 0.0953918365447824 0.266145407913785 0.188414647994321 0.2774125 0.254117975 0.301423675 0.399595 0.376846675 0.423406075 0.258777 0.234803325 0.283721275 "Andr" 8 "Srxn1"
"Srxn1_1.10" 9 "Simu1" 0.1 0.1 0.0611906776656453 0.143924365645379 0 0.0743413191075518 0.492676142576145 0.469793439906983 0.318384 0.29259085 0.344772375 0.5106825 0.48459545 0.5377981 0.2874955 0.260932675 0.31510955 "Andr" 9 "Srxn1"
"Srxn1_1.11" 10 "Simu1" 0.1 0.1 0.0377026292168918 0.113107887650675 0 0.0653028693825874 0.420227069068308 0.408203119424691 0.361246 0.332960325 0.390164475 0.6028935 0.573948075 0.63288445 0.315418 0.28638905 0.345619 "Andr" 10 "Srxn1"
"Srxn1_1.12" 11 "Simu1" 0.1 0.1 0.0444415097177343 0.133324529153203 0 0.0769749527961817 0.422682011761808 0.44290682894227 0.393264 0.36253485 0.42461245 0.666014 0.6348269 0.698319 0.342605 0.311191175 0.375279575 "Andr" 11 "Srxn1"
"Srxn1_1.13" 12 "Simu1" 0.1 0.1 0.0374040601579112 0.112212180473733 0 0.0647857326028649 0.408454171467982 0.416573559588833 0.4250865 0.391944975 0.45889915 0.73417 0.700438525 0.768772325 0.3691175 0.335336425 0.404243 "Andr" 12 "Srxn1"
"Srxn1_1.14" 13 "Simu1" 0.1 0.1 0.0389778920329359 0.116933676098808 0 0.0675116893729791 0.439369835627194 0.436281120820133 0.4532715 0.41784185 0.48944665 0.7811265 0.74519975 0.81805195 0.3949165 0.35889815 0.432363275 "Andr" 13 "Srxn1"
"Srxn1_1.15" 14 "Simu1" 0.1 0.1 0.0387380314140504 0.116214094242151 0 0.0670962385943346 0.45654673405584 0.429206277627319 0.480137 0.4425103 0.51858315 0.822714 0.784239325 0.8619896 0.420043 0.381903675 0.459660175 "Andr" 14 "Srxn1"
"Srxn1_1.16" 15 "Simu1" 0.1 0.1 0.0450020044023822 0.135006013207147 0 0.0779457580673643 0.450474927138954 0.407814946308965 0.505572 0.465769975 0.546274125 0.8570755 0.81664485 0.8986761 0.444553 0.404281 0.486296275 "Andr" 15 "Srxn1"
"Srxn1_1.17" 16 "Simu1" 0.1 0.1 0.0364553192446088 0.109365957733826 0 0.0631424651378059 0.412250881099715 0.376220762501185 0.5303635 0.48843365 0.573227325 0.89113 0.848384625 0.934921 0.4684105 0.42609715 0.512250175 "Andr" 16 "Srxn1"
"Srxn1_1.18" 17 "Simu1" 0.1 0.1 0.0367558747163261 0.110267624148978 0 0.063663042485313 0.412517250248071 0.335255710189173 0.5531185 0.509199925 0.598112475 0.9140095 0.869141875 0.9594974 0.491622 0.4473131 0.537489125 "Andr" 17 "Srxn1"
"Srxn1_1.19" 18 "Simu1" 0.1 0.1 0.0332190321740533 0.09965709652216 0 0.0575370515037256 0.470686812523232 0.31656605854171 0.575059 0.529233375 0.622086325 0.9338375 0.8869758 0.981069825 0.514222 0.468128775 0.56202615 "Andr" 18 "Srxn1"
"Srxn1_1.20" 19 "Simu1" 0.1 0.1 0.0379881444461084 0.113964433338325 0 0.0657973962659251 0.471952640720143 0.326368412100945 0.59609 0.54838185 0.644918175 0.950035 0.9015305 0.9987831 0.536272 0.48836435 0.5859224 "Andr" 19 "Srxn1"
"Srxn1_1.21" 20 "Simu1" 0.1 0.1 0.0368525934161426 0.110557780248428 0 0.0638305641874372 0.44603355415445 0.300392804747085 0.616549 0.56701605 0.66716635 0.965614 0.915614725 1.01584175 0.557731 0.508004875 0.60921425 "Andr" 20 "Srxn1"
"Srxn1_1.22" 21 "Simu1" 0.1 0.1 0.0372200029897548 0.111660008969264 0 0.0644669362361208 0.41324659271621 0.258548271963512 0.6362885 0.5851275 0.68872315 0.979441 0.927836375 1.03115 0.5786125 0.527208 0.632004325 "Andr" 21 "Srxn1"
"Srxn1_1.23" 22 "Simu1" 0.1 0.1 0.0399368917074244 0.119810675122273 0 0.0691727255336352 0.419891514332086 0.295590254235072 0.655476 0.602656825 0.70953595 0.9919545 0.938769375 1.04529025 0.599003 0.54602015 0.654101025 "Andr" 22 "Srxn1"
"Srxn1_1.24" 23 "Simu1" 0.1 0.1 0.0395320151346599 0.11859604540398 0 0.0684714587388127 0.443482013048592 0.318625679718674 0.6741045 0.6196178 0.729773325 1.00383 0.949442725 1.05842025 0.61888 0.56411975 0.675593625 "Andr" 23 "Srxn1"
"Srxn1_1.25" 24 "Simu1" 0.1 0.1 0.040186173623527 0.120558520870581 0 0.0696044944777331 0.428921721627147 0.289520950486815 0.692181 0.636043875 0.7494679 1.014915 0.95886565 1.07077225 0.638203 0.581744525 0.696514725 "Andr" 24 "Srxn1"
