"medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Simulation" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 0 0 0 0 0 0 0 0 "Sim1" "Andr" 0 "Srxn1"
"Srxn1_1.2" 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 "Sim1" "Andr" 1 "Srxn1"
"Srxn1_1.3" 0.07051585 0.063917475 0.077359465 0.07544285 0.06888943 0.0822183975 0.069883 0.0632667025 0.0767427925 "Sim1" "Andr" 2 "Srxn1"
"Srxn1_1.4" 0.1044615 0.0947096875 0.114543125 0.1121975 0.102547825 0.1221442 0.103458 0.093689245 0.11357825 "Sim1" "Andr" 3 "Srxn1"
"Srxn1_1.5" 0.1380905 0.12535385 0.151301125 0.1528955 0.14036765 0.165669575 0.13618 0.1233829 0.1494723 "Sim1" "Andr" 4 "Srxn1"
"Srxn1_1.6" 0.172436 0.15688025 0.188575125 0.2018605 0.186760875 0.217176025 0.168035 0.1523107 0.184402575 "Sim1" "Andr" 5 "Srxn1"
"Srxn1_1.7" 0.207802 0.189527 0.226667425 0.265725 0.248380975 0.28369325 0.199071 0.1804873 0.218428 "Sim1" "Andr" 6 "Srxn1"
"Srxn1_1.8" 0.2425755 0.22167775 0.264051125 0.3306155 0.31061145 0.35128735 0.229325 0.208002275 0.251508725 "Sim1" "Andr" 7 "Srxn1"
"Srxn1_1.9" 0.2774125 0.254117975 0.301423675 0.399595 0.376846675 0.423406075 0.258777 0.234803325 0.283721275 "Sim1" "Andr" 8 "Srxn1"
"Srxn1_1.10" 0.318384 0.29259085 0.344772375 0.5106825 0.48459545 0.5377981 0.2874955 0.260932675 0.31510955 "Sim1" "Andr" 9 "Srxn1"
"Srxn1_1.11" 0.361246 0.332960325 0.390164475 0.6028935 0.573948075 0.63288445 0.315418 0.28638905 0.345619 "Sim1" "Andr" 10 "Srxn1"
"Srxn1_1.12" 0.393264 0.36253485 0.42461245 0.666014 0.6348269 0.698319 0.342605 0.311191175 0.375279575 "Sim1" "Andr" 11 "Srxn1"
"Srxn1_1.13" 0.4250865 0.391944975 0.45889915 0.73417 0.700438525 0.768772325 0.3691175 0.335336425 0.404243 "Sim1" "Andr" 12 "Srxn1"
"Srxn1_1.14" 0.4532715 0.41784185 0.48944665 0.7811265 0.74519975 0.81805195 0.3949165 0.35889815 0.432363275 "Sim1" "Andr" 13 "Srxn1"
"Srxn1_1.15" 0.480137 0.4425103 0.51858315 0.822714 0.784239325 0.8619896 0.420043 0.381903675 0.459660175 "Sim1" "Andr" 14 "Srxn1"
"Srxn1_1.16" 0.505572 0.465769975 0.546274125 0.8570755 0.81664485 0.8986761 0.444553 0.404281 0.486296275 "Sim1" "Andr" 15 "Srxn1"
"Srxn1_1.17" 0.5303635 0.48843365 0.573227325 0.89113 0.848384625 0.934921 0.4684105 0.42609715 0.512250175 "Sim1" "Andr" 16 "Srxn1"
"Srxn1_1.18" 0.5531185 0.509199925 0.598112475 0.9140095 0.869141875 0.9594974 0.491622 0.4473131 0.537489125 "Sim1" "Andr" 17 "Srxn1"
"Srxn1_1.19" 0.575059 0.529233375 0.622086325 0.9338375 0.8869758 0.981069825 0.514222 0.468128775 0.56202615 "Sim1" "Andr" 18 "Srxn1"
"Srxn1_1.20" 0.59609 0.54838185 0.644918175 0.950035 0.9015305 0.9987831 0.536272 0.48836435 0.5859224 "Sim1" "Andr" 19 "Srxn1"
"Srxn1_1.21" 0.616549 0.56701605 0.66716635 0.965614 0.915614725 1.01584175 0.557731 0.508004875 0.60921425 "Sim1" "Andr" 20 "Srxn1"
"Srxn1_1.22" 0.6362885 0.5851275 0.68872315 0.979441 0.927836375 1.03115 0.5786125 0.527208 0.632004325 "Sim1" "Andr" 21 "Srxn1"
"Srxn1_1.23" 0.655476 0.602656825 0.70953595 0.9919545 0.938769375 1.04529025 0.599003 0.54602015 0.654101025 "Sim1" "Andr" 22 "Srxn1"
"Srxn1_1.24" 0.6741045 0.6196178 0.729773325 1.00383 0.949442725 1.05842025 0.61888 0.56411975 0.675593625 "Sim1" "Andr" 23 "Srxn1"
"Srxn1_1.25" 0.692181 0.636043875 0.7494679 1.014915 0.95886565 1.07077225 0.638203 0.581744525 0.696514725 "Sim1" "Andr" 24 "Srxn1"
"Srxn1_1.26" 0.7096915 0.65214245 0.768803925 1.02523 0.968062725 1.08268225 0.6570345 0.5990069 0.716875875 "Sim1" "Andr" 25 "Srxn1"
"Srxn1_1.27" 0.7266765 0.66767065 0.7873452 1.03466 0.97635095 1.0934805 0.6753115 0.615749925 0.736696 "Sim1" "Andr" 26 "Srxn1"
"Srxn1_1.28" 0.743312 0.682750575 0.80551725 1.04377 0.984252275 1.1040505 0.693182 0.632101 0.75600015 "Sim1" "Andr" 27 "Srxn1"
"Srxn1_1.29" 0.759453 0.6975447 0.822995975 1.05241 0.99158895 1.113651 0.710557 0.64799225 0.77477385 "Sim1" "Andr" 28 "Srxn1"
"Srxn1_1.30" 0.7751935 0.712008575 0.84028825 1.060695 0.998692125 1.12306325 0.727457 0.663744825 0.7931792 "Sim1" "Andr" 29 "Srxn1"
"Srxn1_1.31" 0.7905005 0.72586765 0.8567206 1.068785 1.0055595 1.1327105 0.7439835 0.67891055 0.8108493 "Sim1" "Andr" 30 "Srxn1"
"Srxn1_1.32" 0.805336 0.739480225 0.87278865 1.076585 1.01204925 1.1416065 0.760052 0.6938625 0.8283678 "Sim1" "Andr" 31 "Srxn1"
"Srxn1_1.33" 0.819891 0.752791175 0.888553 1.08413 1.018537 1.15048325 0.77574 0.708134725 0.84531625 "Sim1" "Andr" 32 "Srxn1"
"Srxn1_2.1" 0 0 0 0 0 0 0 0 0 "Sim2" "Andr" 0 "Srxn1"
"Srxn1_2.2" 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 "Sim2" "Andr" 1 "Srxn1"
"Srxn1_2.3" 0.0752061 0.068653465 0.0819793025 0.107382 0.100703925 0.11395005 0.069883 0.0632667025 0.0767427925 "Sim2" "Andr" 2 "Srxn1"
"Srxn1_2.4" 0.117247 0.1076797 0.127013125 0.1938795 0.1837199 0.20350035 0.103458 0.093689245 0.11357825 "Sim2" "Andr" 3 "Srxn1"
"Srxn1_2.5" 0.1740775 0.161863975 0.186419025 0.350081 0.334506825 0.365294225 0.1363395 0.12354375 0.149631425 "Sim2" "Andr" 4 "Srxn1"
"Srxn1_2.6" 0.2555625 0.2405507 0.270829125 0.5373415 0.513703725 0.561657325 0.1815725 0.1662883 0.1973306 "Sim2" "Andr" 5 "Srxn1"
"Srxn1_2.7" 0.359017 0.3402979 0.3782311 0.785794 0.7509549 0.823618475 0.2296665 0.21193495 0.24790645 "Sim2" "Andr" 6 "Srxn1"
"Srxn1_2.8" 0.4771265 0.45371555 0.50178705 1.06916 1.02078 1.12046 0.284627 0.26446945 0.3051706 "Sim2" "Andr" 7 "Srxn1"
"Srxn1_2.9" 0.6082225 0.579970925 0.63848405 1.38077 1.32141875 1.44332175 0.342249 0.319791975 0.3655407 "Sim2" "Andr" 8 "Srxn1"
"Srxn1_2.10" 0.7375645 0.705475775 0.772110775 1.69118 1.624978 1.760483 0.392224 0.367297025 0.418031175 "Sim2" "Andr" 9 "Srxn1"
"Srxn1_2.11" 0.8993955 0.864034875 0.937106475 2.056005 1.98621875 2.12799125 0.456559 0.42916495 0.485054025 "Sim2" "Andr" 10 "Srxn1"
"Srxn1_2.12" 1.00521 0.96808985 1.04446025 2.2834 2.21398925 2.35542175 0.507594 0.4777619 0.538601675 "Sim2" "Andr" 11 "Srxn1"
"Srxn1_2.13" 1.09903 1.06015 1.13950075 2.49561 2.4279485 2.56684 0.5575015 0.52474305 0.59107945 "Sim2" "Andr" 12 "Srxn1"
"Srxn1_2.14" 1.181435 1.14084975 1.2233305 2.671985 2.606339 2.740463 0.605558 0.570299875 0.6413786 "Sim2" "Andr" 13 "Srxn1"
"Srxn1_2.15" 1.252075 1.20958975 1.2957415 2.84356 2.7795485 2.91021 0.645098 0.607093 0.683359425 "Sim2" "Andr" 14 "Srxn1"
"Srxn1_2.16" 1.315665 1.27090975 1.3612735 3.024785 2.96138975 3.09079075 0.6725745 0.632563925 0.713034125 "Sim2" "Andr" 15 "Srxn1"
"Srxn1_2.17" 1.357075 1.31034825 1.40458 3.149235 3.0845165 3.21573075 0.694813 0.652724325 0.737159 "Sim2" "Andr" 16 "Srxn1"
"Srxn1_2.18" 1.384475 1.33559975 1.433781 3.222165 3.15467775 3.2904925 0.7141405 0.67017515 0.758250925 "Sim2" "Andr" 17 "Srxn1"
"Srxn1_2.19" 1.402235 1.351707 1.4529005 3.25879 3.18923925 3.32752025 0.732147 0.686338575 0.778223775 "Sim2" "Andr" 18 "Srxn1"
"Srxn1_2.20" 1.415595 1.36344925 1.467702 3.276455 3.20479 3.34609075 0.7504795 0.702846475 0.79837465 "Sim2" "Andr" 19 "Srxn1"
"Srxn1_2.21" 1.426185 1.37285 1.47957025 3.278935 3.20614 3.3496215 0.7672225 0.718169825 0.816765475 "Sim2" "Andr" 20 "Srxn1"
"Srxn1_2.22" 1.43301 1.37853725 1.48787125 3.26463 3.19147925 3.33575275 0.783949 0.7330148 0.835486275 "Sim2" "Andr" 21 "Srxn1"
"Srxn1_2.23" 1.43701 1.38154775 1.49307 3.24046 3.16786875 3.3117015 0.7995755 0.74706395 0.852852125 "Sim2" "Andr" 22 "Srxn1"
"Srxn1_2.24" 1.43902 1.3822295 1.49619075 3.211045 3.13880975 3.28177225 0.814444 0.760443475 0.869313675 "Sim2" "Andr" 23 "Srxn1"
"Srxn1_2.25" 1.439345 1.3817265 1.4970545 3.17507 3.1034395 3.2452705 0.82894 0.77335815 0.88528305 "Sim2" "Andr" 24 "Srxn1"
"Srxn1_2.26" 1.439425 1.38073525 1.49767025 3.13814 3.0674995 3.20766025 0.842946 0.7860318 0.90074655 "Sim2" "Andr" 25 "Srxn1"
"Srxn1_2.27" 1.438675 1.37901 1.4978205 3.09948 3.029209 3.16885125 0.856535 0.798118625 0.9157059 "Sim2" "Andr" 26 "Srxn1"
"Srxn1_2.28" 1.43756 1.37756 1.49747075 3.05986 2.99035975 3.1282905 0.869779 0.809858975 0.93009455 "Sim2" "Andr" 27 "Srxn1"
"Srxn1_2.29" 1.436255 1.37557675 1.49717 3.019545 2.951079 3.0876315 0.882532 0.8213888 0.944681425 "Sim2" "Andr" 28 "Srxn1"
"Srxn1_2.30" 1.43475 1.37315925 1.49664275 2.978955 2.9111285 3.04669025 0.8949945 0.832627 0.95872005 "Sim2" "Andr" 29 "Srxn1"
"Srxn1_2.31" 1.43314 1.37055925 1.496011 2.93846 2.87115575 3.005245 0.907098 0.843694975 0.97217385 "Sim2" "Andr" 30 "Srxn1"
"Srxn1_2.32" 1.43152 1.3683775 1.4954205 2.89852 2.831745 2.96553375 0.9189475 0.854311325 0.98550765 "Sim2" "Andr" 31 "Srxn1"
"Srxn1_2.33" 1.429895 1.3660285 1.4948125 2.859265 2.79281725 2.926022 0.9304485 0.86456345 0.998328025 "Sim2" "Andr" 32 "Srxn1"
"Srxn1_3.1" 0 0 0 0 0 0 0 0 0 "Sim3" "Andr" 0 "Srxn1"
"Srxn1_3.2" 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 "Sim3" "Andr" 1 "Srxn1"
"Srxn1_3.3" 0.0709128 0.0643117525 0.07774001 0.07352005 0.0669440525 0.080299235 0.069883 0.0632667025 0.0767427925 "Sim3" "Andr" 2 "Srxn1"
"Srxn1_3.4" 0.126441 0.1169896 0.136044225 0.138285 0.1288932 0.14775425 0.119819 0.110285 0.129522475 "Sim3" "Andr" 3 "Srxn1"
"Srxn1_3.5" 0.2958805 0.28224495 0.309528525 0.356046 0.340896925 0.371558225 0.243585 0.2311439 0.256401025 "Sim3" "Andr" 4 "Srxn1"
"Srxn1_3.6" 0.572889 0.5487869 0.599189375 0.7073085 0.6778298 0.73918735 0.456347 0.43633555 0.4775531 "Sim3" "Andr" 5 "Srxn1"
"Srxn1_3.7" 0.8791585 0.8400043 0.921194475 1.099725 1.05150925 1.15151 0.666329 0.636659025 0.699156875 "Sim3" "Andr" 6 "Srxn1"
"Srxn1_3.8" 1.203125 1.14945975 1.260681 1.50906 1.44375775 1.5786915 0.9171985 0.87557465 0.962063875 "Sim3" "Andr" 7 "Srxn1"
"Srxn1_3.9" 1.51896 1.4541585 1.58776025 1.91916 1.84032725 2.00135125 1.138165 1.08740975 1.19194075 "Sim3" "Andr" 8 "Srxn1"
"Srxn1_3.10" 1.833775 1.7613065 1.90921125 2.310845 2.22387525 2.40068 1.34532 1.288898 1.4045635 "Sim3" "Andr" 9 "Srxn1"
"Srxn1_3.11" 2.147295 2.07130675 2.22543425 2.622185 2.53219875 2.714731 1.65766 1.5976895 1.72021 "Sim3" "Andr" 10 "Srxn1"
"Srxn1_3.12" 2.40406 2.3288795 2.48102325 2.8944 2.80533975 2.98533175 1.882485 1.8221075 1.9458025 "Sim3" "Andr" 11 "Srxn1"
"Srxn1_3.13" 2.63057 2.5582295 2.70604375 3.14582 3.059869 3.23380075 2.082845 2.023989 2.14527175 "Sim3" "Andr" 12 "Srxn1"
"Srxn1_3.14" 2.80708 2.7372695 2.88032025 3.34926 3.2680065 3.43345525 2.24943 2.1917195 2.309941 "Sim3" "Andr" 13 "Srxn1"
"Srxn1_3.15" 2.92164 2.85423925 2.992621 3.481455 3.40397 3.56309275 2.35804 2.30035 2.41846025 "Sim3" "Andr" 14 "Srxn1"
"Srxn1_3.16" 2.98447 2.91789775 3.05393125 3.568375 3.4929995 3.64738225 2.406495 2.34958825 2.4658005 "Sim3" "Andr" 15 "Srxn1"
"Srxn1_3.17" 3.01778 2.9521595 3.0862215 3.638705 3.56509775 3.71540275 2.420845 2.3636085 2.47998025 "Sim3" "Andr" 16 "Srxn1"
"Srxn1_3.18" 3.02784 2.9631085 3.0945505 3.657175 3.5849865 3.73206325 2.43373 2.37633825 2.49319 "Sim3" "Andr" 17 "Srxn1"
"Srxn1_3.19" 3.021625 2.9577375 3.08797275 3.65573 3.5851275 3.7295035 2.431795 2.3739395 2.491461 "Sim3" "Andr" 18 "Srxn1"
"Srxn1_3.20" 3.00653 2.94283 3.07215575 3.63977 3.570359 3.71190225 2.42196 2.3643895 2.48145025 "Sim3" "Andr" 19 "Srxn1"
"Srxn1_3.21" 2.98131 2.9181095 3.04634075 3.608285 3.5392095 3.67903 2.40564 2.34834 2.4648905 "Sim3" "Andr" 20 "Srxn1"
"Srxn1_3.22" 2.95489 2.89244975 3.0193405 3.57304 3.504968 3.6430075 2.3907 2.33341675 2.44945025 "Sim3" "Andr" 21 "Srxn1"
"Srxn1_3.23" 2.92277 2.86080875 2.98659025 3.53053 3.46314875 3.60002225 2.369185 2.3119285 2.4280305 "Sim3" "Andr" 22 "Srxn1"
"Srxn1_3.24" 2.888615 2.826949 2.9517715 3.4872 3.42084875 3.55570025 2.34667 2.2889095 2.4055515 "Sim3" "Andr" 23 "Srxn1"
"Srxn1_3.25" 2.85346 2.792039 2.9165005 3.440255 3.37461975 3.50793375 2.323845 2.2659985 2.38290075 "Sim3" "Andr" 24 "Srxn1"
"Srxn1_3.26" 2.817665 2.75632975 2.88014575 3.392155 3.32711875 3.459101 2.300255 2.24221975 2.359353 "Sim3" "Andr" 25 "Srxn1"
"Srxn1_3.27" 2.78204 2.72085775 2.84458025 3.343685 3.27923625 3.41005125 2.277255 2.219319 2.3369405 "Sim3" "Andr" 26 "Srxn1"
"Srxn1_3.28" 2.746295 2.68532 2.80897175 3.2949 3.23056925 3.36088075 2.2543 2.1963395 2.314343 "Sim3" "Andr" 27 "Srxn1"
