"iter"	"r.1.1."	"decay.1.1."	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"LnPrior"	"LnData"	"LnPosterior"
795208	0.503908	0.303282	0.0367869	0.0262616	0.0100561	1.00001	138922	96564.6	1.00536	-102.5959	-3099.706	-3202.302
798286	0.511957	0.30065	0.0357747	0.0257876	0.0100304	1.00007	136477	96292.2	1.01166	-87.04035	-3115.972	-3203.012
796846	0.511932	0.295911	0.0353678	0.0269234	0.0100287	1.00005	138527	97597.9	1.0292	-87.39666	-3115.515	-3202.912
798541	0.530692	0.294553	0.0369343	0.0277286	0.0100665	1.00005	136977	96139.3	1.03664	-91.62191	-3118.991	-3210.613
798779	0.499723	0.2986	0.0352948	0.026476	0.0100081	1	138853	97230.5	1.00705	-93.51192	-3104.362	-3197.874
798353	0.525967	0.302549	0.0357624	0.026221	0.0100102	1.00008	137546	96639.4	1.00724	-91.59313	-3109.531	-3201.124
799541	0.504168	0.299113	0.0356014	0.0261222	0.0100109	1.00003	136609	96992.2	1.00375	-82.45253	-3124.104	-3206.557
795980	0.503601	0.297444	0.0383273	0.0268201	0.0100213	1.00001	138108	97499.6	1.04516	-85.14901	-3117.285	-3202.434
797941	0.518719	0.300626	0.0362989	0.0258709	0.0100077	1.00034	136530	96098.5	1.00436	-89.66671	-3117.868	-3207.535
799880	0.516456	0.304291	0.0349151	0.0255773	0.0100036	1	136087	95613.8	1.00535	-93.61025	-3110.278	-3203.888
798809	0.504144	0.296843	0.0366767	0.026842	0.0100213	1.00006	137099	96404	1.01653	-89.44927	-3111.121	-3200.57
795247	0.5152	0.296114	0.036444	0.0267479	0.0100507	1.00003	136502	96966.5	1.04209	-80.06943	-3124.853	-3204.922
796314	0.487836	0.29429	0.0380544	0.0273978	0.0100208	1.00001	137836	95815.3	1.00297	-101.7375	-3100.371	-3202.108
797965	0.513082	0.305261	0.0350101	0.0255531	0.0100713	1.00003	138963	96628.7	1.002	-99.95684	-3101.965	-3201.922
796011	0.50124	0.299443	0.0339007	0.0261013	0.0100103	1.00006	138123	96414.2	1.00906	-98.19207	-3104.374	-3202.566
795149	0.523977	0.304605	0.0327382	0.0257415	0.0100417	1.00003	138085	96839.6	1.0261	-92.13558	-3113.154	-3205.29
