"medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Simulation" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 0 0 0 0 0 0 0 0 "Sim1" "Andr" 0 "Srxn1"
"Srxn1_1.2" 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 "Sim1" "Andr" 1 "Srxn1"
"Srxn1_1.3" 0.07002045 0.0634071975 0.0768830375 0.07043435 0.06384 0.0772863075 0.069883 0.0632667025 0.0767427925 "Sim1" "Andr" 2 "Srxn1"
"Srxn1_1.4" 0.1035885 0.0938223875 0.113714125 0.104 0.09424923 0.1141153 0.103458 0.093689245 0.11357825 "Sim1" "Andr" 3 "Srxn1"
"Srxn1_1.5" 0.136315 0.123513975 0.1496084 0.1367095 0.1239127 0.1500032 0.13618 0.1233829 0.1494723 "Sim1" "Andr" 4 "Srxn1"
"Srxn1_1.6" 0.1681625 0.152434625 0.184532325 0.168544 0.152824625 0.1848946 0.168035 0.1523107 0.184402575 "Sim1" "Andr" 5 "Srxn1"
"Srxn1_1.7" 0.1991985 0.180622975 0.218545025 0.1995775 0.1810179 0.218906 0.199071 0.1804873 0.218428 "Sim1" "Andr" 6 "Srxn1"
"Srxn1_1.8" 0.2294515 0.208129175 0.251631425 0.229826 0.208498225 0.251993375 0.229325 0.208002275 0.251508725 "Sim1" "Andr" 7 "Srxn1"
"Srxn1_1.9" 0.258899 0.234924125 0.283847175 0.259264 0.235286375 0.284206 0.258777 0.234803325 0.283721275 "Sim1" "Andr" 8 "Srxn1"
"Srxn1_1.10" 0.287609 0.261044925 0.315224275 0.287941 0.261380625 0.315542 0.2874955 0.260932675 0.31510955 "Sim1" "Andr" 9 "Srxn1"
"Srxn1_1.11" 0.3434275 0.3142096 0.3735567 0.3859685 0.356842725 0.4160892 0.315418 0.28638905 0.345619 "Sim1" "Andr" 10 "Srxn1"
"Srxn1_1.12" 0.3699145 0.338337375 0.402525525 0.411326 0.3797047 0.44394895 0.342605 0.311191175 0.375279575 "Sim1" "Andr" 11 "Srxn1"
"Srxn1_1.13" 0.3956935 0.36179485 0.4307152 0.436032 0.4021479 0.4710041 0.3691175 0.335336425 0.404243 "Sim1" "Andr" 12 "Srxn1"
"Srxn1_1.14" 0.4208315 0.384725325 0.45814835 0.4601245 0.424017725 0.497302075 0.3949165 0.35889815 0.432363275 "Sim1" "Andr" 13 "Srxn1"
"Srxn1_1.15" 0.4452795 0.407052875 0.484833225 0.4835765 0.445339875 0.523074375 0.420043 0.381903675 0.459660175 "Sim1" "Andr" 14 "Srxn1"
"Srxn1_1.16" 0.4691015 0.428780825 0.510736875 0.506402 0.46606075 0.548073125 0.444553 0.404281 0.486296275 "Sim1" "Andr" 15 "Srxn1"
"Srxn1_1.17" 0.4923035 0.4500128 0.5361124 0.528629 0.4864552 0.572357575 0.4684105 0.42609715 0.512250175 "Sim1" "Andr" 16 "Srxn1"
"Srxn1_1.18" 0.514917 0.4707159 0.560686175 0.5502935 0.50625005 0.596056875 0.491622 0.4473131 0.537489125 "Sim1" "Andr" 17 "Srxn1"
"Srxn1_1.19" 0.536914 0.49091925 0.58462555 0.571366 0.5254274 0.619013975 0.514222 0.468128775 0.56202615 "Sim1" "Andr" 18 "Srxn1"
"Srxn1_1.20" 0.5583525 0.51062045 0.607941 0.5919255 0.54421675 0.641410325 0.536272 0.48836435 0.5859224 "Sim1" "Andr" 19 "Srxn1"
"Srxn1_1.21" 0.5792385 0.529719525 0.630652525 0.611924 0.56253245 0.66323465 0.557731 0.508004875 0.60921425 "Sim1" "Andr" 20 "Srxn1"
"Srxn1_1.22" 0.5995785 0.548332725 0.65282305 0.6314505 0.580306 0.6844713 0.5786125 0.527208 0.632004325 "Sim1" "Andr" 21 "Srxn1"
"Srxn1_1.23" 0.6194135 0.566458825 0.6743201 0.6505105 0.597751525 0.705255375 0.599003 0.54602015 0.654101025 "Sim1" "Andr" 22 "Srxn1"
"Srxn1_1.24" 0.638777 0.5841084 0.695301025 0.6690305 0.61448795 0.7253487 0.61888 0.56411975 0.675593625 "Sim1" "Andr" 23 "Srxn1"
"Srxn1_1.25" 0.657562 0.601308975 0.7156055 0.6870765 0.6309487 0.7450716 0.638203 0.581744525 0.696514725 "Sim1" "Andr" 24 "Srxn1"
"Srxn1_1.26" 0.675901 0.61801395 0.735453675 0.704608 0.646836575 0.76413035 0.6570345 0.5990069 0.716875875 "Sim1" "Andr" 25 "Srxn1"
"Srxn1_1.27" 0.693723 0.634286525 0.754950275 0.721653 0.662470825 0.78269445 0.6753115 0.615749925 0.736696 "Sim1" "Andr" 26 "Srxn1"
"Srxn1_1.28" 0.711085 0.6501362 0.773765075 0.738307 0.677782425 0.800723925 0.693182 0.632101 0.75600015 "Sim1" "Andr" 27 "Srxn1"
"Srxn1_1.29" 0.727974 0.665706525 0.79207545 0.754533 0.69247075 0.81827355 0.710557 0.64799225 0.77477385 "Sim1" "Andr" 28 "Srxn1"
"Srxn1_1.30" 0.7444925 0.6809282 0.80981805 0.770358 0.706962075 0.835344325 0.727457 0.663744825 0.7931792 "Sim1" "Andr" 29 "Srxn1"
"Srxn1_1.31" 0.760596 0.695702775 0.827241125 0.7857435 0.7208844 0.85209535 0.7439835 0.67891055 0.8108493 "Sim1" "Andr" 30 "Srxn1"
"Srxn1_1.32" 0.776202 0.709991075 0.844222625 0.800716 0.734652575 0.86855305 0.760052 0.6938625 0.8283678 "Sim1" "Andr" 31 "Srxn1"
"Srxn1_1.33" 0.7914205 0.72395 0.860748175 0.81534 0.74790625 0.88426235 0.77574 0.708134725 0.84531625 "Sim1" "Andr" 32 "Srxn1"
"Srxn1_2.1" 0 0 0 0 0 0 0 0 0 "Sim2" "Andr" 0 "Srxn1"
"Srxn1_2.2" 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 "Sim2" "Andr" 1 "Srxn1"
"Srxn1_2.3" 0.0721421 0.06557444 0.0789440175 0.07893 0.072380585 0.085606975 0.069883 0.0632667025 0.0767427925 "Sim2" "Andr" 2 "Srxn1"
"Srxn1_2.4" 0.105989 0.09626468 0.116042175 0.1135145 0.103845825 0.12343305 0.103458 0.093689245 0.11357825 "Sim2" "Andr" 3 "Srxn1"
"Srxn1_2.5" 0.1398125 0.127125925 0.152976175 0.1505125 0.137902875 0.16341905 0.13618 0.1233829 0.1494723 "Sim2" "Andr" 4 "Srxn1"
"Srxn1_2.6" 0.176928 0.16148575 0.19291435 0.1971485 0.181902975 0.21255345 0.16849 0.1527859 0.18483525 "Sim2" "Andr" 5 "Srxn1"
"Srxn1_2.7" 0.2150135 0.196942325 0.233629025 0.2462285 0.228667675 0.26420045 0.200399 0.1819501 0.219669325 "Sim2" "Andr" 6 "Srxn1"
"Srxn1_2.8" 0.2510355 0.23031465 0.272264575 0.289432 0.269324875 0.3100742 0.2319165 0.210660675 0.25396905 "Sim2" "Andr" 7 "Srxn1"
"Srxn1_2.9" 0.2966105 0.273591975 0.32026435 0.344222 0.321857825 0.3675502 0.2697915 0.24618 0.29415725 "Sim2" "Andr" 8 "Srxn1"
"Srxn1_2.10" 0.3573535 0.331673275 0.383523125 0.4054075 0.38043395 0.431052625 0.329552 0.303434425 0.356662375 "Sim2" "Andr" 9 "Srxn1"
"Srxn1_2.11" 0.457228 0.428994575 0.485959325 0.581499 0.553992975 0.609445525 0.362591 0.333980825 0.3922681 "Sim2" "Andr" 10 "Srxn1"
"Srxn1_2.12" 0.4959505 0.465346625 0.5269506 0.6443785 0.614694175 0.674673625 0.3885485 0.35754895 0.420785175 "Sim2" "Andr" 11 "Srxn1"
"Srxn1_2.13" 0.525288 0.49244555 0.55852785 0.6838575 0.65192685 0.716449175 0.413858 0.38045805 0.448481375 "Sim2" "Andr" 12 "Srxn1"
"Srxn1_2.14" 0.554136 0.51911055 0.589655575 0.723331 0.689247725 0.75800865 0.4384995 0.40278915 0.475431475 "Sim2" "Andr" 13 "Srxn1"
"Srxn1_2.15" 0.581811 0.544565875 0.619509175 0.7609465 0.72477455 0.7976116 0.462496 0.42462775 0.5015758 "Sim2" "Andr" 14 "Srxn1"
"Srxn1_2.16" 0.6083325 0.569099 0.64825505 0.797346 0.7591587 0.83593505 0.4858925 0.445992875 0.5271781 "Sim2" "Andr" 15 "Srxn1"
"Srxn1_2.17" 0.6288875 0.58773505 0.67094185 0.8155675 0.775552775 0.8560353 0.508655 0.466829925 0.5520036 "Sim2" "Andr" 16 "Srxn1"
"Srxn1_2.18" 0.650525 0.6074162 0.69455485 0.8392785 0.797376575 0.881511725 0.5308285 0.487160575 0.5761613 "Sim2" "Andr" 17 "Srxn1"
"Srxn1_2.19" 0.6762695 0.631373925 0.722021375 0.876712 0.8329992 0.92079035 0.5524485 0.506856775 0.599730525 "Sim2" "Andr" 18 "Srxn1"
"Srxn1_2.20" 0.7012205 0.654522075 0.748823125 0.9130315 0.8674056 0.958923775 0.573495 0.526045625 0.622640175 "Sim2" "Andr" 19 "Srxn1"
"Srxn1_2.21" 0.7197995 0.671378325 0.76926055 0.929982 0.88272035 0.977522325 0.593961 0.5447987 0.64492005 "Sim2" "Andr" 20 "Srxn1"
"Srxn1_2.22" 0.736517 0.686365475 0.78756665 0.941314 0.892323475 0.9904996 0.613924 0.562953775 0.66669335 "Sim2" "Andr" 21 "Srxn1"
"Srxn1_2.23" 0.754587 0.7028188 0.807444 0.9584105 0.907879675 1.0095315 0.633413 0.580648775 0.68791865 "Sim2" "Andr" 22 "Srxn1"
"Srxn1_2.24" 0.770696 0.71720675 0.82518765 0.9700855 0.918248675 1.0227005 0.652341 0.597971625 0.7084252 "Sim2" "Andr" 23 "Srxn1"
"Srxn1_2.25" 0.7863195 0.73126475 0.842327275 0.981221 0.92793665 1.03526025 0.6707775 0.61492955 0.728446375 "Sim2" "Andr" 24 "Srxn1"
"Srxn1_2.26" 0.8012845 0.744769375 0.858906075 0.991108 0.93640555 1.04679025 0.6887175 0.6312129 0.748002175 "Sim2" "Andr" 25 "Srxn1"
"Srxn1_2.27" 0.815895 0.75799 0.87480615 1.00076 0.94467395 1.0578125 0.7062895 0.64727735 0.767040125 "Sim2" "Andr" 26 "Srxn1"
"Srxn1_2.28" 0.8305285 0.771180775 0.8909174 1.011835 0.95430615 1.07037225 0.7233175 0.662858975 0.785578575 "Sim2" "Andr" 27 "Srxn1"
"Srxn1_2.29" 0.8447925 0.783878725 0.90641885 1.02271 0.963791875 1.08294175 0.739956 0.678127975 0.803615225 "Sim2" "Andr" 28 "Srxn1"
"Srxn1_2.30" 0.858792 0.796572075 0.922050275 1.03363 0.9731466 1.09504575 0.7561695 0.692836425 0.82118205 "Sim2" "Andr" 29 "Srxn1"
"Srxn1_2.31" 0.8719315 0.8084652 0.936499075 1.0424 0.9806712 1.1053705 0.7719005 0.70736195 0.838287075 "Sim2" "Andr" 30 "Srxn1"
"Srxn1_2.32" 0.885858 0.821035725 0.951905375 1.055505 0.99242575 1.11966075 0.7872095 0.721408525 0.854916775 "Sim2" "Andr" 31 "Srxn1"
"Srxn1_2.33" 0.898227 0.832206025 0.965737 1.063475 0.99919865 1.12905025 0.802185 0.735054225 0.871086 "Sim2" "Andr" 32 "Srxn1"
"Srxn1_3.1" 0 0 0 0 0 0 0 0 0 "Sim3" "Andr" 0 "Srxn1"
"Srxn1_3.2" 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 "Sim3" "Andr" 1 "Srxn1"
"Srxn1_3.3" 0.07194655 0.06536543 0.0787484725 0.07805215 0.0714904025 0.0847602925 0.069883 0.0632667025 0.0767427925 "Sim3" "Andr" 2 "Srxn1"
"Srxn1_3.4" 0.1288285 0.11938495 0.138410025 0.1360215 0.1265329 0.145509225 0.125439 0.115951975 0.135093075 "Sim3" "Andr" 3 "Srxn1"
"Srxn1_3.5" 0.27458 0.261387575 0.287855425 0.302498 0.288627575 0.316383 0.251758 0.239133225 0.264715125 "Sim3" "Andr" 4 "Srxn1"
"Srxn1_3.6" 0.5283035 0.5058539 0.552546375 0.587226 0.5625539 0.61405205 0.475736 0.455079 0.4976996 "Sim3" "Andr" 5 "Srxn1"
"Srxn1_3.7" 0.8154965 0.779145925 0.8548687 0.9222465 0.88145 0.966121675 0.717325 0.685333325 0.752425075 "Sim3" "Andr" 6 "Srxn1"
"Srxn1_3.8" 1.13998 1.08926975 1.19467 1.30793 1.250689 1.368991 0.9834495 0.9388379 1.03125325 "Sim3" "Andr" 7 "Srxn1"
"Srxn1_3.9" 1.46984 1.407359 1.535751 1.70811 1.6379855 1.7821645 1.24428 1.1898495 1.301885 "Sim3" "Andr" 8 "Srxn1"
"Srxn1_3.10" 1.789985 1.72982875 1.85318025 2.08367 2.0163685 2.15391125 1.50864 1.45577975 1.56468125 "Sim3" "Andr" 9 "Srxn1"
"Srxn1_3.11" 2.08853 2.0305095 2.1493415 2.44497 2.3806 2.5121605 1.74477 1.693878 1.798542 "Sim3" "Andr" 10 "Srxn1"
"Srxn1_3.12" 2.23044 2.173989 2.290013 2.62588 2.56269825 2.69137025 1.84684 1.7967175 1.89981275 "Sim3" "Andr" 11 "Srxn1"
"Srxn1_3.13" 2.33073 2.27516 2.389143 2.76011 2.69812925 2.82434025 1.91272 1.8630685 1.96487025 "Sim3" "Andr" 12 "Srxn1"
"Srxn1_3.14" 2.43032 2.37566975 2.4874215 2.87923 2.8185695 2.9421205 1.99218 1.9428895 2.04340225 "Sim3" "Andr" 13 "Srxn1"
"Srxn1_3.15" 2.49135 2.43752825 2.5475905 2.9696 2.90989925 3.03145025 2.026705 1.97783925 2.0775115 "Sim3" "Andr" 14 "Srxn1"
"Srxn1_3.16" 2.526145 2.47291 2.58155025 3.035285 2.97629725 3.09627275 2.034955 1.98629875 2.0860325 "Sim3" "Andr" 15 "Srxn1"
"Srxn1_3.17" 2.541825 2.48819975 2.59739225 3.077155 3.01886975 3.138 2.030695 1.98166825 2.08202025 "Sim3" "Andr" 16 "Srxn1"
"Srxn1_3.18" 2.55427 2.50055825 2.61006025 3.110205 3.05229975 3.17072125 2.02786 1.978519 2.07932175 "Sim3" "Andr" 17 "Srxn1"
"Srxn1_3.19" 2.554825 2.50118825 2.61052025 3.133805 3.07587875 3.19441 2.015875 1.96628925 2.06749 "Sim3" "Andr" 18 "Srxn1"
"Srxn1_3.20" 2.548915 2.49484875 2.60520075 3.162355 3.10453875 3.22284075 1.99891 1.94883925 2.05098 "Sim3" "Andr" 19 "Srxn1"
"Srxn1_3.21" 2.55764 2.50349975 2.6140015 3.19541 3.137759 3.25619175 1.99225 1.94148825 2.0448305 "Sim3" "Andr" 20 "Srxn1"
"Srxn1_3.22" 2.53973 2.4852395 2.59669175 3.18978 3.1314885 3.2510315 1.97591 1.92441775 2.028891 "Sim3" "Andr" 21 "Srxn1"
"Srxn1_3.23" 2.52932 2.47438975 2.5864245 3.20556 3.14692825 3.267062 1.95984 1.90788 2.013332 "Sim3" "Andr" 22 "Srxn1"
"Srxn1_3.24" 2.519165 2.463919 2.57688075 3.19983 3.140656 3.26172175 1.94965 1.897079 2.0038905 "Sim3" "Andr" 23 "Srxn1"
"Srxn1_3.25" 2.49836 2.44253875 2.55676 3.18357 3.1234895 3.2459715 1.934315 1.88100625 1.98961 "Sim3" "Andr" 24 "Srxn1"
"Srxn1_3.26" 2.47607 2.419369 2.53525025 3.16025 3.0999175 3.22353025 1.91951 1.86523875 1.97528025 "Sim3" "Andr" 25 "Srxn1"
"Srxn1_3.27" 2.45309 2.395657 2.51245125 3.132195 3.07117725 3.1965425 1.905115 1.84988 1.96160175 "Sim3" "Andr" 26 "Srxn1"
"Srxn1_3.28" 2.429675 2.37154925 2.48954 3.098075 3.03625 3.16302 1.89213 1.83651825 1.9496105 "Sim3" "Andr" 27 "Srxn1"
