"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 "Simu1" 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Andr" 0 "Srxn1"
"Srxn1_1.2" 1 "Simu1" 0.1 0 0.0219702632906321 0.0439405265812641 0 0.0310706443145196 0.00579525717898305 0.00738864074545717 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 "Andr" 1 "Srxn1"
"Srxn1_1.3" 2 "Simu1" 0.1 0 0 0 0 0 0.00376671086804115 0.00652413460086913 0.07002045 0.0634071975 0.0768830375 0.07043435 0.06384 0.0772863075 0.069883 0.0632667025 0.0767427925 "Andr" 2 "Srxn1"
"Srxn1_1.4" 3 "Simu1" 0.1 0 0 0 0 0 0.00279875304127745 0.00484758246533047 0.1035885 0.0938223875 0.113714125 0.104 0.09424923 0.1141153 0.103458 0.093689245 0.11357825 "Andr" 3 "Srxn1"
"Srxn1_1.5" 4 "Simu1" 0.1 0 0 0 0 0 0.00278040344553418 0.00481580003320477 0.136315 0.123513975 0.1496084 0.1367095 0.1239127 0.1500032 0.13618 0.1233829 0.1494723 "Andr" 4 "Srxn1"
"Srxn1_1.6" 5 "Simu1" 0.1 0 0 0 0 0 0.00904589305530514 0.015667946371623 0.1681625 0.152434625 0.184532325 0.168544 0.152824625 0.1848946 0.168035 0.1523107 0.184402575 "Andr" 5 "Srxn1"
"Srxn1_1.7" 6 "Simu1" 0.1 0 0 0 0 0 0.0162515357995415 0.0281484857058304 0.1991985 0.180622975 0.218545025 0.1995775 0.1810179 0.218906 0.199071 0.1804873 0.218428 "Andr" 6 "Srxn1"
"Srxn1_1.8" 7 "Simu1" 0.1 0 0 0 0 0 0.0515686117813886 0.0482515719294568 0.2294515 0.208129175 0.251631425 0.229826 0.208498225 0.251993375 0.229325 0.208002275 0.251508725 "Andr" 7 "Srxn1"
"Srxn1_1.9" 8 "Simu1" 0.1 0 0 0 0 0 0.0837242234091107 0.0674296453450137 0.258899 0.234924125 0.283847175 0.259264 0.235286375 0.284206 0.258777 0.234803325 0.283721275 "Andr" 8 "Srxn1"
"Srxn1_1.10" 9 "Simu1" 0.1 0 0.0479617258481563 0.0959234516963127 0 0.0678281231692829 0.181373341204971 0.210090476564144 0.287609 0.261044925 0.315224275 0.287941 0.261380625 0.315542 0.2874955 0.260932675 0.31510955 "Andr" 9 "Srxn1"
"Srxn1_1.11" 10 "Simu1" 0.1 0 0 0 0 0 0.114459436874546 0.140857496129804 0.3256595 0.2967013 0.355745225 0.351081 0.322239925 0.38078315 0.315418 0.28638905 0.345619 "Andr" 10 "Srxn1"
"Srxn1_1.12" 11 "Simu1" 0.1 0 0 0 0 0 0.119165909115878 0.200662194957616 0.3525875 0.321164725 0.3852181 0.377379 0.34605035 0.4095563 0.342605 0.311191175 0.375279575 "Andr" 11 "Srxn1"
"Srxn1_1.13" 12 "Simu1" 0.1 0 0 0 0 0 0.145723572596532 0.175738421439 0.378836 0.345111475 0.413829075 0.4030155 0.36954085 0.437665275 0.3691175 0.335336425 0.404243 "Andr" 12 "Srxn1"
"Srxn1_1.14" 13 "Simu1" 0.1 0 0 0 0 0 0.17124940286806 0.183299210546909 0.4043945 0.368452975 0.44164515 0.427965 0.392166375 0.4649203 0.3949165 0.35889815 0.432363275 "Andr" 13 "Srxn1"
"Srxn1_1.15" 14 "Simu1" 0.1 0 0 0 0 0 0.179446505271657 0.173540076346221 0.4292745 0.391202875 0.4687444 0.4522165 0.4142137 0.4914382 0.420043 0.381903675 0.459660175 "Andr" 14 "Srxn1"
"Srxn1_1.16" 15 "Simu1" 0.1 0 0 0 0 0 0.198254932510475 0.183392011939709 0.4535005 0.4133603 0.495147075 0.475849 0.43581895 0.517164625 0.444553 0.404281 0.486296275 "Andr" 15 "Srxn1"
"Srxn1_1.17" 16 "Simu1" 0.1 0 0 0 0 0 0.207911813893889 0.181807744809742 0.4770995 0.4349399 0.520850025 0.498848 0.4567866 0.542289575 0.4684105 0.42609715 0.512250175 "Andr" 16 "Srxn1"
"Srxn1_1.18" 17 "Simu1" 0.1 0 0 0 0 0 0.220648148395931 0.195490528886973 0.5001265 0.455963025 0.54584945 0.521305 0.47721515 0.566694025 0.491622 0.4473131 0.537489125 "Andr" 17 "Srxn1"
"Srxn1_1.19" 18 "Simu1" 0.1 0 0 0 0 0 0.211408282358635 0.185981431470418 0.522529 0.47645985 0.5701778 0.5431205 0.497178 0.59054365 0.514222 0.468128775 0.56202615 "Andr" 18 "Srxn1"
"Srxn1_1.20" 19 "Simu1" 0.1 0 0 0 0 0 0.233504085780121 0.202221992635223 0.544341 0.496589925 0.59381805 0.564361 0.516763525 0.61363175 0.536272 0.48836435 0.5859224 "Andr" 19 "Srxn1"
