"medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Simulation" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 0 0 0 0 0 0 0 0 "Sim1" "cddo" 0 "Srxn1"
"Srxn1_1.2" 0.02318315 0.021147395 0.025441205 0.02318315 0.021147395 0.025441205 0.02318315 0.021147395 0.025441205 "Sim1" "cddo" 1 "Srxn1"
"Srxn1_1.3" 0.04599495 0.04196027 0.050473 0.04599495 0.04196027 0.050473 0.04599495 0.04196027 0.050473 "Sim1" "cddo" 2 "Srxn1"
"Srxn1_1.4" 0.068442 0.0624569475 0.0750939 0.068442 0.06245695 0.075094 0.068442 0.0624569475 0.0750939 "Sim1" "cddo" 3 "Srxn1"
"Srxn1_1.5" 0.1689885 0.141498975 0.198045 0.2959555 0.2604445 0.331014125 0.09054 0.0826167975 0.0993148 "Sim1" "cddo" 4 "Srxn1"
"Srxn1_1.6" 0.466616 0.444328875 0.490131 0.7328985 0.705541575 0.7590143 0.165471 0.14874395 0.183116 "Sim1" "cddo" 5 "Srxn1"
"Srxn1_1.7" 0.71561 0.699545 0.732335275 1.11678 1.09929 1.13406025 0.254503 0.23828895 0.27143255 "Sim1" "cddo" 6 "Srxn1"
"Srxn1_1.8" 0.915692 0.900775875 0.931873475 1.43594 1.41707975 1.45589025 0.304851 0.287895 0.322658 "Sim1" "cddo" 7 "Srxn1"
"Srxn1_1.9" 1.11041 1.09398975 1.12837 1.7264 1.70434 1.74973025 0.374099 0.356419875 0.39326325 "Sim1" "cddo" 8 "Srxn1"
"Srxn1_1.10" 1.31194 1.29396975 1.3317505 2.02823 2.00418975 2.05375075 0.420708 0.401909875 0.44139115 "Sim1" "cddo" 9 "Srxn1"
"Srxn1_1.11" 1.52543 1.50585 1.54686025 2.322945 2.29747 2.350051 0.497442 0.4772895 0.519751125 "Sim1" "cddo" 10 "Srxn1"
"Srxn1_1.12" 1.749 1.7277695 1.7719905 2.63928 2.6124295 2.6678805 0.590043 0.568471825 0.614110225 "Sim1" "cddo" 11 "Srxn1"
"Srxn1_1.13" 1.98983 1.96698975 2.01451 2.96792 2.93973 2.99782025 0.6898465 0.666726975 0.715656375 "Sim1" "cddo" 12 "Srxn1"
"Srxn1_1.14" 2.2416 2.21722 2.26786 3.300395 3.27107975 3.33148 0.8168785 0.79214055 0.844512375 "Sim1" "cddo" 13 "Srxn1"
"Srxn1_1.15" 2.51563 2.48962925 2.54364 3.62703 3.59677925 3.65906025 0.979061 0.952743 1.00862 "Sim1" "cddo" 14 "Srxn1"
"Srxn1_1.16" 2.81711 2.7896395 2.84682075 4.04911 4.01730975 4.0824005 1.10061 1.07280975 1.13179025 "Sim1" "cddo" 15 "Srxn1"
"Srxn1_1.17" 3.10525 3.07629 3.13659025 4.45896 4.4260495 4.49357025 1.218575 1.1894 1.25132 "Sim1" "cddo" 16 "Srxn1"
"Srxn1_1.18" 3.40137 3.37099975 3.43415 4.83854 4.80461925 4.87418025 1.35547 1.32488 1.38982025 "Sim1" "cddo" 17 "Srxn1"
"Srxn1_1.19" 3.69984 3.6682795 3.73415 5.24765 5.21263 5.28421125 1.51931 1.48723 1.5552805 "Sim1" "cddo" 18 "Srxn1"
"Srxn1_1.20" 4.00884 3.9760995 4.0448805 5.67503 5.63907925 5.71283075 1.6874 1.65386 1.72521025 "Sim1" "cddo" 19 "Srxn1"
"Srxn1_1.21" 4.29784 4.26398975 4.33529075 6.06985 6.03318925 6.1086405 1.83741 1.80277925 1.87626025 "Sim1" "cddo" 20 "Srxn1"
"Srxn1_1.22" 4.58825 4.55326975 4.6270915 6.46645 6.4290685 6.50625025 1.98135 1.94602 2.02077075 "Sim1" "cddo" 21 "Srxn1"
"Srxn1_1.23" 4.86102 4.82511 4.901021 6.84143 6.80353975 6.88198025 2.07769 2.04197975 2.1171205 "Sim1" "cddo" 22 "Srxn1"
"Srxn1_1.24" 5.15535 5.11830975 5.1967605 7.219135 7.18077875 7.2602905 2.25159 2.21429 2.29244025 "Sim1" "cddo" 23 "Srxn1"
"Srxn1_1.25" 5.44214 5.40414 5.48476 7.59796 7.55920975 7.64018025 2.32267 2.2807195 2.36776075 "Sim1" "cddo" 24 "Srxn1"
"Srxn1_1.26" 5.702165 5.66352 5.745861 7.91954 7.88075925 7.96244075 2.3265 2.28224925 2.37435075 "Sim1" "cddo" 25 "Srxn1"
"Srxn1_1.27" 6.151485 6.1112 6.19698 8.44542 8.40527 8.4898305 2.75835 2.7132 2.8072305 "Sim1" "cddo" 26 "Srxn1"
"Srxn1_1.28" 6.48665 6.4454095 6.5334105 8.77071 8.730159 8.81558075 3.09378 3.0475795 3.14368225 "Sim1" "cddo" 27 "Srxn1"
"Srxn1_1.29" 6.805035 6.76316925 6.8524705 9.19151 9.15 9.23703 3.196405 3.13994975 3.2549015 "Sim1" "cddo" 28 "Srxn1"
"Srxn1_1.30" 7.141905 7.09956975 7.18986125 9.63814 9.59566975 9.6849205 3.379985 3.31028 3.45106025 "Sim1" "cddo" 29 "Srxn1"
"Srxn1_1.31" 7.46261 7.42041975 7.51004025 10.0888 10.0454 10.1365 3.541895 3.45613925 3.62887025 "Sim1" "cddo" 30 "Srxn1"
"Srxn1_1.32" 7.73948 7.69644925 7.78545 10.4936 10.4497 10.5415 3.58856 3.49233875 3.688694 "Sim1" "cddo" 31 "Srxn1"
"Srxn1_1.33" 7.94709 7.89627 7.99752025 10.8917 10.8483 10.939 3.653225 3.5439775 3.7695105 "Sim1" "cddo" 32 "Srxn1"
"Srxn1_1.34" 7.98633 7.9229995 8.0488115 11.2061 11.164 11.2509025 3.63414 3.52427975 3.75169175 "Sim1" "cddo" 33 "Srxn1"
"Srxn1_1.35" 7.92376 7.85717925 7.99122 11.2552 11.2068 11.3042025 3.603745 3.495679 3.71955025 "Sim1" "cddo" 34 "Srxn1"
"Srxn1_1.36" 7.83891 7.77206925 7.90764025 11.3075 11.2434 11.3733025 3.56989 3.46398975 3.6833205 "Sim1" "cddo" 35 "Srxn1"
"Srxn1_1.37" 7.74107 7.67562825 7.8087805 11.2109 11.1405 11.2842 3.536215 3.43248 3.647581 "Sim1" "cddo" 36 "Srxn1"
"Srxn1_1.38" 7.642635 7.57852925 7.70924025 11.0992 11.0252975 11.1781 3.502895 3.401149 3.61205025 "Sim1" "cddo" 37 "Srxn1"
"Srxn1_1.39" 7.544415 7.48166975 7.60940025 10.9573 10.8839 11.0364025 3.47029 3.37058775 3.5771755 "Sim1" "cddo" 38 "Srxn1"
"Srxn1_1.40" 7.44759 7.385779 7.51098 10.8098 10.7376 10.8874 3.43807 3.34012825 3.5431705 "Sim1" "cddo" 39 "Srxn1"
"Srxn1_1.41" 7.352125 7.29134 7.4142005 10.6614 10.5902 10.7373 3.40644 3.31043975 3.509781 "Sim1" "cddo" 40 "Srxn1"
"Srxn1_1.42" 7.25814 7.19779975 7.319731 10.5151 10.4442 10.5896025 3.37532 3.2812595 3.4772605 "Sim1" "cddo" 41 "Srxn1"
"Srxn1_1.43" 7.165575 7.10582 7.22705125 10.3708 10.3005975 10.4443025 3.3447 3.25220975 3.44499 "Sim1" "cddo" 42 "Srxn1"
"Srxn1_1.44" 7.07464 7.01490925 7.13569425 10.2287 10.1583 10.3019 3.314675 3.22367975 3.41326025 "Sim1" "cddo" 43 "Srxn1"
"Srxn1_1.45" 6.98509 6.9248695 7.04624025 10.0889 10.0183975 10.1617 3.2851 3.1955075 3.3819735 "Sim1" "cddo" 44 "Srxn1"
"Srxn1_1.46" 6.896985 6.8363 6.95842075 9.951395 9.87998975 10.0238025 3.2559 3.16768 3.35147025 "Sim1" "cddo" 45 "Srxn1"
"Srxn1_1.47" 6.810205 6.74915975 6.87192 9.815975 9.74413 9.88861375 3.227265 3.14021925 3.3210415 "Sim1" "cddo" 46 "Srxn1"
"Srxn1_1.48" 6.72483 6.66307975 6.78661 9.68267 9.60992975 9.75617025 3.199005 3.1130195 3.29137025 "Sim1" "cddo" 47 "Srxn1"
"Srxn1_1.49" 6.64076 6.57838975 6.70333025 9.551355 9.47740975 9.6257505 3.171165 3.08638975 3.26219075 "Sim1" "cddo" 48 "Srxn1"
"Srxn1_2.1" 0 0 0 0 0 0 0 0 0 "Sim2" "cddo" 0 "Srxn1"
"Srxn1_2.2" 0.02318315 0.021147395 0.025441205 0.02318315 0.021147395 0.025441205 0.02318315 0.021147395 0.025441205 "Sim2" "cddo" 1 "Srxn1"
"Srxn1_2.3" 0.04599495 0.04196027 0.050473 0.04599495 0.04196027 0.050473 0.04599495 0.04196027 0.050473 "Sim2" "cddo" 2 "Srxn1"
"Srxn1_2.4" 0.0685941 0.0625678875 0.075255405 0.0745762 0.06687809 0.08615099 0.068442 0.06245695 0.075094 "Sim2" "cddo" 3 "Srxn1"
"Srxn1_2.5" 0.5907085 0.570712425 0.60450415 0.8086845 0.798393775 0.82045 0.3232765 0.286698925 0.358672025 "Sim2" "cddo" 4 "Srxn1"
"Srxn1_2.6" 1.14575 1.13176 1.1591 1.53178 1.51259975 1.55167 0.7126665 0.683541575 0.7401513 "Sim2" "cddo" 5 "Srxn1"
"Srxn1_2.7" 1.584675 1.55663 1.60659025 2.07772 2.03685975 2.11875075 1.01264 0.992257 1.03193 "Sim2" "cddo" 6 "Srxn1"
"Srxn1_2.8" 1.92609 1.8865295 1.95855075 2.482285 2.42790875 2.53773025 1.26684 1.2488295 1.28529 "Sim2" "cddo" 7 "Srxn1"
"Srxn1_2.9" 2.27512 2.23078 2.31356025 2.89356 2.8338 2.95591075 1.52901 1.50943975 1.54949025 "Sim2" "cddo" 8 "Srxn1"
"Srxn1_2.10" 2.58723 2.54194975 2.62762075 3.26024 3.19932975 3.3240105 1.75121 1.73016975 1.77336075 "Sim2" "cddo" 9 "Srxn1"
"Srxn1_2.11" 2.92727 2.88195975 2.96832 3.677445 3.6165495 3.74138 2.01116 1.98860975 2.0350005 "Sim2" "cddo" 10 "Srxn1"
"Srxn1_2.12" 3.262185 3.21701975 3.30369 4.08539 4.0247895 4.148862 2.2705 2.24650975 2.29593025 "Sim2" "cddo" 11 "Srxn1"
"Srxn1_2.13" 3.624955 3.57990975 3.66669275 4.535535 4.47547975 4.59891 2.55191 2.5265895 2.57896025 "Sim2" "cddo" 12 "Srxn1"
"Srxn1_2.14" 3.99892 3.95371925 4.040971 5.021615 4.96208975 5.08490075 2.82071 2.79422975 2.8491705 "Sim2" "cddo" 13 "Srxn1"
"Srxn1_2.15" 4.39527 4.34995975 4.43791125 5.50533 5.44620875 5.56812025 3.13595 3.10798975 3.16589 "Sim2" "cddo" 14 "Srxn1"
"Srxn1_2.16" 4.79693 4.75163875 4.83978 5.997105 5.93855925 6.0590825 3.453545 3.42417 3.4847005 "Sim2" "cddo" 15 "Srxn1"
"Srxn1_2.17" 5.19026 5.14500975 5.23329025 6.463665 6.4057595 6.52509025 3.78235 3.75155 3.81489025 "Sim2" "cddo" 16 "Srxn1"
"Srxn1_2.18" 5.57895 5.53393925 5.62223 6.958175 6.90068975 7.018871 4.07047 4.03877975 4.10398025 "Sim2" "cddo" 17 "Srxn1"
"Srxn1_2.19" 5.983085 5.93815975 6.02650025 7.463295 7.40656 7.5233705 4.40183 4.36900975 4.43668 "Sim2" "cddo" 18 "Srxn1"
"Srxn1_2.20" 6.41255 6.36792925 6.45609025 7.96891 7.9127595 8.02836025 4.793345 4.7592 4.8296205 "Sim2" "cddo" 19 "Srxn1"
"Srxn1_2.21" 6.81164 6.76729925 6.85506075 8.41366 8.35829975 8.4721405 5.13799 5.10316975 5.1756205 "Sim2" "cddo" 20 "Srxn1"
"Srxn1_2.22" 7.1904 7.146029 7.2338805 8.83306 8.77880925 8.89060025 5.492455 5.45688975 5.5312305 "Sim2" "cddo" 21 "Srxn1"
"Srxn1_2.23" 7.559 7.51494 7.602461 9.279875 9.22648875 9.3365305 5.802405 5.76612 5.8419405 "Sim2" "cddo" 22 "Srxn1"
"Srxn1_2.24" 7.93673 7.89282875 7.980371 9.71583 9.6632495 9.77174075 6.118225 6.08126 6.15873075 "Sim2" "cddo" 23 "Srxn1"
"Srxn1_2.25" 8.317845 8.2739295 8.361541 10.2062 10.1537 10.2612 6.434175 6.39648925 6.47596025 "Sim2" "cddo" 24 "Srxn1"
"Srxn1_2.26" 8.67939 8.63579975 8.723181 10.6604 10.6086 10.7149025 6.7445 6.70609975 6.78730025 "Sim2" "cddo" 25 "Srxn1"
"Srxn1_2.27" 9.183485 9.139789 9.228191 11.1976 11.1462 11.2517 7.1589 7.11917 7.20329125 "Sim2" "cddo" 26 "Srxn1"
"Srxn1_2.28" 9.58754 9.54385875 9.63284075 11.6055 11.5545 11.6592 7.56044 7.51948975 7.6060705 "Sim2" "cddo" 27 "Srxn1"
"Srxn1_2.29" 10.0019 9.95790975 10.0476025 12.0172 11.9668 12.0707025 7.955195 7.9131895 8.0019405 "Sim2" "cddo" 28 "Srxn1"
"Srxn1_2.30" 10.4311 10.3867 10.4779 12.4699 12.4195 12.5234 8.38256 8.33947975 8.43055025 "Sim2" "cddo" 29 "Srxn1"
"Srxn1_2.31" 10.844 10.7994 10.8912 12.9507 12.9 13.0044 8.771895 8.72815975 8.820482 "Sim2" "cddo" 30 "Srxn1"
"Srxn1_2.32" 11.2454 11.2007975 11.2929 13.3836 13.3329975 13.4377 9.165715 9.12182975 9.2144705 "Sim2" "cddo" 31 "Srxn1"
"Srxn1_2.33" 11.6315 11.5873975 11.6783 13.7826 13.7324 13.8364 9.5377 9.4945395 9.58550025 "Sim2" "cddo" 32 "Srxn1"
"Srxn1_2.34" 11.9939 11.9509 12.0389 14.2056 14.1556 14.259 9.850985 9.80638925 9.89733025 "Sim2" "cddo" 33 "Srxn1"
"Srxn1_2.35" 12.1634 12.1157975 12.2111 14.4921 14.4444 14.5423 9.8543 9.80297 9.90613 "Sim2" "cddo" 34 "Srxn1"
"Srxn1_2.36" 12.1868 12.1247975 12.2492 14.6749 14.6185 14.7306025 9.8039 9.7457 9.86372125 "Sim2" "cddo" 35 "Srxn1"
"Srxn1_2.37" 12.1166 12.0442975 12.1915025 14.7023 14.6291975 14.7756025 9.70712 9.64629 9.7707105 "Sim2" "cddo" 36 "Srxn1"
"Srxn1_2.38" 11.9923 11.9157 12.0739 14.5707 14.4889 14.6538 9.592305 9.53078875 9.65673 "Sim2" "cddo" 37 "Srxn1"
