"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 "Simu1" 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CDDO" 0 "Srxn1"
"Srxn1_1.2" 1 "Simu1" 0.01 0.01 0.111812897410776 0.170972342257674 0 0.096887434708744 0.00168605923304642 0.00292034025620701 0.0231777 0.0211542 0.0253844325 0.0231777 0.0211542 0.0253844325 0.0231777 0.0211542 0.0253844325 "CDDO" 1 "Srxn1"
"Srxn1_1.3" 2 "Simu1" 0.01 0.01 0.182371535901359 0.236693910458228 0.0940170848248412 0.0771868241177491 0 0 0.0459831 0.041976055 0.0503637 0.0459831 0.041976055 0.0503637 0.0459831 0.041976055 0.0503637 "CDDO" 2 "Srxn1"
"Srxn1_1.4" 3 "Simu1" 0.01 0.01 0.366295530972517 0.396138239071704 0.345025609904069 0.0266128676247572 0 0 0.0684303 0.06246899 0.074943745 0.06849775 0.062534435 0.075025915 0.06842495 0.0624650225 0.07494079 "CDDO" 3 "Srxn1"
"Srxn1_1.5" 4 "Simu1" 0.01 0.01 0.377472048473708 0.423102785460945 0.339501068244166 0.0423239375010036 0.0460336795021125 0.012070577307288 0.4230035 0.3855761 0.454742075 0.474272 0.438954325 0.5007408 0.3861965 0.34828475 0.42008065 "CDDO" 4 "Srxn1"
"Srxn1_1.6" 5 "Simu1" 0.01 0.01 0.335632771402123 0.391843611190873 0.281097733721799 0.0553919540964999 0.285815399222391 0.02335921999524 0.8078755 0.778019225 0.831758725 0.9032335 0.87632175 0.922578375 0.7353775 0.704357075 0.76244405 "CDDO" 5 "Srxn1"
"Srxn1_1.7" 6 "Simu1" 0.01 0.01 0.31920540915947 0.364835321521132 0.275536361930286 0.044681761268472 0.835970942566162 0.133766577500286 1.08918 1.068099 1.10681075 1.227815 1.21008925 1.24323075 0.973389 0.950070875 0.9934844 "CDDO" 6 "Srxn1"
"Srxn1_1.8" 7 "Simu1" 0.01 0.01 0.288951355823924 0.313403611862207 0.25781923153619 0.028387872655931 1.34364754417711 0.265135254199165 1.31237 1.29372 1.32990025 1.48048 1.46203925 1.49952075 1.16924 1.1494185 1.18752 "CDDO" 7 "Srxn1"
"Srxn1_1.9" 8 "Simu1" 0.01 0.01 0.325640084763016 0.350183971159793 0.283761282139027 0.0364467816774081 1.79539867625144 0.379609685908897 1.5039 1.4846795 1.523391 1.68537 1.66468975 1.7062205 1.342735 1.3225695 1.3616815 "CDDO" 8 "Srxn1"
"Srxn1_1.10" 9 "Simu1" 0.01 0.01 0.400122962138288 0.418285279802752 0.373419132116341 0.0236211955046628 2.55056390920753 0.695642076348149 1.725075 1.704389 1.74639025 1.920175 1.8981995 1.94258425 1.53784 1.5166785 1.5581325 "CDDO" 9 "Srxn1"
"Srxn1_1.11" 10 "Simu1" 0.01 0.01 0.323105918376124 0.350710503991053 0.289022405131513 0.0313502434224855 2.49430140582079 0.746528532650643 2.009455 1.9870885 2.032571 2.21431 2.19086925 2.23858075 1.805555 1.78281925 1.82788125 "CDDO" 10 "Srxn1"
