"iter"	"r.1.4."	"decay.1.4."	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"LnPrior"	"LnData"	"LnPosterior"
4996908	1.1431	0.102281	0.0243631	0.0164065	0.0141965	1.0032	130339	107173	9.99795	-16.7688	-12890.75	-12907.52
4998851	1.21117	0.102329	0.0234316	0.0161507	0.0140904	1.00334	130649	107169	9.75406	-15.5387	-12891.91	-12907.45
4999620	1.1584	0.104293	0.0220753	0.0159879	0.0129763	1.00381	130425	107172	9.84213	-15.83279	-12889.31	-12905.14
4999865	1.15206	0.102264	0.0243617	0.0163379	0.01427	1.0036	130453	106877	9.9062	-17.53156	-12894.62	-12912.15
4996271	1.17454	0.102089	0.0220992	0.0160163	0.0141552	1.0035	130499	106859	9.83854	-13.21786	-12895.41	-12908.63
4996517	1.16562	0.103452	0.0214393	0.0160758	0.0134623	1.00366	130528	107284	9.95276	-17.67958	-12887.73	-12905.41
4998874	1.20238	0.103072	0.0229656	0.0154292	0.0139596	1.00417	130399	107090	9.95107	-18.94175	-12888.1	-12907.04
4996341	1.14861	0.10178	0.0238425	0.0160933	0.0145502	1.00318	130458	107152	9.88782	-14.11685	-12892.52	-12906.63
4997557	1.20646	0.102556	0.0238008	0.0161779	0.0139206	1.0036	130664	107100	9.99849	-15.18807	-12888.72	-12903.91
4999855	1.15425	0.103415	0.0227293	0.0157318	0.0136748	1.00408	130459	106992	9.99439	-17.4959	-12889.03	-12906.52
4996105	1.16463	0.102858	0.0218704	0.0161064	0.0138516	1.00337	130446	107124	9.9349	-14.47591	-12887.47	-12901.94
4995261	1.17978	0.101968	0.0225765	0.0157939	0.0145403	1.00345	130596	107176	9.94404	-13.46628	-12891.93	-12905.39
4997387	1.15151	0.102524	0.0230699	0.0160635	0.0140019	1.00363	130575	107067	9.89205	-13.79738	-12889.05	-12902.84
4998532	1.18159	0.103264	0.0239958	0.0163313	0.0135891	1.0034	130648	107067	9.96648	-12.66974	-12898.84	-12911.51
4999197	1.19202	0.102414	0.0226184	0.0161798	0.0140929	1.0031	130476	107176	9.99095	-13.66423	-12888.17	-12901.83
4999550	1.17919	0.103155	0.0233066	0.015599	0.0139146	1.00396	130402	107311	9.99869	-18.81032	-12885.93	-12904.74
4998692	1.18344	0.101241	0.0247001	0.0159938	0.0149563	1.00328	130486	107035	9.95897	-14.71962	-12889.69	-12904.41
4995083	1.1838	0.101989	0.023595	0.0159091	0.0143141	1.00374	130360	107112	9.96033	-17.10584	-12890.74	-12907.85
4999164	1.15649	0.102763	0.0217661	0.016025	0.0140331	1.00342	130442	107310	9.94418	-18.69485	-12887.51	-12906.2
4996533	1.20833	0.100936	0.0250238	0.015889	0.0148784	1.00355	130495	107004	9.89378	-14.43636	-12894.72	-12909.16
4999922	1.19759	0.102857	0.0231565	0.0159355	0.0138222	1.00368	130486	107165	9.89524	-14.6619	-12888.13	-12902.79
4997598	1.2132	0.102605	0.0222957	0.016556	0.0137745	1.00303	130427	107062	9.83128	-10.90046	-12898.42	-12909.32
4995218	1.21378	0.102552	0.0238415	0.0158102	0.014413	1.00368	130354	106902	9.82316	-15.35097	-12896.42	-12911.77
4997646	1.19854	0.101286	0.0258893	0.0164828	0.0149693	1.0024	130461	107200	9.98056	-12.15482	-12895.74	-12907.89
4995818	1.18118	0.103286	0.0228571	0.0159589	0.0135747	1.00396	130393	107021	9.98012	-17.28896	-12885.96	-12903.25
4999442	1.16265	0.102371	0.0214697	0.0152549	0.014184	1.0043	130315	106928	9.99097	-19.8719	-12890.33	-12910.2
4996298	1.18669	0.102815	0.0230538	0.0159677	0.0140496	1.00342	130482	107124	9.95936	-13.45846	-12891.8	-12905.26
4999340	1.13052	0.102925	0.0249777	0.0159024	0.0137182	1.004	130363	107067	9.96685	-17.37133	-12894.61	-12911.99
4996438	1.18531	0.101418	0.0226673	0.0161716	0.0146695	1.00294	130536	107105	9.92703	-13.58901	-12892.89	-12906.48
4999710	1.18141	0.102262	0.0230733	0.0156854	0.0144417	1.00379	130354	107007	9.9556	-16.23067	-12888.44	-12904.67
4999391	1.15965	0.103082	0.0224994	0.0159098	0.0137507	1.00379	130389	107099	9.89668	-18.14838	-12886.49	-12904.64
4997792	1.17247	0.101773	0.0236898	0.0167364	0.0144351	1.00257	130566	107047	9.99036	-10.82724	-12893.39	-12904.22
4999629	1.17682	0.103201	0.0240999	0.015735	0.0139673	1.00375	130389	107101	9.93146	-15.49985	-12896.29	-12911.79
4997094	1.17	0.10173	0.0245438	0.0162954	0.0146455	1.00296	130399	107178	9.96599	-16.59801	-12889.15	-12905.75
4996337	1.19307	0.102661	0.0220506	0.0162058	0.0140618	1.003	130347	107192	9.99304	-14.78504	-12887.32	-12902.11
4996652	1.14792	0.101751	0.023231	0.015415	0.0148142	1.00406	130536	107012	9.96497	-15.40233	-12897.45	-12912.86
