"medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Simulation" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 0 0 0 0 0 0 0 0 "Sim1" "CDDO" 0 "Srxn1"
"Srxn1_1.2" 0.0231777 0.0211403 0.025445115 0.0231777 0.0211403 0.025445115 0.0231777 0.0211403 0.025445115 "Sim1" "CDDO" 1 "Srxn1"
"Srxn1_1.3" 0.0459843 0.0419465 0.0504768025 0.0459843 0.0419465 0.0504768025 0.0459843 0.0419465 0.0504768025 "Sim1" "CDDO" 2 "Srxn1"
"Srxn1_1.4" 0.06843065 0.06243077 0.0751095475 0.07039495 0.0641528225 0.07776672 0.06842625 0.0624259975 0.0751048425 "Sim1" "CDDO" 3 "Srxn1"
"Srxn1_1.5" 0.3217745 0.285922 0.356963025 0.5007435 0.467125275 0.52635015 0.1494185 0.124999325 0.1763945 "Sim1" "CDDO" 4 "Srxn1"
"Srxn1_1.6" 0.706173 0.677458275 0.7335161 0.9612095 0.93667145 0.9798963 0.4227035 0.40273385 0.445018825 "Sim1" "CDDO" 5 "Srxn1"
"Srxn1_1.7" 1.014265 0.99426555 1.033311 1.335955 1.3186185 1.3532005 0.6586875 0.6438157 0.6748161 "Sim1" "CDDO" 6 "Srxn1"
"Srxn1_1.8" 1.25613 1.23815975 1.2747705 1.60154 1.58004975 1.6226225 0.854215 0.8399109 0.870319175 "Sim1" "CDDO" 7 "Srxn1"
"Srxn1_1.9" 1.48686 1.46729 1.5071005 1.87877 1.85361 1.903082 1.018315 1.00216 1.0362405 "Sim1" "CDDO" 8 "Srxn1"
"Srxn1_1.10" 1.67397 1.653908 1.695501 2.090055 2.06466975 2.1147715 1.16578 1.14828925 1.18488225 "Sim1" "CDDO" 9 "Srxn1"
"Srxn1_1.11" 1.892405 1.8714485 1.9153215 2.38928 2.36328 2.41480025 1.30067 1.28193925 1.32131075 "Sim1" "CDDO" 10 "Srxn1"
"Srxn1_1.12" 1.968705 1.94648975 1.99242375 2.507355 2.48140825 2.53340025 1.303095 1.28359 1.32511075 "Sim1" "CDDO" 11 "Srxn1"
"Srxn1_1.13" 2.02082 1.9983375 2.04539125 2.58661 2.560789 2.61285175 1.30546 1.2850485 1.32911225 "Sim1" "CDDO" 12 "Srxn1"
"Srxn1_1.14" 2.082095 2.05877675 2.1077215 2.67804 2.65183975 2.704674 1.3077 1.2862995 1.3330835 "Sim1" "CDDO" 13 "Srxn1"
"Srxn1_1.15" 2.13453 2.11050975 2.16153025 2.76692 2.740359 2.79443125 1.30996 1.2871385 1.33705175 "Sim1" "CDDO" 14 "Srxn1"
"Srxn1_1.16" 2.191055 2.16634 2.2196405 2.852445 2.825129 2.88113 1.31224 1.28792925 1.34035225 "Sim1" "CDDO" 15 "Srxn1"
"Srxn1_1.17" 2.25075 2.22500975 2.28065 2.9467 2.918849 2.97662225 1.31439 1.2890085 1.3439615 "Sim1" "CDDO" 16 "Srxn1"
"Srxn1_1.18" 2.31755 2.29043725 2.34867125 3.047405 3.01883725 3.07863025 1.31669 1.289838 1.3474545 "Sim1" "CDDO" 17 "Srxn1"
"Srxn1_1.19" 2.39217 2.36396975 2.42487 3.17017 3.14047 3.2021955 1.318915 1.29069925 1.3509605 "Sim1" "CDDO" 18 "Srxn1"
"Srxn1_1.20" 2.45372 2.42456775 2.48767025 3.274955 3.24426 3.30851225 1.32109 1.29173875 1.35457125 "Sim1" "CDDO" 19 "Srxn1"
"Srxn1_1.21" 2.518745 2.48819 2.55379175 3.386465 3.35471925 3.4213235 1.323215 1.29272925 1.3581115 "Sim1" "CDDO" 20 "Srxn1"
