"iter"	"r.1.4."	"decay.1.4."	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"LnPrior"	"LnData"	"LnPosterior"
4997498	1.15167	0.102448	0.02369	0.016155	0.0142809	1.00335	130489	107078	9.9447	-14.41038	-12889.8	-12904.21
4999273	1.17748	0.102522	0.0224965	0.0158684	0.0140195	1.00373	130424	107090	9.97745	-17.03303	-12887.75	-12904.78
4995456	1.20069	0.102468	0.0230282	0.016618	0.0140287	1.00276	130355	106896	9.9829	-13.94946	-12893.04	-12906.99
4995961	1.1819	0.102371	0.0252036	0.0156794	0.0139623	1.00408	130374	107108	9.97311	-15.89453	-12893.12	-12909.01
4999070	1.17609	0.102449	0.0232831	0.0161214	0.0141854	1.00332	130459	107138	9.98271	-14.54213	-12886.81	-12901.36
4996945	1.17581	0.102314	0.0235595	0.0162926	0.0141838	1.00327	130551	107060	9.9511	-15.00432	-12888.61	-12903.62
4997013	1.15158	0.102028	0.0237116	0.0155802	0.0143965	1.00371	130245	107174	9.99256	-19.90656	-12889.19	-12909.09
4998195	1.1934	0.102217	0.0238301	0.0157776	0.0143718	1.00353	130285	107020	9.84895	-15.86477	-12888.27	-12904.13
4998182	1.19561	0.103204	0.0246384	0.0164016	0.0136629	1.00343	130460	107063	9.89495	-18.46244	-12890.48	-12908.94
4996753	1.14481	0.102511	0.0217817	0.0159704	0.0138927	1.00347	130377	107004	9.90447	-13.89431	-12894.32	-12908.21
4999281	1.14304	0.102779	0.0224965	0.0159022	0.0140034	1.00379	130547	107143	9.93642	-15.66089	-12889.48	-12905.14
4999814	1.18399	0.102243	0.0236486	0.0164352	0.0141055	1.003	130441	107117	9.98791	-17.11436	-12887.2	-12904.31
4997467	1.19365	0.10225	0.024219	0.016564	0.0143054	1.00265	130150	107084	9.8732	-17.37495	-12891.41	-12908.78
4996858	1.18586	0.102013	0.0235459	0.0158926	0.014519	1.00355	130481	107143	9.92075	-17.04701	-12887.5	-12904.55
4999008	1.18865	0.102803	0.022641	0.0161469	0.0137995	1.00348	130439	107292	9.86151	-17.26282	-12895.04	-12912.3
4998821	1.17832	0.103078	0.0223363	0.0162334	0.014	1.00332	130490	107109	9.93431	-14.80654	-12892.26	-12907.07
4997034	1.19947	0.102105	0.0235335	0.0158877	0.0143826	1.00366	130523	107065	9.96228	-16.4131	-12887.44	-12903.85
4998101	1.16973	0.102671	0.0232056	0.0160047	0.0140879	1.00366	130576	107026	9.99522	-13.81573	-12888.98	-12902.79
4999479	1.15569	0.10221	0.0227122	0.0153565	0.0143107	1.00436	130688	107036	9.89521	-16.8008	-12895.62	-12912.42
4997608	1.24881	0.10041	0.0246888	0.0161081	0.0155925	1.0026	130287	107118	9.99097	-13.23236	-12893.92	-12907.16
4996120	1.14149	0.102817	0.0225075	0.0162198	0.0139854	1.00341	130553	107189	9.89706	-14.08253	-12892.19	-12906.27
4997691	1.22259	0.102626	0.0240696	0.016229	0.0140677	1.00333	130481	107044	9.85643	-11.69278	-12893.68	-12905.38
4995230	1.19727	0.102404	0.0226682	0.0158845	0.0138756	1.00377	130654	107121	9.82119	-14.57203	-12894.08	-12908.65
4999648	1.16826	0.102235	0.0228729	0.0155613	0.0145017	1.004	130590	107097	9.92986	-17.93539	-12894.03	-12911.96
4998519	1.14197	0.103672	0.021319	0.0158877	0.0134326	1.00369	130301	107189	9.89971	-19.26815	-12885.76	-12905.03
4998294	1.16676	0.103674	0.023334	0.0163074	0.0132968	1.0039	130611	107082	9.89766	-14.53094	-12892.15	-12906.68
4995683	1.19853	0.103495	0.0230789	0.0161751	0.0136441	1.00323	130269	107155	9.9759	-15.74329	-12891.64	-12907.38
4999014	1.17709	0.102655	0.0230175	0.0158878	0.0140009	1.00349	130525	107284	9.84344	-16.31358	-12887.9	-12904.22
4995173	1.19567	0.102624	0.0254479	0.0157495	0.0141481	1.00386	130321	107061	9.97168	-15.30333	-12894.42	-12909.72
4996757	1.18271	0.102259	0.0235736	0.016153	0.0140311	1.00345	130456	106995	9.97393	-12.6215	-12893.28	-12905.9
4997696	1.16591	0.101828	0.0244798	0.0163904	0.0143039	1.00309	130388	107072	9.9815	-10.97405	-12893.35	-12904.32
4998131	1.17429	0.101807	0.0231243	0.0161055	0.0145838	1.00345	130530	107017	9.81119	-11.44607	-12896.57	-12908.01
4998954	1.16938	0.103806	0.0211972	0.0162422	0.0133829	1.00342	130419	107149	9.99502	-13.60701	-12890.68	-12904.28
4996955	1.22613	0.102655	0.0250468	0.0162837	0.0142638	1.00322	130480	107121	9.97332	-12.75547	-12894.65	-12907.4
4995284	1.15272	0.102537	0.024599	0.0163127	0.0138127	1.00347	130461	107146	9.88384	-14.16451	-12891.6	-12905.76
4997713	1.16908	0.102518	0.0238863	0.0162594	0.0141859	1.0032	130259	106955	9.9836	-18.3347	-12887.97	-12906.31
4996858	1.11554	0.102752	0.0221482	0.0160265	0.0139464	1.00351	130431	107149	9.93139	-16.25029	-12890.33	-12906.58
4999706	1.17767	0.103797	0.0245005	0.0161834	0.0134707	1.00355	130443	107139	9.8808	-16.38496	-12891.46	-12907.85
4997694	1.16731	0.102472	0.0244672	0.0162377	0.0142251	1.00315	130313	107018	9.98143	-14.89507	-12888.84	-12903.73
4996131	1.14667	0.1024	0.0220258	0.0162333	0.0140754	1.00321	130549	107129	9.75925	-15.35717	-12894.58	-12909.94
4998626	1.1442	0.102748	0.0217345	0.016108	0.0136614	1.00327	130323	107292	9.97763	-17.49782	-12887.21	-12904.7
4999599	1.19076	0.101648	0.0253134	0.0155241	0.0150504	1.00405	130654	106980	9.94467	-15.8414	-12894.21	-12910.05
4995897	1.16496	0.103486	0.0232647	0.0159993	0.0135986	1.00381	130456	107063	9.7767	-13.65995	-12893.79	-12907.45
4996625	1.18024	0.102074	0.0215109	0.0161	0.0145085	1.0031	130565	107159	9.96172	-12.27169	-12894.72	-12906.99
4996491	1.17051	0.103579	0.0222071	0.0161528	0.0135087	1.00374	130499	106930	9.95096	-15.8577	-12890.89	-12906.75
4999544	1.1599	0.103695	0.0223879	0.0158157	0.0136618	1.00376	130485	107072	9.86687	-16.35342	-12891.05	-12907.4
4999876	1.18439	0.102551	0.0229415	0.0159963	0.0140714	1.0037	130581	106964	9.86951	-14.12181	-12889.53	-12903.65
4999493	1.18512	0.103316	0.0230432	0.0162483	0.0136678	1.00374	130499	106979	9.91964	-14.62138	-12891.48	-12906.1
4997980	1.18768	0.10312	0.0227753	0.016082	0.0136771	1.00329	130301	107088	9.78178	-14.93205	-12891.71	-12906.64
4996635	1.19009	0.102969	0.0234567	0.0166193	0.0135971	1.00321	130397	107109	9.83918	-14.3353	-12892.8	-12907.14
4999753	1.16382	0.102419	0.0240687	0.0162486	0.0139928	1.00333	130337	107139	9.8907	-15.60105	-12888.17	-12903.77
4999502	1.13146	0.103034	0.0228328	0.015968	0.0138282	1.00402	130552	106858	9.79876	-18.15613	-12890.17	-12908.32
4995713	1.17824	0.103159	0.0243122	0.0160775	0.013667	1.00367	130628	107227	9.89132	-17.14896	-12887.63	-12904.78
4999469	1.14976	0.102829	0.0241374	0.0162498	0.013934	1.0036	130574	107113	9.99859	-14.42189	-12888.07	-12902.49
4998304	1.21888	0.101074	0.025465	0.016565	0.0148913	1.00256	130505	107137	9.97991	-14.4712	-12890.77	-12905.24
4997250	1.16353	0.102178	0.0246226	0.0161479	0.0143392	1.00343	130488	107175	9.76699	-14.83565	-12892.08	-12906.91
4998718	1.17106	0.10234	0.0238509	0.0163535	0.0141833	1.00298	130258	107170	9.89095	-17.12113	-12889.34	-12906.46
4995265	1.2012	0.102531	0.0210822	0.0159697	0.0140201	1.00329	130273	107049	9.9951	-16.34118	-12888.85	-12905.19
4995645	1.17278	0.103228	0.023512	0.015586	0.0137901	1.00407	130405	107026	9.93603	-14.71861	-12897.74	-12912.46
4995773	1.15281	0.101404	0.0247923	0.0159204	0.0147967	1.00334	130305	107068	9.97069	-15.81671	-12892.09	-12907.91
4997793	1.17247	0.101773	0.0236898	0.0167364	0.0144584	1.00257	130566	107169	9.88737	-11.45696	-12893.59	-12905.05
4999488	1.22803	0.102582	0.0241577	0.016245	0.0141274	1.00323	130587	107172	9.92073	-15.01815	-12893.77	-12908.79
4998472	1.18041	0.101801	0.0229615	0.0162119	0.0142795	1.00317	130374	107081	9.89217	-12.0573	-12891.61	-12903.67
4998069	1.1516	0.103201	0.0243273	0.0164801	0.0135624	1.00334	130519	107094	9.85544	-14.90845	-12893.05	-12907.96
4997754	1.23647	0.1031	0.0229646	0.016053	0.0136568	1.00335	130342	107149	9.96285	-14.64455	-12893.06	-12907.7
4997431	1.20294	0.101509	0.0236686	0.0161843	0.014736	1.00288	130410	107060	9.92953	-12.30317	-12893.47	-12905.78
4997996	1.18787	0.103243	0.0239496	0.0161094	0.0134448	1.00365	130389	107207	9.95875	-15.87175	-12891.17	-12907.04
4998660	1.1899	0.102527	0.0249111	0.016222	0.0140641	1.00327	130415	107156	9.89248	-14.33757	-12889.07	-12903.41
4998647	1.16764	0.10143	0.024368	0.0162277	0.0146669	1.00307	130385	107177	9.95197	-12.94837	-12891.7	-12904.65
4997689	1.18189	0.102626	0.0223434	0.016229	0.0139964	1.00333	130597	107044	9.79932	-12.99614	-12890.78	-12903.78
4995866	1.18091	0.102807	0.0240362	0.0164991	0.0136082	1.00337	130555	107207	9.92576	-14.37345	-12893.38	-12907.76
4997229	1.14712	0.102739	0.0234729	0.0157601	0.0139722	1.00383	130314	107043	9.83157	-15.90491	-12893.68	-12909.59
4998763	1.1715	0.102534	0.0242486	0.0168932	0.0136911	1.00259	130422	107272	9.88085	-13.39563	-12897.17	-12910.56
4998040	1.13829	0.103678	0.0233238	0.0161961	0.0133433	1.00349	130356	107179	9.90013	-16.89391	-12889.38	-12906.27
4997684	1.16594	0.102688	0.0224859	0.0161599	0.0138752	1.00357	130649	107122	9.88236	-16.47878	-12889.07	-12905.55
4999027	1.13209	0.102972	0.0234675	0.0165008	0.0138528	1.00318	130382	107061	9.91964	-11.82419	-12895.79	-12907.62
4997588	1.15627	0.101586	0.0245145	0.0163754	0.0144275	1.00318	130355	106984	9.8981	-12.89068	-12891.46	-12904.35
4995806	1.19222	0.101512	0.0239383	0.01571	0.0148346	1.00364	130337	107023	9.9999	-15.23932	-12892.27	-12907.51
4995204	1.15635	0.103335	0.0210821	0.0162585	0.0129513	1.00367	130312	107070	9.94798	-15.87134	-12900.34	-12916.21
4996229	1.19075	0.102133	0.02339	0.0162778	0.0143597	1.00318	130312	107060	9.90249	-14.44891	-12888.8	-12903.25
4998864	1.15014	0.103225	0.0220053	0.0159865	0.0135038	1.00391	130662	107097	9.95869	-14.55085	-12890.32	-12904.87
4997972	1.17591	0.102552	0.0225869	0.0162667	0.0138885	1.00307	130531	107230	9.90275	-14.14947	-12889.56	-12903.71
4995747	1.12131	0.103855	0.0213305	0.016205	0.0132767	1.00359	130596	107271	9.95587	-19.80797	-12889.26	-12909.07
4998619	1.1442	0.103272	0.0212665	0.0160751	0.0136659	1.00347	130458	107209	9.93772	-22.33977	-12888.39	-12910.73
4996390	1.17805	0.102277	0.0232567	0.0163073	0.0142361	1.00298	130431	107092	9.80147	-12.17123	-12893.55	-12905.72
4999647	1.21887	0.101703	0.0242249	0.0156367	0.0148082	1.00364	130536	107158	9.90228	-14.49837	-12892.63	-12907.13
4995259	1.23027	0.10215	0.0233341	0.0157928	0.0145403	1.00345	130561	107066	9.94404	-15.97141	-12893.37	-12909.34
4996722	1.21841	0.101827	0.0239074	0.0158313	0.0144189	1.00348	130359	107150	9.97724	-15.9371	-12891.92	-12907.85
