"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 "Simu1" 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CDDO" 0 "Srxn1"
"Srxn1_1.2" 1 "Simu1" 0.01 0 0 0 0 0 0.0206151052036572 0.0357064096161118 0.0232319 0.0211506 0.02544221 0.0232319 0.0211506 0.02544221 0.0232319 0.0211506 0.02544221 "CDDO" 1 "Srxn1"
"Srxn1_1.3" 2 "Simu1" 0.01 0 0.0933434088315217 0.127807609815882 0.0489223729760846 0.0403741757600715 0.00635713381428761 0.0110108787568603 0.04609115 0.0419678975 0.050473 0.04609115 0.0419678975 0.050473 0.04609115 0.0419678975 0.050473 "CDDO" 2 "Srxn1"
"Srxn1_1.4" 3 "Simu1" 0.01 0 0.307048440067191 0.350356075783782 0.270704986869101 0.0402796334384618 0.00571562902079323 0.00989975986122902 0.0685834 0.062461395 0.0750915425 0.0685836 0.062461695 0.075091745 0.0685834 0.062461395 0.07509154 "CDDO" 3 "Srxn1"
"Srxn1_1.5" 4 "Simu1" 0.01 0 0.376152319692248 0.419408116159029 0.309276894866879 0.0587421195452929 0.0873085223909596 0.129501865371566 0.31983 0.283743325 0.354967775 0.39499 0.3574944 0.42850925 0.259469 0.22598545 0.293325325 "CDDO" 4 "Srxn1"
"Srxn1_1.6" 5 "Simu1" 0.01 0 0.346312491886756 0.378661155448677 0.31164012386266 0.033570885757366 0.49227948750499 0.407683128825954 0.705341 0.67639415 0.732532075 0.8214885 0.79191575 0.8465101 0.5802605 0.5523383 0.60754825 "CDDO" 5 "Srxn1"
"Srxn1_1.7" 6 "Simu1" 0.01 0 0.294858082062442 0.337100712060526 0.240769480320316 0.0492460337191432 1.13165342862661 0.671607815924398 0.9967155 0.976146825 1.01564025 1.13754 1.11673 1.15538 0.84611 0.825742875 0.865497275 "CDDO" 6 "Srxn1"
"Srxn1_1.8" 7 "Simu1" 0.01 0 0.31291509961402 0.364881776767657 0.285827701046329 0.0450180030571795 1.78510468867906 0.850466124470898 1.20521 1.18679825 1.22326025 1.37237 1.3535195 1.390991 1.02021 1.00204 1.0380215 "CDDO" 7 "Srxn1"
"Srxn1_1.9" 8 "Simu1" 0.01 0 0.310625342645981 0.417638498835913 0.249072821603339 0.0930247219625804 2.28401808479663 0.94173901641985 1.41436 1.39491975 1.43378 1.61314 1.5928395 1.63344 1.21442 1.19593925 1.2331815 "CDDO" 8 "Srxn1"
"Srxn1_1.10" 9 "Simu1" 0.01 0 0.295874550916987 0.409125122168378 0.234084255675644 0.0982137782640733 2.66975781070753 1.07299980208568 1.626765 1.60595975 1.64761075 1.895635 1.87377975 1.917841 1.3878 1.36796825 1.40809225 "CDDO" 9 "Srxn1"
