"medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Simulation" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 0 0 0 0 0 0 0 0 "Sim1" "Cddo" 0 "Srxn1"
"Srxn1_1.2" 0.0231916 0.0211461 0.0254448 0.0231916 0.0211461 0.0254448 0.0231916 0.0211461 0.0254448 "Sim1" "Cddo" 1 "Srxn1"
"Srxn1_1.3" 0.0460154 0.04195778 0.050478405 0.0460154 0.04195778 0.050478405 0.0460154 0.04195778 0.050478405 "Sim1" "Cddo" 2 "Srxn1"
"Srxn1_1.4" 0.0684772 0.0624379 0.0751138025 0.0684772 0.0624379975 0.075113805 0.0684772 0.0624379 0.0751138025 "Sim1" "Cddo" 3 "Srxn1"
"Srxn1_1.5" 0.1689265 0.141832775 0.198104425 0.2959585 0.26085365 0.3308755 0.09058025 0.0826003775 0.0993588025 "Sim1" "Cddo" 4 "Srxn1"
"Srxn1_1.6" 0.466533 0.444483775 0.490283275 0.7327245 0.70561405 0.759245475 0.1655305 0.148834925 0.18334935 "Sim1" "Cddo" 5 "Srxn1"
"Srxn1_1.7" 0.7155535 0.699466425 0.732552575 1.11675 1.09922975 1.13413025 0.2545285 0.2383158 0.2717718 "Sim1" "Cddo" 6 "Srxn1"
"Srxn1_1.8" 0.915706 0.9008296 0.931963875 1.43594 1.41725 1.4558505 0.3049055 0.28801255 0.323102725 "Sim1" "Cddo" 7 "Srxn1"
"Srxn1_1.9" 1.11041 1.09408975 1.12834 1.72643 1.70456975 1.74947025 0.3741775 0.35651275 0.39350375 "Sim1" "Cddo" 8 "Srxn1"
"Srxn1_1.10" 1.311965 1.29409875 1.33173025 2.028255 2.00447925 2.05349025 0.42083 0.4020464 0.441670175 "Sim1" "Cddo" 9 "Srxn1"
"Srxn1_1.11" 1.52547 1.50604 1.54687 2.32301 2.29765975 2.34975 0.4975255 0.47741135 0.52016355 "Sim1" "Cddo" 10 "Srxn1"
"Srxn1_1.12" 1.749075 1.72788 1.7718715 2.63933 2.6127695 2.66749 0.59011 0.568583975 0.614520675 "Sim1" "Cddo" 11 "Srxn1"
"Srxn1_1.13" 1.9899 1.967189 2.014471 2.967915 2.9401295 2.99729175 0.6899445 0.666864875 0.7161691 "Sim1" "Cddo" 12 "Srxn1"
"Srxn1_1.14" 2.24168 2.21729975 2.267861 3.300435 3.2715 3.33119075 0.8169655 0.79234345 0.845024325 "Sim1" "Cddo" 13 "Srxn1"
"Srxn1_1.15" 2.515695 2.48974975 2.54364025 3.627075 3.5970495 3.658711 0.9791365 0.952932775 1.00908025 "Sim1" "Cddo" 14 "Srxn1"
"Srxn1_1.16" 2.81716 2.78969975 2.84681025 4.049175 4.0177995 4.0819505 1.100665 1.072939 1.13231075 "Sim1" "Cddo" 15 "Srxn1"
"Srxn1_1.17" 3.105335 3.07638 3.13664 4.459025 4.42643 4.49317025 1.218625 1.18957875 1.25186075 "Sim1" "Cddo" 16 "Srxn1"
"Srxn1_1.18" 3.401485 3.37097925 3.43431 4.83861 4.80514975 4.87383075 1.35561 1.3250795 1.3903605 "Sim1" "Cddo" 17 "Srxn1"
"Srxn1_1.19" 3.699905 3.6682195 3.73436025 5.24772 5.2131095 5.2839 1.51942 1.487409 1.55598 "Sim1" "Cddo" 18 "Srxn1"
"Srxn1_1.20" 4.00895 3.97598875 4.04507025 5.675145 5.6392895 5.71258225 1.68747 1.65423725 1.72568075 "Sim1" "Cddo" 19 "Srxn1"
"Srxn1_1.21" 4.297935 4.2637785 4.33562025 6.069955 6.0333385 6.108441 1.83748 1.80287975 1.8770205 "Sim1" "Cddo" 20 "Srxn1"
"Srxn1_1.22" 4.58835 4.5532985 4.62741075 6.466525 6.42923 6.5059705 1.98145 1.94627875 2.02168125 "Sim1" "Cddo" 21 "Srxn1"
"Srxn1_1.23" 4.861125 4.82510875 4.90154075 6.8415 6.80354 6.88186 2.07786 2.0419395 2.11756125 "Sim1" "Cddo" 22 "Srxn1"
"Srxn1_1.24" 5.15541 5.11831975 5.19713 7.21926 7.18088 7.2602005 2.251765 2.2141795 2.2930805 "Sim1" "Cddo" 23 "Srxn1"
"Srxn1_1.25" 5.442175 5.40411975 5.48542 7.597975 7.5594295 7.6400005 2.32266 2.2806185 2.36829 "Sim1" "Cddo" 24 "Srxn1"
"Srxn1_1.26" 5.7022 5.66352 5.74649125 7.919635 7.881008 7.9621805 2.32644 2.2820195 2.37453125 "Sim1" "Cddo" 25 "Srxn1"
"Srxn1_1.27" 6.15151 6.11137925 6.19760075 8.44546 8.40554 8.48957 2.7583 2.71319975 2.80749025 "Sim1" "Cddo" 26 "Srxn1"
"Srxn1_1.28" 6.486625 6.4455495 6.5336905 8.7709 8.73026 8.81543025 3.09372 3.0476895 3.143941 "Sim1" "Cddo" 27 "Srxn1"
"Srxn1_1.29" 6.80503 6.76319925 6.8528905 9.19163 9.15 9.2368705 3.1965 3.13975925 3.25496075 "Sim1" "Cddo" 28 "Srxn1"
"Srxn1_1.30" 7.142025 7.0996 7.19021025 9.63834 9.5957295 9.6848005 3.3798 3.30991875 3.4511905 "Sim1" "Cddo" 29 "Srxn1"
"Srxn1_1.31" 7.462845 7.4202595 7.5105405 10.0889 10.0454 10.1365025 3.54157 3.4558775 3.62891375 "Sim1" "Cddo" 30 "Srxn1"
"Srxn1_1.32" 7.739515 7.69693775 7.785651 10.4937 10.4497 10.5416025 3.58821 3.4919785 3.68962125 "Sim1" "Cddo" 31 "Srxn1"
"Srxn1_1.33" 7.94716 7.89651975 7.99763075 10.8919 10.8484 10.9391 3.652985 3.54350925 3.770246 "Sim1" "Cddo" 32 "Srxn1"
"Srxn1_1.34" 7.986275 7.92295975 8.0489115 11.2061 11.1642 11.251 3.6338 3.52354825 3.75206125 "Sim1" "Cddo" 33 "Srxn1"
"Srxn1_1.35" 7.923695 7.85717925 7.9912925 11.2553 11.2071975 11.3037 3.603425 3.49485775 3.72007075 "Sim1" "Cddo" 34 "Srxn1"
"Srxn1_1.36" 7.838895 7.77227 7.907641 11.3075 11.2434975 11.3730025 3.56936 3.4632295 3.683346 "Sim1" "Cddo" 35 "Srxn1"
"Srxn1_1.37" 7.740965 7.67615875 7.8084905 11.2108 11.1407975 11.2837025 3.535845 3.4317305 3.647582 "Sim1" "Cddo" 36 "Srxn1"
"Srxn1_1.38" 7.642615 7.5784895 7.7084915 11.099 11.0251 11.1781 3.502615 3.40057875 3.6118725 "Sim1" "Cddo" 37 "Srxn1"
"Srxn1_1.39" 7.544445 7.481658 7.6089955 10.9572 10.8837975 11.036505 3.47011 3.369489 3.57712675 "Sim1" "Cddo" 38 "Srxn1"
"Srxn1_1.40" 7.447535 7.38595975 7.51050475 10.8098 10.7378 10.8869 3.43778 3.33945975 3.5431705 "Sim1" "Cddo" 39 "Srxn1"
"Srxn1_1.41" 7.352165 7.2914295 7.41392025 10.6613 10.5907 10.7367025 3.40623 3.309978 3.51004025 "Sim1" "Cddo" 40 "Srxn1"
