"iter"	"r.1.4."	"decay.1.4."	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"LnPrior"	"LnData"	"LnPosterior"
4996384	1.1747	0.103037	0.024046	0.0161346	0.0138102	1.00332	130415	107341	9.93672	-17.22498	-12887.71	-12904.93
4995275	1.18765	0.103148	0.0235304	0.0161616	0.0139716	1.00315	130466	107259	9.93492	-15.9964	-12892.8	-12908.8
4996042	1.14014	0.102586	0.0228043	0.01592	0.014104	1.00338	130463	107343	9.90938	-18.18966	-12892.26	-12910.45
4998891	1.17777	0.103171	0.0211174	0.0154254	0.0138534	1.00428	130349	107047	9.98517	-16.15681	-12892.84	-12909
4999945	1.17261	0.102562	0.024899	0.0163858	0.0137848	1.00353	130484	107148	9.96294	-15.00421	-12892.07	-12907.08
4997922	1.22175	0.102379	0.0232561	0.0164182	0.0141464	1.0029	130242	107154	9.98679	-16.75701	-12892.47	-12909.23
4999645	1.13434	0.104263	0.022353	0.0163056	0.0129214	1.00376	130478	107125	9.87576	-14.7265	-12895.27	-12910
4996852	1.17354	0.102383	0.0227993	0.016144	0.0141873	1.00347	130496	106943	9.83543	-14.58948	-12889.28	-12903.87
4999026	1.1714	0.102664	0.0226558	0.0158264	0.0140571	1.00371	130390	107041	9.97758	-15.31859	-12885.87	-12901.18
4995506	1.19186	0.103357	0.0216968	0.0160084	0.0136238	1.00362	130474	107157	9.98295	-16.82595	-12888.49	-12905.32
4998297	1.17779	0.103011	0.0235388	0.016073	0.0138473	1.00349	130404	107166	9.81687	-14.27716	-12889.22	-12903.5
4999720	1.17125	0.103332	0.0233521	0.0163232	0.0134568	1.00355	130407	107080	9.82459	-12.88627	-12890.14	-12903.03
4995736	1.15224	0.103624	0.0238625	0.0157511	0.0135799	1.00419	130493	107095	9.8928	-15.66103	-12888.5	-12904.16
4996006	1.17232	0.102908	0.0219016	0.0161651	0.0137584	1.00331	130461	107148	9.99636	-14.14436	-12887.29	-12901.44
4999754	1.16843	0.103368	0.0226266	0.0156931	0.0136464	1.00392	130392	107140	9.92011	-16.58104	-12885.31	-12901.89
4999871	1.19248	0.101934	0.0243617	0.0163125	0.0144357	1.00328	130787	107170	9.97381	-16.44321	-12894.84	-12911.28
4998814	1.16826	0.102366	0.0212524	0.0158157	0.0143773	1.00343	130541	107064	9.96919	-12.00903	-12894.4	-12906.41
4996299	1.17549	0.102742	0.0229656	0.0160928	0.0141979	1.00339	130463	107092	9.96647	-12.98372	-12889.85	-12902.83
4998761	1.1715	0.103177	0.0239791	0.0168932	0.0138072	1.00259	130422	107238	9.88085	-16.76919	-12896.43	-12913.19
