"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 "Simu1" 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Cddo" 0 "Srxn1"
"Srxn1_1.2" 1 "Simu1" 0.01 0.01 0.0104223746682164 0.0312671240046491 0 0.0180520824608696 0 0 0.0231916 0.0211461 0.0254448 0.0231916 0.0211461 0.0254448 0.0231916 0.0211461 0.0254448 "Cddo" 1 "Srxn1"
"Srxn1_1.3" 2 "Simu1" 0.01 0.01 0.0376016997516232 0.105971608803237 0 0.059308578601519 0 0 0.0460154 0.04195778 0.050478405 0.0460154 0.04195778 0.050478405 0.0460154 0.04195778 0.050478405 "Cddo" 2 "Srxn1"
"Srxn1_1.4" 3 "Simu1" 0.01 0.01 0.211461661456896 0.293427014004684 0.0590057638631851 0.132155281147328 0 0 0.0684772 0.0624379 0.0751138025 0.0684772 0.0624379975 0.075113805 0.0684772 0.0624379 0.0751138025 "Cddo" 3 "Srxn1"
"Srxn1_1.5" 4 "Simu1" 0.01 0.01 0.28412730631736 0.427854278621995 0.0986151593226372 0.168549992694052 0.0456143815102565 0.0790064263315947 0.1689265 0.141832775 0.198104425 0.2959585 0.26085365 0.3308755 0.09058025 0.0826003775 0.0993588025 "Cddo" 4 "Srxn1"
"Srxn1_1.6" 5 "Simu1" 0.01 0.01 0.288866572743445 0.461070338793521 0.0855158339232409 0.189704762635648 0.458206370054939 0.384583525654451 0.466533 0.444483775 0.490283275 0.7327245 0.70561405 0.759245475 0.1655305 0.148834925 0.18334935 "Cddo" 5 "Srxn1"
"Srxn1_1.7" 6 "Simu1" 0.01 0.01 0.276355220854778 0.45900780951245 0.0479255836342044 0.209329412027075 1.18248249689589 0.78629025174771 0.7155535 0.699466425 0.732552575 1.11675 1.09922975 1.13413025 0.2545285 0.2383158 0.2717718 "Cddo" 6 "Srxn1"
"Srxn1_1.8" 7 "Simu1" 0.01 0.01 0.28360849617388 0.441760239582037 0.077964896906681 0.186489597880879 1.93604642201763 1.119548739004 0.915706 0.9008296 0.931963875 1.43594 1.41725 1.4558505 0.3049055 0.28801255 0.323102725 "Cddo" 7 "Srxn1"
"Srxn1_1.9" 8 "Simu1" 0.01 0.01 0.28823754161318 0.449495408098629 0.0459946742964256 0.213593394828735 2.5202798721767 1.45386765887852 1.11041 1.09408975 1.12834 1.72643 1.70456975 1.74947025 0.3741775 0.35651275 0.39350375 "Cddo" 8 "Srxn1"
"Srxn1_1.10" 9 "Simu1" 0.01 0.01 0.292555230254149 0.420711808750109 0.0844806404697088 0.181804884497172 2.92503985244007 1.6102550165956 1.311965 1.29409875 1.33173025 2.028255 2.00447925 2.05349025 0.42083 0.4020464 0.441670175 "Cddo" 9 "Srxn1"
