"medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Simulation" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 0 0 0 0 0 0 0 0 "Sim1" "ETA" 0 "Srxn1"
"Srxn1_1.2" 0.03545165 0.0320865025 0.038796 0.03545165 0.0320865025 0.038796 0.03545165 0.0320865025 0.038796 "Sim1" "ETA" 1 "Srxn1"
"Srxn1_1.3" 0.07344805 0.0668473125 0.08000336 0.08363085 0.07695893 0.090218055 0.0706342 0.0639961175 0.0771852125 "Sim1" "ETA" 2 "Srxn1"
"Srxn1_1.4" 0.113015 0.10333695 0.1227041 0.137986 0.127774575 0.14829515 0.1046485 0.094847295 0.114305025 "Sim1" "ETA" 3 "Srxn1"
"Srxn1_1.5" 0.1649425 0.151781425 0.17797835 0.2174725 0.201926275 0.23392775 0.142538 0.12975595 0.155330425 "Sim1" "ETA" 4 "Srxn1"
"Srxn1_1.6" 0.23526 0.2181409 0.252979125 0.353552 0.3296979 0.378828625 0.1838565 0.168021425 0.1994062 "Sim1" "ETA" 5 "Srxn1"
"Srxn1_1.7" 0.3298215 0.308593475 0.35134425 0.536014 0.507282 0.564602 0.2374965 0.218617725 0.2560676 "Sim1" "ETA" 6 "Srxn1"
"Srxn1_1.8" 0.411861 0.388264925 0.435560125 0.682533 0.653279775 0.710578725 0.286944 0.26526135 0.308193 "Sim1" "ETA" 7 "Srxn1"
"Srxn1_1.9" 0.4702575 0.444520825 0.495831475 0.796822 0.7674418 0.82573655 0.317645 0.293254525 0.3413841 "Sim1" "ETA" 8 "Srxn1"
"Srxn1_1.10" 0.5415775 0.513650975 0.5692812 0.9119535 0.88132905 0.942419325 0.3475955 0.320690825 0.37383715 "Sim1" "ETA" 9 "Srxn1"
"Srxn1_1.11" 0.674643 0.64447825 0.704373825 1.10341 1.07088925 1.13605 0.4043765 0.375103325 0.433063175 "Sim1" "ETA" 10 "Srxn1"
"Srxn1_1.12" 0.7386785 0.706574675 0.770553925 1.21034 1.1756395 1.2448205 0.4389575 0.4073308 0.470005175 "Sim1" "ETA" 11 "Srxn1"
"Srxn1_1.13" 0.795443 0.7613837 0.829353 1.312655 1.2762495 1.34891025 0.4666845 0.432820775 0.499947775 "Sim1" "ETA" 12 "Srxn1"
"Srxn1_1.14" 0.87489 0.838775475 0.910658575 1.45648 1.418138 1.49452125 0.4940095 0.457840825 0.529470175 "Sim1" "ETA" 13 "Srxn1"
"Srxn1_1.15" 0.938748 0.9005932 0.976540075 1.54926 1.50931 1.5889505 0.5296355 0.49126965 0.5672056 "Sim1" "ETA" 14 "Srxn1"
"Srxn1_1.16" 0.9949135 0.954833175 1.03445025 1.624055 1.58254975 1.6649605 0.5699945 0.5295799 0.609667625 "Sim1" "ETA" 15 "Srxn1"
"Srxn1_1.17" 1.05083 1.00881 1.09219025 1.72101 1.6778185 1.76342025 0.6041685 0.561778925 0.645965075 "Sim1" "ETA" 16 "Srxn1"
"Srxn1_1.18" 1.10427 1.0605165 1.14741275 1.77116 1.72661925 1.8148805 0.6427145 0.598198925 0.686577025 "Sim1" "ETA" 17 "Srxn1"
"Srxn1_1.19" 1.162415 1.1169295 1.2072905 1.84118 1.79529975 1.88621075 0.684839 0.638371475 0.7306481 "Sim1" "ETA" 18 "Srxn1"
"Srxn1_1.20" 1.21292 1.16549925 1.2595445 1.910275 1.863149 1.95630075 0.712319 0.664108825 0.759970275 "Sim1" "ETA" 19 "Srxn1"
"Srxn1_1.21" 1.26216 1.213165 1.310573 1.96222 1.913829 2.00967025 0.7463615 0.69619015 0.79575115 "Sim1" "ETA" 20 "Srxn1"
"Srxn1_1.22" 1.30571 1.254839 1.35578025 2.010295 1.96091675 2.05929075 0.7776435 0.725654275 0.828850675 "Sim1" "ETA" 21 "Srxn1"
"Srxn1_1.23" 1.340925 1.288319 1.39228425 2.04571 1.99529925 2.09572125 0.8032605 0.7495498 0.856184675 "Sim1" "ETA" 22 "Srxn1"
"Srxn1_1.24" 1.377235 1.3228475 1.4300105 2.099045 2.04718875 2.15030225 0.825172 0.76976725 0.87958885 "Sim1" "ETA" 23 "Srxn1"
"Srxn1_1.25" 1.410535 1.35491975 1.4648505 2.14404 2.09057975 2.19658025 0.845427 0.788316725 0.90133725 "Sim1" "ETA" 24 "Srxn1"
"Srxn1_1.26" 1.43591 1.37854975 1.4917735 2.191725 2.13671875 2.2453415 0.86192 0.803425825 0.919082325 "Sim1" "ETA" 25 "Srxn1"
"Srxn1_1.27" 1.45906 1.40029 1.51639875 2.219715 2.16295975 2.27446125 0.8806695 0.820665325 0.93923065 "Sim1" "ETA" 26 "Srxn1"
"Srxn1_1.28" 1.476215 1.41606425 1.53522025 2.23642 2.17846975 2.29243075 0.8933365 0.832041375 0.95314395 "Sim1" "ETA" 27 "Srxn1"
"Srxn1_1.29" 1.490715 1.429029 1.55085175 2.25752 2.19810975 2.31476 0.906636 0.843982825 0.96764035 "Sim1" "ETA" 28 "Srxn1"
"Srxn1_1.30" 1.503215 1.44020675 1.56486275 2.27697 2.21595 2.3357905 0.9185345 0.854772775 0.98090465 "Sim1" "ETA" 29 "Srxn1"
"Srxn1_1.31" 1.51276 1.448458 1.57556225 2.28991 2.22762925 2.35032 0.9302125 0.86534655 0.993827 "Sim1" "ETA" 30 "Srxn1"
"Srxn1_1.32" 1.51842 1.4531555 1.58233025 2.28791 2.22447875 2.34929175 0.9419665 0.875899175 1.00669075 "Sim1" "ETA" 31 "Srxn1"
"Srxn1_1.33" 1.523325 1.45694625 1.5881905 2.284095 2.219707 2.3468005 0.9545755 0.88735795 1.02032325 "Sim1" "ETA" 32 "Srxn1"
"Srxn1_2.1" 0 0 0 0 0 0 0 0 0 "Sim2" "ETA" 0 "Srxn1"
"Srxn1_2.2" 0.03545165 0.0320865025 0.038796 0.03545165 0.0320865025 0.038796 0.03545165 0.0320865025 0.038796 "Sim2" "ETA" 1 "Srxn1"
"Srxn1_2.3" 0.0724643 0.06583299 0.078988415 0.0866806 0.0799688375 0.09334288 0.06998405 0.0633647375 0.0765561 "Sim2" "ETA" 2 "Srxn1"
"Srxn1_2.4" 0.1124315 0.102756 0.122139225 0.1595745 0.14851065 0.171228075 0.103616 0.09385258 0.113309525 "Sim2" "ETA" 3 "Srxn1"
"Srxn1_2.5" 0.1662125 0.15302995 0.179344325 0.2753465 0.256062625 0.29687215 0.136378 0.12357175 0.149094325 "Sim2" "ETA" 4 "Srxn1"
"Srxn1_2.6" 0.2436515 0.226254425 0.2618023 0.4635865 0.432826075 0.496308075 0.1682715 0.1525488 0.183930775 "Sim2" "ETA" 5 "Srxn1"
"Srxn1_2.7" 0.333148 0.311533825 0.35526005 0.678963 0.643447925 0.713667575 0.199343 0.18073345 0.2178438 "Sim2" "ETA" 6 "Srxn1"
"Srxn1_2.8" 0.424538 0.400732625 0.44860585 0.87682 0.843076825 0.9088865 0.229607 0.208183525 0.250888025 "Sim2" "ETA" 7 "Srxn1"
"Srxn1_2.9" 0.5115225 0.48589695 0.53715665 1.044355 1.0121795 1.0757 0.259084 0.235044225 0.2830152 "Sim2" "ETA" 8 "Srxn1"
"Srxn1_2.10" 0.5950815 0.567109325 0.62265165 1.215525 1.18285 1.24781075 0.287797 0.261165775 0.314309175 "Sim2" "ETA" 9 "Srxn1"
"Srxn1_2.11" 0.684487 0.654420875 0.71418215 1.394285 1.35974 1.428571 0.315781 0.2865733 0.344793125 "Sim2" "ETA" 10 "Srxn1"
"Srxn1_2.12" 0.7602065 0.72816685 0.792020425 1.57504 1.5383395 1.6113105 0.3430285 0.311383 0.374397 "Sim2" "ETA" 11 "Srxn1"
"Srxn1_2.13" 0.8398265 0.805709 0.873645025 1.74156 1.7025395 1.780043 0.369539 0.3356384 0.40324905 "Sim2" "ETA" 12 "Srxn1"
"Srxn1_2.14" 0.907407 0.871413075 0.94322605 1.90382 1.8625995 1.944441 0.395369 0.3592455 0.4314 "Sim2" "ETA" 13 "Srxn1"
"Srxn1_2.15" 0.9781575 0.939979925 1.015991 2.0674 2.02425925 2.10987075 0.420519 0.382189875 0.458843 "Sim2" "ETA" 14 "Srxn1"
"Srxn1_2.16" 1.05055 1.01055925 1.09031 2.234385 2.18950975 2.278391 0.44504 0.40459795 0.485430425 "Sim2" "ETA" 15 "Srxn1"
