"iter"	"r.1.3."	"decay.1.3."	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"LnPrior"	"LnData"	"LnPosterior"
4997997	1.10921	0.124067	0.0232736	0.0159355	0.0144801	1.00309	130475	107096	9.89432	-12.17219	-12895.24	-12907.42
4999582	1.08134	0.127903	0.0210957	0.0158812	0.0131266	1.00405	130245	107049	9.98736	-22.63641	-12887.43	-12910.07
4998022	1.1333	0.12383	0.0226195	0.0157519	0.0143915	1.00337	130226	107126	9.99646	-17.56732	-12889.11	-12906.68
4998369	1.07753	0.124625	0.0230521	0.0162104	0.0140919	1.0034	130579	107021	9.97968	-13.21545	-12889.87	-12903.09
4997281	1.09582	0.123919	0.0251056	0.0164594	0.0149839	1.00258	130391	107143	9.9808	-14.9739	-12891.54	-12906.52
4995417	1.10354	0.124626	0.0246163	0.0160767	0.0144162	1.00332	130458	107105	9.64219	-12.71177	-12892.29	-12905
4997525	1.09725	0.124884	0.0238506	0.0161832	0.0141394	1.0036	130525	107163	9.86761	-13.71524	-12893.67	-12907.39
4998807	1.08822	0.123906	0.0218746	0.0159085	0.0148794	1.00304	130366	107032	9.97454	-11.64953	-12903.09	-12914.74
4995262	1.08295	0.124918	0.0217724	0.0160297	0.0140439	1.00334	130440	107144	9.9951	-14.96823	-12889.95	-12904.92
4999822	1.12251	0.124767	0.0233755	0.0162832	0.014236	1.003	130562	107179	9.98897	-13.73885	-12893.95	-12907.69
4997688	1.08507	0.126462	0.0230381	0.0159935	0.0136496	1.00365	130382	107138	9.91585	-16.13786	-12887.17	-12903.3
4995527	1.09183	0.124961	0.0227364	0.0158614	0.0140684	1.0036	130376	107130	9.49397	-17.78188	-12890.34	-12908.12
4996488	1.11666	0.124129	0.0226902	0.0160201	0.0146444	1.0032	130514	107085	9.65998	-14.08313	-12894.66	-12908.74
4999019	1.06965	0.125429	0.0238468	0.0164577	0.0137615	1.00324	130564	107182	9.98661	-13.1856	-12891.6	-12904.79
4999138	1.09069	0.126274	0.0226418	0.0161624	0.0136557	1.0036	130321	107152	9.89236	-17.48748	-12888.63	-12906.12
4997881	1.07925	0.125297	0.0250507	0.016383	0.0142134	1.00307	130339	107151	9.93882	-14.37303	-12889.59	-12903.96
4997080	1.10436	0.124086	0.0241943	0.0161339	0.0147377	1.00302	130391	107284	9.91969	-14.80463	-12888.69	-12903.49
4996028	1.10269	0.124815	0.0234448	0.0159811	0.0146103	1.00341	130609	107090	9.84393	-14.06003	-12890.75	-12904.81
4996174	1.07678	0.125794	0.0241456	0.01604	0.0141502	1.00339	130421	107146	9.93046	-13.56879	-12894.06	-12907.63
4998527	1.07677	0.127771	0.0213671	0.016058	0.0134059	1.0036	130502	107054	9.99049	-13.28128	-12894.58	-12907.86
4998164	1.06484	0.125244	0.0248262	0.0162351	0.0140133	1.00335	130437	107087	9.95363	-12.81658	-12891.12	-12903.93
4997027	1.09004	0.126438	0.0232297	0.0158988	0.0139023	1.0037	130516	107123	9.85263	-16.129	-12890.25	-12906.37
4998643	1.10487	0.123537	0.0230386	0.0160146	0.0143833	1.00329	130435	107233	9.996	-14.76246	-12892.13	-12906.89
4998499	1.10488	0.123401	0.0232617	0.0162067	0.0146572	1.00287	130381	107328	9.91842	-15.95773	-12889.79	-12905.74
4995997	1.09535	0.126014	0.0232961	0.0160563	0.013649	1.00355	130536	107256	9.97431	-14.78205	-12887.28	-12902.06
4999434	1.08662	0.124864	0.0229167	0.0163308	0.0139936	1.00337	130464	106962	9.99704	-14.40108	-12889.74	-12904.14
4999175	1.09233	0.126771	0.0253204	0.016325	0.0133712	1.00358	130349	107051	9.92163	-15.44144	-12889.43	-12904.87
4998616	1.09881	0.123872	0.0244849	0.0159924	0.0143198	1.00328	130344	107240	9.98993	-17.05963	-12888.64	-12905.7
4999756	1.08172	0.125156	0.0245922	0.0160011	0.0141201	1.00369	130341	107109	9.87737	-16.79789	-12887.89	-12904.69
4995500	1.08621	0.12565	0.0216968	0.0160958	0.0136358	1.0037	130566	107157	9.98295	-16.11985	-12888.79	-12904.91
4995358	1.12367	0.125766	0.0225087	0.0155981	0.0141108	1.00379	130477	107265	9.92048	-16.09447	-12889.25	-12905.34
4997761	1.0535	0.123843	0.0229075	0.0162957	0.0142518	1.003	130434	107061	9.23227	-11.15557	-12906.56	-12917.71
4997610	1.14913	0.12161	0.0246888	0.0161081	0.0155925	1.00253	130351	107104	9.99097	-13.36951	-12896.28	-12909.65
4997638	1.08926	0.124884	0.0248187	0.0161782	0.0141208	1.00335	130436	107188	9.93416	-14.53558	-12886.5	-12901.03
4995658	1.0732	0.126736	0.0222431	0.0160203	0.0133214	1.00381	130569	107173	9.86167	-15.93843	-12890.01	-12905.95
4999800	1.11454	0.124653	0.0222568	0.0164223	0.0142517	1.00292	130433	107039	9.94825	-11.70385	-12893.28	-12904.98
4997743	1.06502	0.126136	0.0220414	0.0160602	0.0136548	1.00351	130200	107095	9.86062	-20.22998	-12886.97	-12907.2
4996456	1.09482	0.124318	0.0244933	0.0164903	0.0146778	1.00299	130625	107048	9.86944	-12.19435	-12897.92	-12910.11
4997278	1.09063	0.122756	0.0239461	0.0164594	0.0149839	1.00258	130573	107090	9.9808	-13.08823	-12894.3	-12907.38
4997912	1.10187	0.123567	0.0234747	0.0160889	0.014442	1.00328	130370	106968	9.8958	-14.06178	-12892.47	-12906.53
4996926	1.11344	0.12472	0.0247762	0.0162611	0.0141325	1.00346	130607	106934	9.80649	-15.41653	-12895.08	-12910.49
4995021	1.11703	0.123535	0.0231997	0.0159973	0.014453	1.00336	130595	107220	9.98259	-16.43389	-12888.96	-12905.4
4997862	1.10242	0.124178	0.0248074	0.016212	0.0147268	1.00281	130362	107356	9.98526	-20.48327	-12886.3	-12906.78
4996459	1.10957	0.12387	0.0236561	0.0163276	0.0145202	1.00309	130390	107005	9.96375	-18.46655	-12889.3	-12907.77
4997422	1.13397	0.123415	0.0236686	0.0161381	0.0148397	1.00288	130408	107173	9.99265	-13.11295	-12894.78	-12907.89
4998255	1.09508	0.126172	0.0227433	0.0162245	0.0137301	1.00336	130505	107172	9.9335	-14.95603	-12890.46	-12905.41
4998001	1.12025	0.124067	0.0240387	0.0161745	0.0144647	1.00331	130389	107064	9.7291	-13.55969	-12893.84	-12907.4
4997437	1.10712	0.123598	0.0230449	0.0158507	0.0144559	1.00358	130451	107039	9.74863	-13.40521	-12892.14	-12905.55
4999241	1.08753	0.124913	0.0241923	0.0164453	0.0141442	1.00336	130396	107045	9.89388	-12.25575	-12894.78	-12907.03
4998877	1.10591	0.124507	0.023775	0.0162174	0.0139628	1.0037	130654	107022	9.96658	-15.22173	-12890.38	-12905.6
4997401	1.09403	0.125085	0.0230699	0.0162276	0.0140798	1.00345	130579	107083	9.93631	-16.129	-12886.88	-12903
4999290	1.10373	0.126634	0.0226583	0.0157004	0.013538	1.00436	130560	107109	9.91938	-17.12408	-12887.99	-12905.11
4999721	1.08166	0.125602	0.0233521	0.0162573	0.0134568	1.00355	130536	107080	9.82459	-12.01832	-12893.48	-12905.5
4997389	1.14089	0.124535	0.0239827	0.0162938	0.0145765	1.00304	130415	107081	9.99679	-11.98388	-12893.29	-12905.28
4999860	1.07068	0.125783	0.0234888	0.016077	0.0135417	1.00362	130386	107150	9.94706	-15.24737	-12887.44	-12902.69
4998092	1.11711	0.123543	0.022871	0.0165032	0.0145314	1.00277	130308	107115	9.90842	-13.95293	-12893.09	-12907.04
4997869	1.10776	0.125987	0.0223204	0.0158476	0.0137614	1.00362	130163	107201	9.94483	-20.95082	-12886.52	-12907.47
4996271	1.1066	0.124153	0.0224402	0.0163327	0.0139711	1.00303	130327	107073	9.92842	-16.53646	-12890.64	-12907.18
4999816	1.08904	0.124953	0.0231879	0.0164674	0.0141055	1.003	130441	107224	9.98897	-21.57655	-12890.62	-12912.2
4999757	1.06719	0.124689	0.0238553	0.0159712	0.0140638	1.00359	130497	107144	9.9312	-14.76717	-12894.23	-12909
4999888	1.10957	0.124202	0.0237134	0.0159432	0.0144694	1.00329	130421	107142	9.92852	-15.35692	-12893.83	-12909.19
4995353	1.10602	0.124958	0.0224287	0.0161697	0.014298	1.00309	130237	107132	9.80713	-20.83689	-12892.41	-12913.25
4997585	1.07609	0.124026	0.0242927	0.016303	0.0144275	1.00318	130369	107034	9.94749	-12.3008	-12889.29	-12901.59
4997978	1.11589	0.124612	0.0227026	0.0162397	0.0140847	1.00318	130454	107195	9.95926	-13.17197	-12893.68	-12906.85
4997316	1.08216	0.124511	0.0254633	0.0164692	0.0142478	1.00335	130415	107007	9.90811	-13.88751	-12893.4	-12907.28
4998544	1.127	0.123156	0.023857	0.0160349	0.014877	1.0031	130437	107187	9.99706	-15.51447	-12887.86	-12903.38
4997672	1.11146	0.125211	0.0221622	0.0159997	0.0140836	1.00338	130580	107196	9.94564	-15.83991	-12888.07	-12903.91
4995244	1.09041	0.125529	0.0235965	0.0157697	0.0140456	1.00414	130586	107084	9.99718	-16.21481	-12886.89	-12903.11
4997321	1.11552	0.124351	0.0254633	0.0165412	0.014376	1.00316	130556	106897	9.97252	-12.83853	-12895.41	-12908.25
4999334	1.08115	0.126588	0.0239065	0.0158847	0.0141688	1.0037	130528	107164	9.90919	-17.19768	-12889.72	-12906.92
4997928	1.05866	0.12674	0.0233074	0.0161287	0.0133304	1.00381	130428	107103	9.96081	-14.5988	-12888.21	-12902.81
4996414	1.10263	0.124889	0.0216446	0.0163109	0.0137205	1.00296	130417	107188	9.72475	-12.81171	-12894.35	-12907.16
4995483	1.06498	0.125976	0.0235798	0.016184	0.0136092	1.0038	130589	107070	9.8382	-13.70234	-12890.13	-12903.84
4995092	1.1168	0.125383	0.0220986	0.0160068	0.0143141	1.00362	130732	106954	9.72742	-16.32236	-12894.93	-12911.25
4999519	1.07412	0.127298	0.0235222	0.0163382	0.0131871	1.00371	130521	107105	9.85194	-13.76809	-12889.38	-12903.15
4998747	1.08035	0.126231	0.0235546	0.015898	0.013788	1.00376	130520	107254	9.94182	-15.82897	-12888.85	-12904.68
4997781	1.10655	0.123817	0.0234531	0.0163688	0.014432	1.00276	130453	107181	9.84309	-12.26255	-12891.71	-12903.98
4999819	1.0904	0.127286	0.0227859	0.015919	0.0136645	1.00395	130437	107037	9.80731	-15.81263	-12891.78	-12907.6
4998752	1.07069	0.125604	0.0239791	0.0167658	0.0138296	1.00283	130455	107016	9.99859	-12.22584	-12892.42	-12904.65
4995942	1.07962	0.124311	0.0232578	0.0155152	0.0138789	1.00426	130413	107213	9.78875	-18.12179	-12892.59	-12910.71
4997197	1.05716	0.125435	0.0237113	0.0158576	0.0138934	1.00384	130442	107198	9.90253	-17.85953	-12889.05	-12906.91
4999938	1.0815	0.126755	0.0246408	0.0159229	0.0139063	1.00346	130388	107162	9.98988	-13.81615	-12892.44	-12906.26
4997562	1.08621	0.126983	0.0218387	0.0159222	0.0139507	1.00336	130471	107197	9.89884	-14.36828	-12891.95	-12906.31
4998624	1.12664	0.124101	0.0236459	0.0164308	0.0142304	1.00322	130516	107075	9.99899	-16.25878	-12890.15	-12906.41
4995141	1.11999	0.124744	0.0215525	0.0163119	0.0145859	1.00268	130421	106967	9.94061	-11.58217	-12899.86	-12911.44
4998914	1.08042	0.127272	0.0232946	0.0158793	0.0135633	1.00374	130395	107161	9.80914	-16.95544	-12889.81	-12906.77
4998933	1.09465	0.125683	0.0231616	0.0155281	0.0140836	1.00407	130574	107111	9.7741	-16.99041	-12891.17	-12908.16
4996272	1.10058	0.124421	0.0224359	0.0160163	0.0141552	1.0035	130321	106859	9.97326	-16.01	-12891.34	-12907.35
4996427	1.07593	0.12439	0.0246242	0.0167416	0.0144158	1.00273	130636	107230	9.89231	-13.98329	-12897.78	-12911.76
4998631	1.10813	0.123004	0.0228578	0.016024	0.0150086	1.00295	130400	107083	9.89268	-13.91683	-12891.24	-12905.16
4999710	1.08181	0.125474	0.0236891	0.016121	0.0141619	1.00377	130571	106902	9.85609	-17.32668	-12892.6	-12909.93
4995101	1.05624	0.126793	0.0224525	0.016309	0.013522	1.00339	130562	107153	9.58982	-13.78028	-12895.07	-12908.85
4996292	1.09655	0.123889	0.023488	0.015811	0.0143741	1.00359	130337	107147	9.99332	-16.4463	-12886.98	-12903.42
4995221	1.13905	0.124421	0.0246684	0.0157421	0.014413	1.00368	130354	107093	9.9886	-15.28927	-12889.93	-12905.22
4998544	1.10483	0.12564	0.0222955	0.016066	0.0136663	1.00373	130625	107032	9.90363	-13.81755	-12891.51	-12905.33
4997125	1.12763	0.123322	0.0238361	0.016167	0.0146434	1.00315	130510	106989	9.84432	-13.91875	-12891.59	-12905.5
4999334	1.08784	0.126107	0.0236903	0.0161052	0.0133924	1.00383	130494	107133	9.88154	-16.64807	-12892.78	-12909.43
4999986	1.07956	0.127055	0.0236526	0.0158622	0.0138505	1.00389	130731	107154	9.96404	-18.37162	-12890.69	-12909.06
4995384	1.10823	0.124871	0.0228772	0.0161056	0.0142402	1.00316	130538	107101	9.94116	-12.50838	-12893.14	-12905.64
4997776	1.10118	0.126148	0.0226132	0.0159259	0.0136007	1.00388	130474	106993	9.6031	-16.15773	-12891.24	-12907.39
4998802	1.12278	0.124075	0.0226609	0.0158568	0.0148583	1.00316	130430	107097	9.88989	-12.15932	-12896.58	-12908.74
4997737	1.09687	0.125145	0.0213198	0.0161632	0.0140811	1.00313	130420	106996	9.9918	-13.99284	-12894.86	-12908.85
4997128	1.10098	0.12429	0.0238328	0.0162805	0.0144649	1.00301	130597	107162	9.8	-16.69109	-12894.19	-12910.88
4996655	1.09344	0.124858	0.0229358	0.0160541	0.0142811	1.00355	130533	107101	9.73043	-12.44127	-12895.71	-12908.15
4998179	1.07692	0.124214	0.0233665	0.0162577	0.0143856	1.00277	130420	107351	9.7582	-14.64253	-12894.57	-12909.21
4995095	1.10991	0.123388	0.0220986	0.0160153	0.014371	1.00379	130685	106873	9.72742	-17.55032	-12895.59	-12913.14
4997781	1.08759	0.126123	0.0261346	0.0158735	0.0140037	1.004	130363	107017	9.99242	-16.20495	-12893.05	-12909.26
4995758	1.06204	0.127673	0.0238782	0.0160468	0.0133728	1.0038	130481	107079	9.8914	-15.97434	-12891.11	-12907.08
4998902	1.09666	0.125734	0.0229716	0.0161547	0.0136853	1.00366	130528	107123	9.79409	-15.23883	-12890.91	-12906.15
4996779	1.10262	0.124363	0.0229108	0.015647	0.0144277	1.00388	130687	107121	9.79085	-17.93397	-12889.2	-12907.13
4998980	1.12073	0.123353	0.0245911	0.015778	0.0147642	1.00343	130405	107071	9.95512	-13.02842	-12890.59	-12903.62
4998142	1.07347	0.12492	0.0236803	0.0166491	0.0137419	1.00294	130408	107129	9.93998	-13.33318	-12893	-12906.33
4998217	1.07476	0.12637	0.0221467	0.016363	0.0137029	1.00323	130380	107006	9.8753	-14.7607	-12890.14	-12904.9
4998715	1.08398	0.126395	0.022711	0.0161402	0.0137731	1.00343	130303	107040	9.79981	-16.21913	-12892.65	-12908.87
4995445	1.09629	0.124269	0.0240657	0.0155988	0.0144749	1.00398	130389	107004	9.89991	-14.83299	-12889.49	-12904.32
4996028	1.11794	0.124496	0.0228864	0.0158273	0.0140572	1.00383	130399	106953	9.92584	-16.5796	-12889.58	-12906.16
4998869	1.11293	0.125597	0.023775	0.0161337	0.0143027	1.00338	130468	106884	9.83407	-16.40548	-12893.17	-12909.58
4995648	1.09042	0.126675	0.0221255	0.015586	0.0137901	1.00407	130405	107018	9.87121	-15.47382	-12888.86	-12904.33
4997060	1.08064	0.124851	0.024328	0.0161903	0.0143333	1.00303	130424	107201	9.98924	-14.31752	-12888.08	-12902.4
4995128	1.05848	0.126455	0.0240817	0.0166323	0.013204	1.0034	130535	107129	9.81504	-14.76561	-12894.47	-12909.23
4998674	1.10156	0.125358	0.0240039	0.0163705	0.0140641	1.0031	130595	107113	9.98093	-13.00112	-12890.87	-12903.87
4998251	1.08533	0.126754	0.0228905	0.0163597	0.0134755	1.00333	130506	107125	9.78123	-14.27044	-12892.29	-12906.57
4999746	1.09228	0.125779	0.0230294	0.0159643	0.0136883	1.00383	130615	107139	9.94709	-17.98059	-12888.66	-12906.64
