"medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Simulation" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 0 0 0 0 0 0 0 0 "Sim1" "ETA" 0 "Srxn1"
"Srxn1_1.2" 0.03545165 0.0320865025 0.038796 0.03545165 0.0320865025 0.038796 0.03545165 0.0320865025 0.038796 "Sim1" "ETA" 1 "Srxn1"
"Srxn1_1.3" 0.0741869 0.0675888775 0.0807636125 0.09321845 0.0863777475 0.100015 0.06998405 0.0633647375 0.0765561 "Sim1" "ETA" 2 "Srxn1"
"Srxn1_1.4" 0.111877 0.102168975 0.12158655 0.1602155 0.14912485 0.1718171 0.103616 0.09385258 0.113309525 "Sim1" "ETA" 3 "Srxn1"
"Srxn1_1.5" 0.154169 0.14127375 0.1668533 0.2610155 0.2425917 0.281104275 0.136378 0.12357175 0.149094325 "Sim1" "ETA" 4 "Srxn1"
"Srxn1_1.6" 0.2083005 0.192031425 0.22449305 0.417524 0.389372875 0.447789875 0.1682715 0.1525488 0.183930775 "Sim1" "ETA" 5 "Srxn1"
"Srxn1_1.7" 0.2789205 0.25935795 0.29871515 0.625085 0.5918856 0.657569775 0.199343 0.18073345 0.2178438 "Sim1" "ETA" 6 "Srxn1"
"Srxn1_1.8" 0.342351 0.319924475 0.36470855 0.791607 0.75917295 0.822664525 0.229607 0.208183525 0.250888025 "Sim1" "ETA" 7 "Srxn1"
"Srxn1_1.9" 0.4059225 0.38115625 0.430375125 0.949989 0.9188218 0.980785075 0.259084 0.235044225 0.2830152 "Sim1" "ETA" 8 "Srxn1"
"Srxn1_1.10" 0.4680645 0.44092955 0.494864275 1.11012 1.0779095 1.1420925 0.287797 0.261165775 0.314309175 "Sim1" "ETA" 9 "Srxn1"
"Srxn1_1.11" 0.552351 0.522975125 0.581596125 1.29329 1.25941925 1.32683025 0.315781 0.2865733 0.344793125 "Sim1" "ETA" 10 "Srxn1"
"Srxn1_1.12" 0.598654 0.56691405 0.629986475 1.406135 1.37068 1.44126025 0.3430285 0.311383 0.374397 "Sim1" "ETA" 11 "Srxn1"
"Srxn1_1.13" 0.640321 0.60648665 0.67378415 1.50437 1.4672695 1.54123125 0.369539 0.3356384 0.40324905 "Sim1" "ETA" 12 "Srxn1"
"Srxn1_1.14" 0.695088 0.65919845 0.73051125 1.65071 1.612119 1.68919125 0.395369 0.3592455 0.4314 "Sim1" "ETA" 13 "Srxn1"
"Srxn1_1.15" 0.7387125 0.70070615 0.776093625 1.76054 1.720359 1.80064025 0.420519 0.382189875 0.458843 "Sim1" "ETA" 14 "Srxn1"
"Srxn1_1.16" 0.779278 0.73939585 0.818581275 1.861395 1.81965 1.90304025 0.44504 0.40459795 0.485430425 "Sim1" "ETA" 15 "Srxn1"
"Srxn1_1.17" 0.817588 0.77580665 0.8588672 1.955405 1.91206975 1.99841075 0.468904 0.4264708 0.5112542 "Sim1" "ETA" 16 "Srxn1"
"Srxn1_1.18" 0.8611705 0.8174573 0.90423985 2.07335 2.028258 2.11786075 0.492165 0.4476418 0.536482275 "Sim1" "ETA" 17 "Srxn1"
"Srxn1_1.19" 0.8965595 0.85112175 0.941175775 2.163385 2.11657925 2.2093005 0.5148175 0.468385425 0.561034 "Sim1" "ETA" 18 "Srxn1"
"Srxn1_1.20" 0.9329725 0.88571545 0.9792981 2.25896 2.21060825 2.3061715 0.53688 0.488646 0.5849052 "Sim1" "ETA" 19 "Srxn1"
"Srxn1_1.21" 0.9670285 0.9180356 1.0149905 2.34698 2.297119 2.39537 0.5583395 0.50858195 0.608088625 "Sim1" "ETA" 20 "Srxn1"
"Srxn1_1.22" 0.999635 0.949010025 1.0492 2.432815 2.38155925 2.482621 0.5792735 0.527719075 0.630674775 "Sim1" "ETA" 21 "Srxn1"
"Srxn1_1.23" 1.029995 0.977938475 1.08107225 2.502275 2.44977875 2.55347125 0.5996445 0.546358775 0.6528513 "Sim1" "ETA" 22 "Srxn1"
"Srxn1_1.24" 1.05196 0.998597825 1.104362 2.54689 2.49325925 2.59947125 0.619489 0.5645467 0.6742661 "Sim1" "ETA" 23 "Srxn1"
"Srxn1_1.25" 1.07105 1.016189 1.12480025 2.57894 2.52405 2.63275 0.638882 0.582268 0.695069525 "Sim1" "ETA" 24 "Srxn1"
"Srxn1_1.26" 1.088015 1.031807 1.14316025 2.603875 2.54823675 2.658784 0.657694 0.599637 0.715163 "Sim1" "ETA" 25 "Srxn1"
"Srxn1_1.27" 1.106315 1.0489245 1.1628805 2.63906 2.58195 2.6951305 0.6761265 0.616450625 0.7348948 "Sim1" "ETA" 26 "Srxn1"
"Srxn1_1.28" 1.128455 1.0696975 1.18616275 2.693185 2.634959 2.750513 0.694034 0.632830525 0.75421 "Sim1" "ETA" 27 "Srxn1"
"Srxn1_1.29" 1.14172 1.081459 1.20065025 2.70412 2.6448385 2.762621 0.7114055 0.64875965 0.772833 "Sim1" "ETA" 28 "Srxn1"
"Srxn1_1.30" 1.15524 1.09381 1.21537125 2.720105 2.6596585 2.779331 0.7283335 0.6643484 0.79099815 "Sim1" "ETA" 29 "Srxn1"
"Srxn1_1.31" 1.172865 1.11024975 1.23453075 2.759935 2.69858875 2.820246 0.744885 0.67973925 0.8086677 "Sim1" "ETA" 30 "Srxn1"
"Srxn1_1.32" 1.18603 1.1221895 1.2487305 2.77651 2.71419 2.83800075 0.7609845 0.6946744 0.826038825 "Sim1" "ETA" 31 "Srxn1"
"Srxn1_1.33" 1.196695 1.13163 1.2606405 2.781595 2.71802 2.84411025 0.776622 0.709067225 0.84283225 "Sim1" "ETA" 32 "Srxn1"
"Srxn1_2.1" 0 0 0 0 0 0 0 0 0 "Sim2" "ETA" 0 "Srxn1"
"Srxn1_2.2" 0.03545165 0.0320865025 0.038796 0.03545165 0.0320865025 0.038796 0.03545165 0.0320865025 0.038796 "Sim2" "ETA" 1 "Srxn1"
"Srxn1_2.3" 0.07478735 0.068182635 0.081369955 0.08450395 0.0778174725 0.0911057925 0.06998405 0.0633647375 0.0765561 "Sim2" "ETA" 2 "Srxn1"
"Srxn1_2.4" 0.114696 0.1049856 0.124359075 0.1490335 0.13844665 0.159921025 0.103616 0.09385258 0.113309525 "Sim2" "ETA" 3 "Srxn1"
"Srxn1_2.5" 0.1693985 0.15616195 0.1825812 0.2472215 0.229669525 0.266201025 0.136378 0.12357175 0.149094325 "Sim2" "ETA" 4 "Srxn1"
"Srxn1_2.6" 0.261247 0.242917575 0.2803342 0.423138 0.395131875 0.452709975 0.1682715 0.1525488 0.183930775 "Sim2" "ETA" 5 "Srxn1"
"Srxn1_2.7" 0.353273 0.330721475 0.376086675 0.595034 0.561873625 0.6275064 0.199343 0.18073345 0.2178438 "Sim2" "ETA" 6 "Srxn1"
"Srxn1_2.8" 0.433712 0.4089495 0.458680025 0.75108 0.71840155 0.7824167 0.229607 0.208183525 0.250888025 "Sim2" "ETA" 7 "Srxn1"
"Srxn1_2.9" 0.5194965 0.493190625 0.545922175 0.9162595 0.885029825 0.9471457 0.259084 0.235044225 0.2830152 "Sim2" "ETA" 8 "Srxn1"
"Srxn1_2.10" 0.6042025 0.575738675 0.6325034 1.079305 1.047039 1.1113905 0.287797 0.261165775 0.314309175 "Sim2" "ETA" 9 "Srxn1"
"Srxn1_2.11" 0.711864 0.681178925 0.742284425 1.28352 1.24973975 1.3171505 0.315781 0.2865733 0.344793125 "Sim2" "ETA" 10 "Srxn1"
"Srxn1_2.12" 0.78805 0.755265225 0.820348025 1.43091 1.3953395 1.466101 0.3430285 0.311383 0.374397 "Sim2" "ETA" 11 "Srxn1"
"Srxn1_2.13" 0.857489 0.82274055 0.891869725 1.552705 1.51565925 1.58976125 0.369539 0.3356384 0.40324905 "Sim2" "ETA" 12 "Srxn1"
"Srxn1_2.14" 0.9287835 0.89224305 0.96502615 1.676095 1.63747825 1.71474025 0.395369 0.3592455 0.4314 "Sim2" "ETA" 13 "Srxn1"
"Srxn1_2.15" 0.994236 0.955789725 1.032501 1.7946 1.75434 1.83479075 0.420519 0.382189875 0.458843 "Sim2" "ETA" 14 "Srxn1"
"Srxn1_2.16" 1.05214 1.011889 1.0922105 1.89561 1.853709 1.93729 0.44504 0.40459795 0.485430425 "Sim2" "ETA" 15 "Srxn1"
