"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 "Simu1" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "ETA" 0 "Srxn1"
"Srxn1_1.2" 1 "Simu1" 1 0 0.00915180102201207 0.0274554030660362 0 0.0158513843508857 0.00516565776793867 0.00792618035764297 0.03545165 0.0320865025 0.038796 0.03545165 0.0320865025 0.038796 0.03545165 0.0320865025 0.038796 "ETA" 1 "Srxn1"
"Srxn1_1.3" 2 "Simu1" 1 0 0.00658253204162858 0.0197475961248857 0 0.0114012799385508 0 0 0.0700343 0.0634104925 0.0766026 0.07041925 0.0637845225 0.0769796475 0.06998405 0.0633647375 0.0765561 "ETA" 2 "Srxn1"
"Srxn1_1.4" 3 "Simu1" 1 0 0.0100812117738518 0.0302436353215553 0 0.0174611709941728 0 0 0.1037435 0.093971065 0.11342775 0.1046605 0.09486251 0.114318 0.103616 0.09385258 0.113309525 "ETA" 3 "Srxn1"
"Srxn1_1.5" 4 "Simu1" 1 0 0.0246804534829904 0.0740413604489711 0 0.0427477993863796 0 0 0.1368785 0.124068725 0.149572275 0.1406865 0.12788165 0.153408025 0.136378 0.12357175 0.149094325 "ETA" 4 "Srxn1"
"Srxn1_1.6" 5 "Simu1" 1 0 0.0326526813401815 0.0979580440205445 0 0.0565561030845506 0.00198917720309534 0.00344535598101888 0.1736735 0.15787775 0.189284075 0.205584 0.189443 0.22165945 0.1682715 0.1525488 0.183930775 "ETA" 5 "Srxn1"
"Srxn1_1.7" 6 "Simu1" 1 0 0.0332280991076361 0.0996842973229084 0 0.0575527558933599 0.0814000660417186 0.0797380751374406 0.217517 0.198900925 0.236034325 0.304834 0.28510205 0.324584675 0.199343 0.18073345 0.2178438 "ETA" 6 "Srxn1"
"Srxn1_1.8" 7 "Simu1" 1 0 0.0427153842537817 0.128146152761345 0 0.0739852157923774 0.228673301726573 0.125670055043153 0.262921 0.241463875 0.2841365 0.4075325 0.385234875 0.42957605 0.229607 0.208183525 0.250888025 "ETA" 7 "Srxn1"
"Srxn1_1.9" 8 "Simu1" 1 0 0.0393926952864657 0.118178085859397 0 0.0682301496832376 0.332053599836394 0.207185588377446 0.315344 0.29136855 0.339264075 0.5317095 0.5075439 0.55573815 0.259084 0.235044225 0.2830152 "ETA" 8 "Srxn1"
"Srxn1_1.10" 9 "Simu1" 1 0 0.0461591684744687 0.138477505423406 0 0.0799500250329114 0.372525706609894 0.200603841387559 0.363277 0.3367599 0.3897292 0.642826 0.61633185 0.669070775 0.287797 0.261165775 0.314309175 "ETA" 9 "Srxn1"
