"iter"	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"r.1."	"decay.1."	"r.1.1."	"decay.1.1."	"r.1.2."	"decay.1.2."	"r.1.3."	"decay.1.3."	"r.1.4."	"decay.1.4."	"LnPrior"	"LnData"	"LnPosterior"
4995001	0.0218035	0.0154583	0.0140089	1.00375	130576	107302	9.80349	3.19996	0.821797	12.2766	0.150273	0.6547	0.295461	1.05669	0.125999	1.17163	0.102891	-24.40204	-12893.46	-12917.87
4995002	0.0218035	0.0154604	0.0140089	1.00407	130576	107302	9.80349	3.19996	0.821797	11.2579	0.150273	0.6547	0.294274	1.08497	0.125999	1.17163	0.102891	-24.59559	-12889.22	-12913.81
4995003	0.0218035	0.0153626	0.0140089	1.00407	130522	107308	9.85976	4.0792	0.821797	9.9338	0.150273	0.635149	0.294274	1.0722	0.125981	1.17163	0.102891	-24.07254	-12888.9	-12912.97
4995004	0.0218035	0.0153626	0.0140089	1.00407	130553	107308	9.85976	4.1214	0.821797	9.18841	0.149745	0.635149	0.294274	1.12197	0.126168	1.17163	0.102891	-23.70394	-12889.93	-12913.63
4995005	0.0218035	0.0153626	0.0140089	1.00407	130553	107269	9.85976	2.57906	0.58276	9.18841	0.149745	0.646204	0.294608	1.12197	0.126168	1.16303	0.102891	-20.37709	-12889.85	-12910.23
4995006	0.0218035	0.0154732	0.0140089	1.00407	130553	107269	9.85482	2.57906	0.58276	7.70261	0.149745	0.646204	0.294608	1.12197	0.125967	1.17373	0.102629	-19.40321	-12890.37	-12909.77
4995007	0.0228211	0.0154732	0.0140089	1.00407	130553	107212	9.88727	1.59947	0.00582057	9.22279	0.149745	0.646204	0.294608	1.10953	0.125236	1.15678	0.102899	-16.64986	-12887.78	-12904.43
4995008	0.0228211	0.0155215	0.0140089	1.00407	130553	107212	9.71666	1.59947	0.00582057	9.22279	0.149745	0.642242	0.294608	1.10619	0.125236	1.15678	0.103101	-16.53074	-12889.64	-12906.17
4995009	0.0228211	0.0155821	0.0140587	1.00379	130553	107287	9.87005	3.23036	0.00582057	11.6196	0.149745	0.661526	0.294608	1.09653	0.125236	1.15678	0.102732	-19.54612	-12888.74	-12908.28
4995010	0.0228211	0.0155821	0.0140587	1.00379	130339	107287	9.87005	1.67458	0.00582057	12.9577	0.149745	0.649209	0.294993	1.09653	0.125236	1.15678	0.102729	-22.64273	-12885.21	-12907.85
4995011	0.0228211	0.0155821	0.0140587	1.00379	130496	107342	9.87005	0.45365	0.00582057	10.1843	0.149745	0.649209	0.294993	1.13013	0.125236	1.15678	0.102729	-19.90291	-12888.57	-12908.47
4995012	0.0228211	0.0156233	0.0140587	1.00379	130496	107342	9.9728	1.39342	0.00582057	10.8767	0.149745	0.633919	0.294993	1.10863	0.125253	1.20708	0.102729	-20.40542	-12888.03	-12908.43
4995013	0.0243415	0.0156974	0.0140587	1.00359	130411	107342	9.9728	1.12004	0.330549	11.1811	0.149452	0.633919	0.294993	1.08379	0.125512	1.17815	0.102675	-21.88618	-12886.68	-12908.57
4995014	0.0224986	0.0156974	0.0140587	1.00351	130413	107342	9.9728	1.12004	0.330549	11.1489	0.150068	0.633919	0.294993	1.08379	0.125512	1.20451	0.102675	-21.53066	-12888.27	-12909.8
4995015	0.0241091	0.0156974	0.0140587	1.00351	130495	107342	9.85998	1.52095	0.18508	11.1489	0.150068	0.637943	0.294993	1.08379	0.125512	1.20451	0.102675	-20.2326	-12890.47	-12910.7
4995016	0.0241091	0.0158395	0.0140587	1.00345	130495	107342	9.85998	1.1757	0.18508	10.8841	0.149126	0.637943	0.294765	1.08379	0.125584	1.20451	0.10273	-19.86407	-12887.58	-12907.44
4995017	0.023624	0.0158265	0.0140587	1.00345	130389	107342	9.94564	0.0126124	0.18508	10.4108	0.149126	0.637943	0.294765	1.10425	0.125584	1.20307	0.10273	-20.67541	-12885.17	-12905.84
4995018	0.023624	0.0158265	0.0140748	1.00345	130588	107342	9.92864	1.02526	0.288098	9.48687	0.149126	0.637943	0.2942	1.10425	0.125758	1.20619	0.102516	-19.18622	-12887.6	-12906.79
4995019	0.023624	0.0159125	0.0140748	1.00343	130588	107379	9.89612	1.62434	0.288098	9.23777	0.149126	0.643198	0.2942	1.08164	0.125758	1.20619	0.102524	-20.01974	-12886.78	-12906.8
4995020	0.023624	0.0159125	0.0140748	1.00343	130588	107379	9.89612	1.62434	0.282173	6.85094	0.149126	0.643198	0.2942	1.08164	0.126376	1.21179	0.102524	-18.29206	-12891.89	-12910.18
4995021	0.023624	0.0159029	0.0140748	1.00343	130588	107379	9.89612	2.32418	0.282173	7.63242	0.14913	0.643198	0.2942	1.08164	0.126359	1.21179	0.102747	-18.9754	-12889.98	-12908.96
4995022	0.023624	0.0159029	0.0140748	1.00343	130588	107379	9.89612	2.32418	0.282173	7.63242	0.14913	0.637304	0.293327	1.08854	0.126359	1.17841	0.102796	-18.9797	-12888.94	-12907.92
4995023	0.023624	0.0159051	0.0140748	1.00343	130570	107379	9.7241	2.32418	0.13922	7.63242	0.149374	0.637255	0.293327	1.09681	0.125403	1.17841	0.102782	-18.18967	-12889.18	-12907.37
4995024	0.023624	0.01592	0.0139897	1.00343	130317	107379	9.7241	1.67615	0.13922	7.63242	0.149374	0.637255	0.293327	1.09681	0.125754	1.14497	0.102706	-19.84047	-12888.33	-12908.17
4995025	0.023624	0.0159322	0.0139897	1.00344	130322	107379	9.7241	1.67615	0.13922	7.63242	0.149374	0.637255	0.293327	1.07866	0.125754	1.14397	0.102706	-19.77109	-12888.93	-12908.7
4995026	0.023624	0.0158398	0.0139897	1.00344	130322	107163	9.70791	2.60606	0.13922	7.63242	0.149374	0.637255	0.293327	1.10911	0.125754	1.16666	0.102706	-14.9091	-12892.14	-12907.05
4995027	0.023624	0.0159866	0.0139897	1.00344	130372	107163	9.70791	3.44408	0.0425932	7.83279	0.149374	0.637255	0.293327	1.10911	0.125754	1.16666	0.102706	-14.33617	-12889.65	-12903.98
4995028	0.0236681	0.0159866	0.0139897	1.00344	130376	107169	9.70791	3.06675	0.0425932	7.83279	0.149374	0.637255	0.293327	1.10911	0.125754	1.16666	0.102706	-14.09975	-12889.66	-12903.76
4995029	0.0234053	0.0159866	0.0139897	1.00344	130452	107169	9.66545	3.06675	0.0425932	8.09463	0.149374	0.629276	0.293327	1.10911	0.125754	1.16666	0.102706	-13.44313	-12890.8	-12904.24
4995030	0.0234053	0.0159866	0.0139897	1.00344	130452	107169	9.85808	0.741818	0.0425932	9.32327	0.149374	0.638551	0.293333	1.10717	0.125754	1.16666	0.102706	-14.15332	-12887.39	-12901.54
