"","mean","sd","2.5%","97.5%","Rhat"
"ks_Srxn1",0.02351132435013,0.0011407623833131,0.021378915,0.0257886,1.01934748411321
"kd_Srxn1",0.0160893671015797,0.000259428817000567,0.0155996,0.01659,1.05541676563782
"Ka_Srxn1",0.0141375139272146,0.000440884056072976,0.01343553,0.015133625,1.09338879240484
"hill_Srxn1",1.00341635272945,0.000368232176101872,1.00275,1.00416,1.0567943522973
"Vmax_Srxn1",130451.809588082,101.753281158478,130255,130647,1.00119121713538
"Km_Srxn1",107108.692161568,103.310513294742,106903,107308,1.00432813193382
"hillact_Srxn1",9.90253872075585,0.0952914883083301,9.645277,9.99730475,1.00425224317538
"r.1.",2.15100617881424,1.37951245867985,0.132581875,5.23620925,1.00158449471746
"decay.1.",0.218643446083593,0.184834129844261,0.00634638,0.691005,1.0009815936949
"r_Sul",9.04145691461708,1.33642677336571,6.97017675,12.194395,1.0009587191441
"decay_Sul",0.148441055988802,0.00105576605759485,0.146365075,0.15049,1.068792047565
"r_Andro",0.643777462057588,0.0150102435993182,0.6170642,0.675527,1.02535808153817
"decay_Andro",0.292898420665867,0.00215816867516195,0.28855645,0.2970671,1.05589041249012
"r_Eta",1.09592414267147,0.0177716471527954,1.06139225,1.13103,1.02215733744851
"decay_Eta",0.12499474915017,0.00111783313491959,0.122664,0.12706,1.07045956379031
"r_CDDO",1.17825281343731,0.0225537572547911,1.13425,1.22333,1.01696638766242
"decay_CDDO",0.102452444961008,0.000682477775266744,0.100978,0.103640925,1.08583055231606
