"","mean","sd","2.5%","97.5%","Rhat"
"ks_Srxn1",0.0236830562387522,0.00123145679780366,0.0214526,0.026164,1.0189097024686
"kd_Srxn1",0.0161312541041792,0.000272620564832877,0.0155421525,0.0166288,1.02471424935117
"Ka_Srxn1",0.0142285159118176,0.000534390699140025,0.0132098,0.0152930875,1.07235063272402
"hill_Srxn1",1.00332684963007,0.000432058158176136,1.00246,1.00425,1.04744024314279
"Vmax_Srxn1",130451.711557688,100.366807560987,130253,130650,1.00128637516879
"Km_Srxn1",107113.134923015,99.0139029590905,106919,107308,1.00306818501796
"hillact_Srxn1",9.89548677314537,0.102785993010509,9.615198,9.99723,1.00208769018525
"r.1.",2.12297224558588,1.35830727811178,0.1260982,5.0792495,1.00118853879683
"decay.1.",0.213008652306909,0.187194211239853,0.00635200125,0.681422,1.00136147061848
"r_Sul",9.01173323685263,1.30894988490751,6.97754,12.1104,1.00180466538315
"decay_Sul",0.148206467406519,0.00127035097349043,0.145576,0.150776,1.05317495356642
"r_Andro",0.645333965656869,0.0153542903876563,0.617777075,0.67797955,1.03417048716724
"decay_Andro",0.292558030993801,0.0024545814404562,0.287772,0.297473725,1.0398219352242
"r_Eta",1.09769685812837,0.0192918316060622,1.05861225,1.13533,1.02132026242248
"decay_Eta",0.12478375419916,0.00133271099013716,0.122193,0.127322625,1.05961411227558
"r_CDDO",1.18083209358128,0.0235643593558421,1.13358,1.22727,1.01828343400081
"decay_CDDO",0.102306049980004,0.000824907247422686,0.100646,0.103933,1.06811855163848
