"medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Simulation" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 0 0 0 0 0 0 0 0 "Sim1" "Sul" 0 "Srxn1"
"Srxn1_1.2" 0.0231879 0.0211505925 0.0254426 0.0231879 0.0211505925 0.0254426 0.0231879 0.0211505925 0.0254426 "Sim1" "Sul" 1 "Srxn1"
"Srxn1_1.3" 0.05982935 0.0553680125 0.0653227475 0.08464575 0.0793590575 0.0958939025 0.04601025 0.0419753725 0.0504742125 "Sim1" "Sul" 2 "Srxn1"
"Srxn1_1.4" 0.1948375 0.18867385 0.2019712 0.2487715 0.241771875 0.260598025 0.14436 0.138538975 0.1508644 "Sim1" "Sul" 3 "Srxn1"
"Srxn1_1.5" 0.3671275 0.35935825 0.376111825 0.4888795 0.480024925 0.501179 0.2435085 0.235906825 0.25204835 "Sim1" "Sul" 4 "Srxn1"
"Srxn1_1.6" 0.550214 0.54064385 0.5612691 0.754231 0.7434965 0.767535025 0.341267 0.3318738 0.351818125 "Sim1" "Sul" 5 "Srxn1"
"Srxn1_1.7" 0.7274315 0.716047925 0.74038105 0.970214 0.957669 0.9848993 0.445697 0.434522825 0.4582814 "Sim1" "Sul" 6 "Srxn1"
"Srxn1_1.8" 0.8895865 0.8765074 0.904380225 1.172905 1.15864925 1.18936075 0.5443705 0.53144395 0.5589953 "Sim1" "Sul" 7 "Srxn1"
"Srxn1_1.9" 1.02935 1.01465 1.04618025 1.34859 1.33263 1.36671125 0.608054 0.5936077 0.624410725 "Sim1" "Sul" 8 "Srxn1"
"Srxn1_1.10" 1.17332 1.1568795 1.1920305 1.54708 1.52954875 1.56707125 0.6243745 0.60852785 0.642303775 "Sim1" "Sul" 9 "Srxn1"
"Srxn1_1.11" 1.3618 1.34376975 1.38246 1.763795 1.7445395 1.7855025 0.7630545 0.745547975 0.782830725 "Sim1" "Sul" 10 "Srxn1"
"Srxn1_1.12" 1.48957 1.4699895 1.5119325 1.932755 1.9120595 1.956131 0.7922695 0.77371565 0.813577 "Sim1" "Sul" 11 "Srxn1"
"Srxn1_1.13" 1.639895 1.61863975 1.66415025 2.15669 2.13428925 2.18186025 0.807289 0.787118475 0.830235725 "Sim1" "Sul" 12 "Srxn1"
"Srxn1_1.14" 1.77437 1.75178975 1.8001315 2.36846 2.3444595 2.39536 0.817489 0.7961105 0.8420306 "Sim1" "Sul" 13 "Srxn1"
"Srxn1_1.15" 1.889665 1.86650975 1.9162815 2.562325 2.53676975 2.59083125 0.8281385 0.80547685 0.85421435 "Sim1" "Sul" 14 "Srxn1"
"Srxn1_1.16" 1.972595 1.94586925 2.00139025 2.74803 2.7213595 2.77809 0.838233 0.8143156 0.86594425 "Sim1" "Sul" 15 "Srxn1"
"Srxn1_1.17" 1.99228 1.96104875 2.02619125 2.92009 2.89288825 2.95059075 0.848111 0.82275325 0.8773731 "Sim1" "Sul" 16 "Srxn1"
"Srxn1_1.18" 1.986915 1.954708 2.0221205 3.04325 3.01329975 3.075343 0.857789 0.830844825 0.888557775 "Sim1" "Sul" 17 "Srxn1"
"Srxn1_1.19" 1.978905 1.94628975 2.0149205 3.1008 3.06122475 3.14087 0.8673685 0.8389564 0.899585475 "Sim1" "Sul" 18 "Srxn1"
"Srxn1_1.20" 1.970535 1.9379495 2.007291 3.093905 3.050629 3.1382415 0.8767295 0.84704655 0.910332625 "Sim1" "Sul" 19 "Srxn1"
"Srxn1_1.21" 1.96227 1.92943 1.99917275 3.0892 3.04157675 3.13907925 0.8859435 0.855052575 0.921002225 "Sim1" "Sul" 20 "Srxn1"
"Srxn1_1.22" 1.954125 1.92069975 1.991235 3.064015 3.0178755 3.114031 0.8950025 0.862712325 0.93164415 "Sim1" "Sul" 21 "Srxn1"
"Srxn1_1.23" 1.94621 1.91211875 1.98393075 3.03849 2.99282675 3.087772 0.9038705 0.8702079 0.9418097 "Sim1" "Sul" 22 "Srxn1"
"Srxn1_1.24" 1.93844 1.90403 1.9770905 3.01325 2.96821475 3.0620725 0.9125685 0.8777556 0.952097275 "Sim1" "Sul" 23 "Srxn1"
"Srxn1_1.25" 1.930615 1.8957975 1.97037 2.988315 2.943627 3.036845 0.9211405 0.885140325 0.962127425 "Sim1" "Sul" 24 "Srxn1"
"Srxn1_1.26" 1.92303 1.88755775 1.9635215 2.963785 2.91908975 3.012794 0.9296625 0.89229525 0.972083575 "Sim1" "Sul" 25 "Srxn1"
"Srxn1_1.27" 1.91543 1.87926 1.9566205 2.93959 2.89542875 2.9886715 0.9380445 0.899412875 0.981736075 "Sim1" "Sul" 26 "Srxn1"
"Srxn1_1.28" 1.908125 1.87127 1.9502805 2.91584 2.87166825 2.964822 0.946301 0.9064473 0.991236 "Sim1" "Sul" 27 "Srxn1"
"Srxn1_1.29" 1.90097 1.8631695 1.9439025 2.892505 2.848448 2.9417005 0.9543845 0.913349375 1.00072225 "Sim1" "Sul" 28 "Srxn1"
"Srxn1_1.30" 1.893795 1.8551095 1.93768125 2.869485 2.825527 2.9186265 0.9624315 0.920129725 1.0100205 "Sim1" "Sul" 29 "Srxn1"
"Srxn1_1.31" 1.88682 1.84719975 1.9317005 2.84687 2.80274925 2.89621025 0.9702795 0.926691175 1.01894125 "Sim1" "Sul" 30 "Srxn1"
"Srxn1_1.32" 1.880035 1.83929975 1.925762 2.82461 2.780348 2.87406525 0.9779835 0.93329365 1.02798375 "Sim1" "Sul" 31 "Srxn1"
"Srxn1_1.33" 1.873395 1.83153675 1.92005175 2.802815 2.75791825 2.85170325 0.9855595 0.939802 1.0369505 "Sim1" "Sul" 32 "Srxn1"
"Srxn1_2.1" 0 0 0 0 0 0 0 0 0 "Sim2" "Sul" 0 "Srxn1"
"Srxn1_2.2" 0.0231879 0.0211505925 0.0254426 0.0231879 0.0211505925 0.0254426 0.0231879 0.0211505925 0.0254426 "Sim2" "Sul" 1 "Srxn1"
"Srxn1_2.3" 0.06421175 0.0596210825 0.0704394975 0.08343105 0.0781878625 0.0943679 0.04601025 0.0419753725 0.0504742125 "Sim2" "Sul" 2 "Srxn1"
"Srxn1_2.4" 0.2475605 0.2413488 0.255145025 0.278049 0.27113295 0.28956165 0.2177265 0.212033825 0.2241464 "Sim2" "Sul" 3 "Srxn1"
"Srxn1_2.5" 0.516622 0.5086398 0.525946225 0.609744 0.600799925 0.621888075 0.4224875 0.415021825 0.431025175 "Sim2" "Sul" 4 "Srxn1"
"Srxn1_2.6" 0.834512 0.8243743 0.845888425 1.023995 1.01282975 1.03751025 0.662746 0.65344055 0.67342105 "Sim2" "Sul" 5 "Srxn1"
"Srxn1_2.7" 1.15144 1.13905925 1.164941 1.44149 1.427799 1.45668025 0.8969775 0.8857169 0.9096944 "Sim2" "Sul" 6 "Srxn1"
"Srxn1_2.8" 1.44236 1.42792975 1.457881 1.81262 1.79654 1.82960075 1.11593 1.10281925 1.13062075 "Sim2" "Sul" 7 "Srxn1"
"Srxn1_2.9" 1.72104 1.7048195 1.73865025 2.19385 2.1756195 2.21285 1.31038 1.29546 1.3270705 "Sim2" "Sul" 8 "Srxn1"
"Srxn1_2.10" 1.980155 1.96215925 1.99951075 2.543535 2.5233 2.564582 1.484665 1.46809925 1.50322025 "Sim2" "Sul" 9 "Srxn1"
