"iter"	"r.1.1."	"decay.1.1."	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"LnPrior"	"LnData"	"LnPosterior"
4999591	7.9861	0.14766	0.0242509	0.0154987	0.014756	1.00409	130663	107049	9.97274	-16.06648	-12896.85	-12912.92
4998472	7.76675	0.148508	0.0237055	0.0160158	0.0139952	1.00383	130545	107098	9.91826	-14.78881	-12892.01	-12906.8
4997481	9.33432	0.146245	0.024634	0.0163694	0.0151192	1.00269	130437	106995	9.7679	-11.95415	-12894.69	-12906.64
4995913	9.15616	0.151362	0.021712	0.0156044	0.0133335	1.00405	130561	107283	9.96028	-18.36523	-12886.25	-12904.62
4997678	9.68884	0.15006	0.0225829	0.0160099	0.0135339	1.00373	130528	107096	9.8726	-17.04895	-12888.4	-12905.45
4995034	8.84275	0.148518	0.0222868	0.0158262	0.0144499	1.00361	130404	107004	9.87186	-14.69674	-12891.75	-12906.45
4999420	10.214	0.147954	0.0256221	0.0166419	0.0138888	1.00299	130448	106990	9.78028	-13.03449	-12896.82	-12909.85
4998737	8.68849	0.147734	0.0228678	0.0164858	0.014331	1.00299	130462	106855	9.9376	-13.17962	-12891.87	-12905.05
4998787	8.34493	0.146887	0.0232135	0.0161408	0.0148278	1.00305	130512	107088	9.98388	-12.41194	-12889.41	-12901.82
4999073	8.64615	0.148523	0.025851	0.0161721	0.0140259	1.00405	130629	106964	9.96879	-15.54	-12892.76	-12908.3
4995836	7.57419	0.147703	0.0218967	0.0159898	0.0142973	1.00333	130424	107162	9.92299	-14.17243	-12890.6	-12904.77
4995553	9.78917	0.150131	0.0225978	0.0157904	0.013402	1.00395	130429	107211	9.99212	-18.77054	-12889.27	-12908.04
4995286	7.36818	0.14801	0.0239962	0.0159989	0.0144027	1.00339	130450	107134	9.90835	-13.35715	-12891.06	-12904.42
4997018	11.9955	0.149549	0.0211897	0.0156703	0.0139256	1.00374	130211	107031	9.94544	-21.10346	-12889.47	-12910.57
4996406	9.47054	0.150222	0.0216446	0.0160735	0.0137205	1.00305	130435	107173	9.84834	-13.25709	-12896.32	-12909.58
4998244	11.8712	0.146787	0.0242553	0.0161924	0.0149558	1.00284	130425	107130	9.89188	-14.83862	-12891.78	-12906.62
4996041	9.28063	0.148674	0.0228043	0.01592	0.014104	1.00346	130463	107343	9.83181	-18.09081	-12891.73	-12909.83
4997043	6.99902	0.148923	0.0218437	0.0159064	0.0143596	1.00326	130415	107045	9.98924	-11.27808	-12893.61	-12904.89
4996559	6.13542	0.148752	0.0223912	0.0157198	0.0144921	1.00371	130559	107055	9.90828	-11.79856	-12903.63	-12915.43
4997279	8.75892	0.15005	0.0223636	0.0153026	0.0140272	1.00411	130348	107086	9.77057	-16.77709	-12895.9	-12912.68
4995900	8.33963	0.15034	0.022091	0.0156933	0.013679	1.00424	130520	106913	9.99175	-16.90192	-12889.44	-12906.34
4995248	9.46318	0.149121	0.0234526	0.0160161	0.0137663	1.00373	130443	107092	9.95106	-16.13988	-12885.89	-12902.03
4999476	8.12382	0.148431	0.0220297	0.0161254	0.0138156	1.0036	130601	107064	9.92101	-12.89619	-12889.35	-12902.25
