"medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Simulation" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 0 0 0 0 0 0 0 0 "Sim1" "Sul" 0 "Srxn1"
"Srxn1_1.2" 0.02319475 0.021159 0.0254245 0.02319475 0.021159 0.0254245 0.02319475 0.021159 0.0254245 "Sim1" "Sul" 1 "Srxn1"
"Srxn1_1.3" 0.04602055 0.0419789 0.0504409 0.04602055 0.0419789 0.0504409 0.04602055 0.0419789 0.0504409 "Sim1" "Sul" 2 "Srxn1"
"Srxn1_1.4" 0.107604 0.101650775 0.1140381 0.134748 0.128855825 0.14114625 0.06848195 0.0624703 0.0750557 "Sim1" "Sul" 3 "Srxn1"
"Srxn1_1.5" 0.2125295 0.2047429 0.22095415 0.315521 0.30805095 0.323948075 0.09058915 0.082648875 0.0992752 "Sim1" "Sul" 4 "Srxn1"
"Srxn1_1.6" 0.319785 0.310304 0.330228 0.498258 0.48906095 0.508696025 0.112344 0.102497725 0.123106 "Sim1" "Sul" 5 "Srxn1"
"Srxn1_1.7" 0.423288 0.4120979 0.435760125 0.67565 0.66462795 0.68810425 0.1337595 0.122038875 0.146554 "Sim1" "Sul" 6 "Srxn1"
"Srxn1_1.8" 0.505886 0.4929357 0.520283325 0.82074 0.807916975 0.835130075 0.154823 0.141272825 0.169612 "Sim1" "Sul" 7 "Srxn1"
"Srxn1_1.9" 0.60521 0.590545725 0.6216076 1.01756 1.00295925 1.03387 0.1755435 0.160202525 0.192283 "Sim1" "Sul" 8 "Srxn1"
"Srxn1_1.10" 0.6952675 0.67889845 0.7135283 1.184075 1.16783925 1.2022905 0.195941 0.178827 0.2145839 "Sim1" "Sul" 9 "Srxn1"
"Srxn1_1.11" 0.775158 0.75757895 0.794779025 1.348785 1.33081875 1.36882225 0.215996 0.197149 0.2365201 "Sim1" "Sul" 10 "Srxn1"
"Srxn1_1.12" 0.852511 0.834060925 0.873670075 1.51067 1.49103925 1.53262175 0.2357385 0.215178 0.258125575 "Sim1" "Sul" 11 "Srxn1"
"Srxn1_1.13" 0.8941765 0.87346815 0.9169784 1.662545 1.64134 1.6861905 0.255171 0.23292 0.2793822 "Sim1" "Sul" 12 "Srxn1"
"Srxn1_1.14" 0.9042365 0.8823306 0.92880625 1.80615 1.78348925 1.8313605 0.27426 0.25038 0.300280825 "Sim1" "Sul" 13 "Srxn1"
"Srxn1_1.15" 0.912906 0.89008385 0.9394034 1.91564 1.892379 1.94141 0.2930595 0.26758245 0.320862925 "Sim1" "Sul" 14 "Srxn1"
"Srxn1_1.16" 0.922015 0.89802075 0.949747175 2.07907 2.05445925 2.1059905 0.311572 0.284568775 0.341138325 "Sim1" "Sul" 15 "Srxn1"
"Srxn1_1.17" 0.9305595 0.9054182 0.959719375 2.10311 2.0755395 2.13325 0.329796 0.30122385 0.36104755 "Sim1" "Sul" 16 "Srxn1"
"Srxn1_1.18" 0.938901 0.912519825 0.9692465 2.114195 2.08277875 2.148392 0.347749 0.31765835 0.38062055 "Sim1" "Sul" 17 "Srxn1"
"Srxn1_1.19" 0.9470945 0.91940085 0.978920475 2.11641 2.0824985 2.154325 0.365368 0.333805625 0.399919 "Sim1" "Sul" 18 "Srxn1"
"Srxn1_1.20" 0.9550865 0.92636245 0.988495425 2.11182 2.07631925 2.15175325 0.382775 0.3496878 0.418863175 "Sim1" "Sul" 19 "Srxn1"
"Srxn1_1.21" 0.9630215 0.9330607 0.9979077 2.10129 2.0657175 2.1418025 0.399883 0.365326 0.437543975 "Sim1" "Sul" 20 "Srxn1"
"Srxn1_1.22" 0.9708765 0.939580575 1.00703025 2.090815 2.0551085 2.13167075 0.4167075 0.38071995 0.455876025 "Sim1" "Sul" 21 "Srxn1"
"Srxn1_1.23" 0.9785435 0.946021275 1.0156905 2.080765 2.04481775 2.12161025 0.4332525 0.3959095 0.473865425 "Sim1" "Sul" 22 "Srxn1"
"Srxn1_1.24" 0.986213 0.9523109 1.0243405 2.070665 2.0344895 2.112213 0.449526 0.410764475 0.491606825 "Sim1" "Sul" 23 "Srxn1"
"Srxn1_1.25" 0.9936285 0.9584303 1.03321125 2.060815 2.02423 2.10294375 0.465563 0.4254205 0.50912075 "Sim1" "Sul" 24 "Srxn1"
"Srxn1_1.26" 1.00102 0.964443975 1.04181125 2.05108 2.01437825 2.093721 0.481348 0.43987765 0.526362475 "Sim1" "Sul" 25 "Srxn1"
"Srxn1_1.27" 1.008245 0.970301425 1.05035375 2.04151 2.00456925 2.08484275 0.496889 0.454105775 0.54332915 "Sim1" "Sul" 26 "Srxn1"
"Srxn1_1.28" 1.015395 0.976271575 1.05866425 2.032155 1.99445875 2.07635025 0.512166 0.46805555 0.560024825 "Sim1" "Sul" 27 "Srxn1"
"Srxn1_1.29" 1.022425 0.9821055 1.06704275 2.0229 1.9846985 2.06813025 0.5272135 0.48186 0.576454375 "Sim1" "Sul" 28 "Srxn1"
"Srxn1_1.30" 1.02922 0.9877261 1.07533025 2.013755 1.9747395 2.05991075 0.5419915 0.495378325 0.592601475 "Sim1" "Sul" 29 "Srxn1"
"Srxn1_1.31" 1.035975 0.993384 1.0834925 2.00498 1.96547775 2.05159125 0.5565685 0.5086832 0.6084247 "Sim1" "Sul" 30 "Srxn1"
"Srxn1_1.32" 1.042535 0.998954275 1.09157125 1.99617 1.95596925 2.04348 0.5708625 0.52188135 0.624162475 "Sim1" "Sul" 31 "Srxn1"
"Srxn1_1.33" 1.049115 1.00457825 1.09941025 1.98765 1.94688825 2.03539925 0.5849885 0.534798925 0.639552 "Sim1" "Sul" 32 "Srxn1"
