"iter"	"r.1.1."	"decay.1.1."	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"LnPrior"	"LnData"	"LnPosterior"
4997950	9.52448	0.149487	0.0225289	0.0157881	0.0136722	1.00381	130630	107268	9.99361	-22.4476	-12886.58	-12909.03
4997828	9.77608	0.149443	0.0233001	0.0160837	0.0138334	1.00353	130453	107007	9.77845	-13.86959	-12895.14	-12909.01
4999186	9.68493	0.147565	0.0236177	0.0160392	0.014387	1.00355	130522	107086	9.95062	-14.39601	-12890.3	-12904.7
4997812	8.38189	0.149957	0.0241521	0.0159191	0.013599	1.00396	130613	107174	9.7921	-18.5444	-12890.15	-12908.69
4999932	8.18427	0.148419	0.0230067	0.0162864	0.0138259	1.00353	130629	107217	9.99346	-15.31947	-12890.04	-12905.36
4998891	8.725	0.149276	0.0242881	0.0159386	0.0139628	1.00371	130122	106953	9.8464	-25.57333	-12890.05	-12915.63
4998085	7.77643	0.148194	0.0232353	0.0162853	0.0138492	1.0036	130421	107016	9.98668	-13.07395	-12891.25	-12904.33
4999436	9.80417	0.147969	0.0229167	0.0163973	0.0140391	1.00337	130397	106962	9.99704	-16.67845	-12892.4	-12909.07
4995408	10.2147	0.15059	0.0223428	0.0161439	0.013241	1.00357	130398	107152	9.93843	-15.66213	-12890.18	-12905.84
4995748	8.29469	0.149461	0.0231803	0.0162118	0.0133781	1.00361	130420	107137	9.80572	-13.55868	-12892.06	-12905.62
4997507	9.24856	0.148103	0.0243636	0.0159825	0.0141142	1.00346	130270	107090	9.96129	-18.20825	-12887.32	-12905.53
4995214	8.00533	0.15004	0.0216481	0.0158043	0.0133743	1.00388	130481	107207	9.99243	-15.51789	-12889.09	-12904.61
4999623	7.29697	0.151158	0.0213721	0.0159879	0.0129591	1.004	130409	107167	9.96409	-16.68297	-12889.07	-12905.76
4998568	8.2049	0.148476	0.0231053	0.0162883	0.0136982	1.00355	130522	107105	9.86089	-13.32029	-12893.85	-12907.17
4999196	9.93446	0.148408	0.0228929	0.0161798	0.0141797	1.00312	130446	107176	9.99095	-13.90687	-12887.87	-12901.78
4995985	9.53697	0.149771	0.0217567	0.0157902	0.0134856	1.004	130496	107155	9.90673	-19.03902	-12887.47	-12906.51
4997884	7.45844	0.14993	0.0225101	0.0159124	0.0135602	1.00362	130310	107147	9.92679	-16.80937	-12889.08	-12905.89
4997546	8.77734	0.145614	0.0254272	0.0167936	0.015039	1.00212	130369	107110	9.81058	-11.17907	-12895.49	-12906.67
4995851	8.91782	0.149949	0.0234997	0.0158087	0.013453	1.00415	130489	107163	9.98213	-18.76635	-12886.45	-12905.22
4997032	8.44053	0.14865	0.0232608	0.0160267	0.0138599	1.00356	130516	107028	9.9146	-13.2501	-12891.53	-12904.78
4999551	8.58947	0.150439	0.0226056	0.0161044	0.0133649	1.00368	130547	107170	9.89058	-14.39362	-12887.88	-12902.27
4999279	9.86338	0.147764	0.0229964	0.0161243	0.0140432	1.00378	130455	106928	9.79466	-16.42888	-12892.71	-12909.14
4998131	8.61414	0.149016	0.0226325	0.0165972	0.0134742	1.00287	130378	107221	9.79421	-13.88203	-12893.46	-12907.34
4997228	6.86974	0.147218	0.0237288	0.0160571	0.0146708	1.00325	130441	107228	9.89733	-12.93922	-12900.14	-12913.08
4997011	8.39812	0.149549	0.0221639	0.0157051	0.0141812	1.0036	130409	107114	9.99236	-15.88864	-12888.95	-12904.84
4999545	9.2813	0.149761	0.0223879	0.0158157	0.0138488	1.00376	130485	107072	9.86687	-14.41523	-12893.38	-12907.79
4995967	7.97245	0.14892	0.0235975	0.0159491	0.0138137	1.00383	130464	107070	9.87977	-15.09174	-12888.36	-12903.45
4996032	10.4644	0.148395	0.023193	0.0160283	0.0141806	1.00325	130478	107226	9.98762	-15.68176	-12887.55	-12903.23
4996324	8.92869	0.148108	0.0241843	0.0160981	0.0144732	1.00322	130416	106972	9.89572	-13.53991	-12889.89	-12903.43
4999612	8.31338	0.148052	0.0253134	0.0155314	0.0146978	1.00388	130496	107246	9.97141	-17.35767	-12890.6	-12907.96
4997081	8.79101	0.149142	0.0262095	0.016342	0.0137368	1.00361	130410	107100	9.97077	-14.89312	-12891.62	-12906.51
4995305	9.20158	0.148962	0.0247943	0.0162269	0.0137588	1.00382	130463	106956	9.80087	-14.69339	-12890.64	-12905.34
4999494	14.1822	0.148852	0.0230432	0.0162483	0.0136415	1.00374	130348	107044	9.959	-20.79278	-12890.14	-12910.93
4999223	12.8629	0.148272	0.024267	0.0159958	0.0141853	1.00362	130460	107054	9.84569	-17.73433	-12889.12	-12906.85
4995554	8.43519	0.148135	0.0233645	0.0161655	0.0141456	1.00361	130503	106951	9.86933	-14.04736	-12888.81	-12902.86
4995389	12.3351	0.149388	0.0236058	0.0160176	0.013597	1.00394	130480	106858	9.959	-19.82803	-12890.5	-12910.33
4997259	8.05486	0.147374	0.0239584	0.0163485	0.0145675	1.00288	130423	107070	9.78041	-10.73761	-12893.25	-12903.99
4998878	8.97751	0.148422	0.0241822	0.0158799	0.0143882	1.00331	130321	107313	9.94849	-19.77273	-12887.08	-12906.85
4998356	9.3113	0.148659	0.0230602	0.0162397	0.0138515	1.0034	130508	107112	9.98475	-13.62314	-12886.79	-12900.41
4996061	8.7358	0.149024	0.0218601	0.0160075	0.0139303	1.00361	130475	107119	9.98843	-14.64973	-12889.47	-12904.12
4999163	8.29301	0.14788	0.0241135	0.016178	0.0141924	1.00333	130417	107123	9.97378	-13.91147	-12887.62	-12901.54
4999758	9.10724	0.147917	0.0238553	0.0159712	0.014016	1.00359	130497	107144	9.90511	-15.11974	-12892.22	-12907.34
4995788	10.1079	0.150319	0.0211922	0.0153802	0.0134774	1.0044	130411	107008	9.80111	-18.4706	-12890.96	-12909.43
4997568	9.57333	0.146187	0.0256554	0.0165275	0.0152117	1.00241	130369	107033	9.85094	-11.47442	-12895.35	-12906.82
4997357	8.93556	0.146491	0.0249273	0.0162268	0.0149839	1.00288	130502	107064	9.88625	-11.55254	-12893.93	-12905.48
4995477	9.74201	0.149568	0.0213789	0.0157792	0.0138126	1.00368	130463	107175	9.92089	-15.20077	-12886.84	-12902.04
4999970	8.75432	0.151334	0.0223184	0.0158473	0.0128192	1.00424	130446	107221	9.77785	-17.63737	-12890.84	-12908.48
4997817	11.0312	0.147815	0.0242518	0.0165651	0.0142214	1.00267	130397	107128	9.86455	-15.45505	-12895.13	-12910.58
4999503	9.31687	0.148974	0.0228328	0.0160491	0.0137388	1.00402	130577	106858	9.79876	-17.80776	-12890.04	-12907.85
4998763	8.72885	0.148569	0.0242486	0.0168932	0.0136911	1.00259	130422	107272	9.88085	-13.39563	-12897.17	-12910.56
4999331	9.40788	0.149349	0.0212039	0.0161052	0.0133924	1.00376	130494	107133	9.8777	-15.09148	-12892.06	-12907.16
4998898	7.35438	0.150805	0.0211174	0.0152833	0.0138114	1.00406	130294	107217	9.95715	-19.56162	-12888.74	-12908.3
4996261	8.26342	0.149211	0.0228029	0.0158792	0.0141552	1.00366	130514	107131	9.923	-15.70185	-12890.18	-12905.88
4998438	7.22406	0.147374	0.0243324	0.0162926	0.0141623	1.00331	130332	107111	9.76333	-13.29654	-12893.59	-12906.89
4996357	8.55307	0.148153	0.0232512	0.0160348	0.0142659	1.00312	130465	107142	9.79637	-12.6245	-12894.45	-12907.08
4995100	9.49682	0.148487	0.0241345	0.0163403	0.0141117	1.00305	130405	107015	9.98947	-12.81411	-12889.77	-12902.58
4996904	10.259	0.14824	0.0233299	0.016014	0.0141994	1.00343	130499	107139	9.98585	-16.20197	-12887.38	-12903.58
4996157	7.89386	0.147865	0.0219215	0.0163186	0.0142168	1.00311	130318	106990	9.74388	-12.84639	-12895.17	-12908.02
4998516	12.5721	0.14758	0.0239796	0.016427	0.0142123	1.00312	130361	107004	9.97452	-19.15151	-12890.6	-12909.75
4999552	7.53422	0.149249	0.0227492	0.0154726	0.014364	1.00396	130506	107068	9.9757	-14.29702	-12890	-12904.3
4996361	9.82604	0.147198	0.026708	0.0161407	0.0148372	1.00309	130495	107305	9.9963	-16.75858	-12890.68	-12907.43
4998765	9.52868	0.146383	0.0253123	0.0162669	0.0147741	1.00294	130416	107073	9.74119	-12.09923	-12894.44	-12906.54
4999416	7.83479	0.148913	0.0228222	0.0161513	0.013849	1.00339	130376	107044	9.96433	-14.78537	-12888.78	-12903.56
4999872	8.58694	0.149182	0.0229415	0.0160316	0.0140714	1.00375	130581	107029	9.88855	-14.93353	-12891.81	-12906.74
4999444	8.81715	0.148777	0.0229167	0.016227	0.0140094	1.00325	130375	107055	9.86649	-13.98518	-12890.18	-12904.16
4998666	8.70858	0.147562	0.0241589	0.015885	0.014929	1.00338	130444	107075	9.98379	-14.36977	-12891.92	-12906.29
4997563	8.50203	0.145369	0.0249605	0.0167104	0.0152117	1.00241	130440	106969	9.77522	-10.71162	-12896.81	-12907.52
4995750	8.83731	0.146842	0.0246016	0.0160077	0.0151792	1.00311	130464	107068	9.94991	-12.23026	-12893.67	-12905.9
4995430	9.0528	0.149531	0.0228647	0.0158932	0.0138124	1.00352	130232	107153	9.88436	-17.64607	-12886.23	-12903.88
4996902	8.49117	0.148316	0.0225364	0.0155395	0.014587	1.00375	130368	107048	9.92725	-15.31048	-12890.76	-12906.07
4998675	7.86233	0.147522	0.0248771	0.0158003	0.0151158	1.00344	130514	107035	9.99366	-13.67887	-12891.19	-12904.86
4995801	8.49199	0.14804	0.0239383	0.0156673	0.0147773	1.00358	130366	107042	9.98768	-15.58788	-12888.31	-12903.9
