"iter"	"r.1.1."	"decay.1.1."	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"LnPrior"	"LnData"	"LnPosterior"
4997781	8.26325	0.148739	0.0261346	0.0158735	0.0140037	1.004	130363	107017	9.99242	-16.20495	-12893.05	-12909.26
4998672	7.83464	0.147522	0.0249783	0.0157863	0.0150444	1.00344	130508	107022	9.99366	-13.90931	-12891.07	-12904.98
4997742	12.8216	0.148886	0.024776	0.0159218	0.0136489	1.00405	130314	106949	9.84257	-22.36995	-12890.74	-12913.11
4998545	7.73671	0.148788	0.0231338	0.0163828	0.0136629	1.00337	130520	107163	9.99671	-12.64212	-12889.31	-12901.95
4995459	8.78874	0.147685	0.0214367	0.016516	0.0140826	1.00276	130355	107042	9.98601	-12.06444	-12893.07	-12905.13
4995069	9.50634	0.14932	0.0235522	0.0159751	0.0141549	1.00367	130380	106885	9.97649	-17.12124	-12890.3	-12907.43
4999560	8.94838	0.149761	0.0246772	0.0155643	0.0138907	1.00415	130472	107191	9.92892	-16.78537	-12888.46	-12905.25
4996203	7.65243	0.149316	0.0240471	0.0163477	0.0137899	1.00306	130385	107242	9.95735	-15.51679	-12890.56	-12906.07
4998531	9.41506	0.14764	0.0243206	0.0163421	0.0143979	1.00322	130429	107031	9.88399	-12.70404	-12892.35	-12905.06
4996710	8.97006	0.147389	0.0242951	0.0157938	0.014618	1.00369	130440	107060	9.99318	-14.23455	-12894.1	-12908.33
4995126	8.9659	0.149848	0.0231521	0.0155102	0.013992	1.00412	130347	107081	9.88654	-17.65862	-12888.76	-12906.42
4995419	7.22844	0.14891	0.022159	0.0160483	0.0137698	1.00378	130379	107048	9.81898	-13.2568	-12892.61	-12905.87
4999344	8.82463	0.148393	0.0240615	0.0159791	0.0144245	1.00336	130581	107179	9.89265	-15.13108	-12891.09	-12906.22
4999846	8.58251	0.149617	0.0237461	0.0161316	0.0136334	1.00359	130471	107029	9.94407	-13.79969	-12889.75	-12903.55
4998741	8.61151	0.1482	0.0218832	0.0160123	0.0142741	1.00327	130338	107045	9.96954	-15.23335	-12887.52	-12902.75
4998939	9.70763	0.147324	0.0249205	0.0163806	0.0144229	1.00312	130656	107195	9.88506	-15.58399	-12889.93	-12905.52
4997978	8.63177	0.147825	0.0227026	0.0162397	0.0140847	1.00318	130454	107195	9.95926	-13.17197	-12893.68	-12906.85
4995385	6.98321	0.149687	0.0234897	0.0163054	0.0131514	1.00372	130495	107128	9.64082	-12.81458	-12898.11	-12910.92
4996320	8.22129	0.149918	0.0231475	0.0158727	0.01419	1.00354	130464	107129	9.94095	-13.58007	-12894.75	-12908.33
4999019	10.5336	0.148942	0.0230175	0.0157845	0.0139716	1.00368	130525	107152	9.97758	-15.6178	-12887.82	-12903.44
4996157	7.89386	0.147865	0.0219215	0.0163186	0.0142168	1.00311	130318	106990	9.74388	-12.84639	-12895.17	-12908.02
4995286	9.06226	0.148857	0.0244743	0.0160917	0.0141055	1.00336	130466	107102	9.83768	-14.58105	-12892.14	-12906.72
4998840	7.92828	0.148401	0.0244464	0.0159248	0.0144711	1.00357	130438	107068	9.98239	-12.87021	-12888.05	-12900.92
4999173	11.3388	0.148639	0.0214996	0.0160338	0.01391	1.00317	130408	107343	9.99536	-20.12995	-12889.39	-12909.52
4998964	10.8793	0.148712	0.0228157	0.0164253	0.0136091	1.00348	130454	106993	9.97905	-15.67602	-12888.32	-12904
4999330	9.40788	0.149211	0.0212039	0.0161445	0.0133924	1.00376	130494	107133	9.8777	-15.09124	-12890.45	-12905.54
