"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 "Simu1" 0.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Sul" 0 "Srxn1"
"Srxn1_1.2" 1 "Simu1" 0.35 0 0 0 0 0 0.00337871818080306 0.00481110385443749 0.0231855 0.02114138 0.025442205 0.0231855 0.02114138 0.025442205 0.0231855 0.02114138 0.025442205 "Sul" 1 "Srxn1"
"Srxn1_1.3" 2 "Simu1" 0.35 0 0.110268140225443 0.185978071648563 0 0.0976865555245357 0 0 0.0460013 0.0419526275 0.0504730425 0.0460013 0.0419526275 0.0504730425 0.0460013 0.0419526275 0.0504730425 "Sul" 2 "Srxn1"
"Srxn1_1.4" 3 "Simu1" 0.35 0 0.179139083089288 0.341860342091157 0 0.17152050047879 0.00285855658895174 0.0049511652483752 0.1075685 0.10160395 0.1141631 0.1347095 0.128799975 0.141245025 0.06846105 0.0624322 0.0751003675 "Sul" 3 "Srxn1"
"Srxn1_1.5" 4 "Simu1" 0.35 0 0.155820475996487 0.292975742016829 0 0.147377029757585 0.104672359003659 0.0952860054745102 0.21246 0.2047087 0.22105905 0.3155115 0.3079559 0.323952 0.0905648 0.082598815 0.0993414 "Sul" 4 "Srxn1"
"Srxn1_1.6" 5 "Simu1" 0.35 0 0.133082235162859 0.252218021084562 0 0.126686069181976 0.497784147750849 0.317348840019416 0.319747 0.310197975 0.330321225 0.498264 0.489041925 0.5086961 0.1123115 0.102438 0.123198075 "Sul" 5 "Srxn1"
"Srxn1_1.7" 6 "Simu1" 0.35 0 0.0933652723323965 0.186464356854467 0 0.093232463424766 0.97727654918255 0.457586468678864 0.42325 0.41192395 0.43577635 0.6756295 0.664616875 0.6881042 0.1337055 0.12195885 0.146657375 "Sul" 6 "Srxn1"
"Srxn1_1.8" 7 "Simu1" 0.35 0 0.109012767892438 0.240570339873074 0 0.121859440546037 1.40904581414409 0.590714246868735 0.505866 0.4927679 0.520356125 0.820714 0.80794385 0.835121525 0.154755 0.141157975 0.169757225 "Sul" 7 "Srxn1"
"Srxn1_1.9" 8 "Simu1" 0.35 0 0.0933745923718712 0.192991441634196 0 0.0966470302923278 1.63278484084553 0.647937868076164 0.605198 0.5904049 0.6216463 1.01754 1.00304 1.03388025 0.1754725 0.160047 0.1924588 "Sul" 8 "Srxn1"
"Srxn1_1.10" 9 "Simu1" 0.35 0 0.0810319387875511 0.183977523928446 0 0.0939259721806754 1.81211840889348 0.755534083916328 0.695237 0.678777 0.71354555 1.18403 1.16784 1.20231075 0.1958625 0.178652975 0.214811 "Sul" 9 "Srxn1"
"Srxn1_1.11" 10 "Simu1" 0.35 0 0.0830543671244955 0.176028108651814 0 0.0884322862437199 1.89099018393416 0.686186215275454 0.775064 0.757400975 0.7948384 1.34873 1.33084 1.36882025 0.215916 0.196952 0.236806175 "Sul" 10 "Srxn1"
"Srxn1_1.12" 11 "Simu1" 0.35 0 0.0756789894975554 0.162450221096104 0 0.0817911789844331 1.85661042442434 0.687101418646795 0.85239 0.834001675 0.8739252 1.510655 1.49103925 1.5325405 0.235654 0.214966 0.25844835 "Sul" 11 "Srxn1"
"Srxn1_1.13" 12 "Simu1" 0.35 0 0.0604912682635747 0.152260658563605 0 0.0808057406695295 1.84951281169216 0.740580663438736 0.894043 0.87355845 0.917455125 1.66252 1.6413595 1.686091 0.2550885 0.23271895 0.279742575 "Sul" 12 "Srxn1"
"Srxn1_1.14" 13 "Simu1" 0.35 0 0.0478192828204133 0.129820826120867 0 0.0713420067163803 1.79696451103792 0.680975512868358 0.904069 0.8825437 0.929024675 1.806075 1.783439 1.83128 0.274219 0.250215 0.300696775 "Sul" 13 "Srxn1"
"Srxn1_1.15" 14 "Simu1" 0.35 0 0.0713568178985986 0.172766238509197 0 0.0902186925724276 1.81383039730061 0.679824970064816 0.9127715 0.890260975 0.939419125 1.915585 1.89249975 1.94148025 0.293027 0.267439975 0.3213122 "Sul" 14 "Srxn1"
"Srxn1_1.16" 15 "Simu1" 0.35 0 0.0567560996593718 0.125644636339602 0 0.0636949031028112 1.88958830206873 0.721446718514574 0.9218045 0.898077325 0.949890575 2.07894 2.05452975 2.1062905 0.311538 0.284366 0.3415473 "Sul" 15 "Srxn1"
"Srxn1_1.17" 16 "Simu1" 0.35 0 0.0549095796252577 0.136170458573649 0 0.071808019601243 1.87436331889553 0.692253591115752 0.9303565 0.90537195 0.959779475 2.10298 2.07567975 2.1329205 0.3297665 0.301013 0.36147515 "Sul" 16 "Srxn1"
"Srxn1_1.18" 17 "Simu1" 0.35 0 0.0599929149381327 0.147290132778829 0 0.077348170768593 2.0276883931446 0.855076363618585 0.9387155 0.912659775 0.96967175 2.114145 2.08319875 2.1484715 0.34769 0.317397875 0.381119075 "Sul" 17 "Srxn1"
"Srxn1_1.19" 18 "Simu1" 0.35 0 0.0622256736885246 0.156443608077758 0 0.0829836079334547 2.04440126449496 0.920274609682491 0.946951 0.91957095 0.9794299 2.116405 2.08280975 2.15412 0.365338 0.333522525 0.400449025 "Sul" 18 "Srxn1"
"Srxn1_1.20" 19 "Simu1" 0.35 0 0.0370196703176637 0.0890503408411044 0 0.0463841394914533 2.01086630301909 0.871734318189904 0.955027 0.926339025 0.988903375 2.111855 2.0770395 2.1513015 0.38275 0.34938825 0.419469 "Sul" 19 "Srxn1"
"Srxn1_1.21" 20 "Simu1" 0.35 0 0.0482359037071851 0.101536691116766 0 0.0509574792932745 2.1316434370085 0.99416064213754 0.963041 0.932932475 0.99822405 2.10129 2.06646975 2.1411 0.3998465 0.364985375 0.438127475 "Sul" 20 "Srxn1"
"Srxn1_1.22" 21 "Simu1" 0.35 0 0.0349359215808209 0.0958677128180573 0 0.052957468969319 2.15200839244815 0.97681949281412 0.970916 0.939576675 1.007521 2.09083 2.05589875 2.13106025 0.416665 0.380334625 0.456414925 "Sul" 21 "Srxn1"
"Srxn1_1.23" 22 "Simu1" 0.35 0 0.0428837936671717 0.0807379314019582 0 0.0406032815282886 2.09240685595135 0.915002058935264 0.9786865 0.94599265 1.01648025 2.080665 2.04526975 2.12148 0.43322 0.3954966 0.474479075 "Sul" 22 "Srxn1"
"Srxn1_1.24" 23 "Simu1" 0.35 0 0.0311779839799055 0.0835527200767771 0 0.0456315787946039 2.05241461048674 0.943283854821046 0.9863155 0.952253475 1.02546 2.07051 2.0347895 2.11179425 0.449516 0.410385 0.492346525 "Sul" 23 "Srxn1"
"Srxn1_1.25" 24 "Simu1" 0.35 0 0.0259658876370116 0.0710513786955994 0 0.0391949490353684 2.08970619851194 0.979794435911327 0.9938215 0.958439775 1.03408325 2.06061 2.02454925 2.10238 0.4655265 0.425019 0.509778 "Sul" 24 "Srxn1"
"Srxn1_1.26" 25 "Simu1" 0.35 0 0.0668571578384379 0.130936399959556 0 0.0655123867706835 1.34403371711527 0.292654973476075 1.00112 0.964546625 1.0428705 2.050925 2.01447975 2.09349025 0.481328 0.439418 0.526982375 "Sul" 25 "Srxn1"
"Srxn1_1.27" 26 "Simu1" 0.35 0 0.023252441578684 0.0697573247360521 0 0.0402744102143078 1.10030311120315 0.332509258509353 1.00832 0.9703864 1.05130025 2.041385 2.0046095 2.08455 0.4968655 0.453588 0.543859425 "Sul" 26 "Srxn1"
"Srxn1_1.28" 27 "Simu1" 0.35 0 0.0239563389701804 0.0718690169105412 0 0.0414935962596947 1.10622237414722 0.270759782635153 1.01545 0.976173975 1.0597605 2.032125 1.99462875 2.07614175 0.51216 0.467532 0.5605771 "Sul" 27 "Srxn1"
"Srxn1_1.29" 28 "Simu1" 0.35 0 0.0325228216713132 0.0975684650139396 0 0.0563311795402166 1.12500847331797 0.262335791822928 1.022455 0.982030775 1.06809075 2.022955 1.98473975 2.06767025 0.527201 0.481272525 0.5769899 "Sul" 28 "Srxn1"
"Srxn1_1.30" 29 "Simu1" 0.35 0 0.0340858858282026 0.102257657484608 0 0.0590384860754389 1.08228318547351 0.212838087964385 1.02939 0.98773485 1.07638125 2.013845 1.97490925 2.05972 0.541994 0.49484085 0.5930804 "Sul" 29 "Srxn1"
"Srxn1_1.31" 30 "Simu1" 0.35 0 0.0312771225414945 0.0938313676244834 0 0.0541735653564262 1.13557925239167 0.214396958642152 1.03615 0.993255575 1.084621 2.00497 1.96529825 2.0518115 0.5565685 0.508148 0.609016275 "Sul" 30 "Srxn1"
"Srxn1_1.32" 31 "Simu1" 0.35 0 0.0301427964797389 0.0904283894392166 0 0.052208854985116 1.14922729588555 0.223741534477682 1.042825 0.9987254 1.092541 1.99623 1.95584975 2.04366525 0.57085 0.521248825 0.6247001 "Sul" 31 "Srxn1"
"Srxn1_1.33" 32 "Simu1" 0.35 0 0.0257302312486024 0.0771906937458072 0 0.0445660678130758 1.14227611589774 0.299522573571886 1.04941 1.00401875 1.10045075 1.98765 1.94655 2.03597075 0.5849735 0.534128 0.640132925 "Sul" 32 "Srxn1"
"Srxn1_1.34" 33 "Simu1" 0.35 0 0.0216046754815039 0.0648140264445117 0 0.0374203956150024 1.11120687336526 0.300381001518483 1.05586 1.009349 1.10827025 1.979225 1.93738675 2.028391 0.598795 0.546854 0.655356 "Sul" 33 "Srxn1"
"Srxn1_1.35" 34 "Simu1" 0.35 0 0.028697647120479 0.086092941361437 0 0.0497057828703523 1.09225241269464 0.266204642192586 1.06216 1.014559 1.11580125 1.97094 1.92793975 2.02090025 0.612439 0.559484325 0.670169175 "Sul" 34 "Srxn1"
