"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 "Simu1" 0.35 0.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Sul" 0 "Srxn1"
"Srxn1_1.2" 1 "Simu1" 0.35 0.35 0.0245921903157594 0.0444541803865521 0 0.0226014299155638 0.0412289580456226 0.071410650078144 0.0231784 0.0211374 0.0254426075 0.0231784 0.0211374 0.0254426075 0.0231784 0.0211374 0.0254426075 "Sul" 1 "Srxn1"
"Srxn1_1.3" 2 "Simu1" 0.35 0.35 0.183622422884868 0.322058224517883 0 0.165715865414334 0.0153076467134585 0.0265136218520248 0.0518493 0.0478065975 0.056291625 0.05685955 0.0525414825 0.061808265 0.04598505 0.0419356 0.050473005 "Sul" 2 "Srxn1"
"Srxn1_1.4" 3 "Simu1" 0.35 0.35 0.215386904542838 0.402073379678231 0 0.202567363234055 0.0158711460101195 0.0274896312638711 0.139732 0.133834725 0.14620805 0.194036 0.188022875 0.2007741 0.0684322 0.0624014 0.07509911 "Sul" 3 "Srxn1"
"Srxn1_1.5" 4 "Simu1" 0.35 0.35 0.221037174383317 0.426682889019605 0 0.21375744366077 0.0874919790506658 0.116473961005034 0.260959 0.25334495 0.26948605 0.4019895 0.394341975 0.410732 0.09051015 0.0825442 0.099339105 "Sul" 4 "Srxn1"
"Srxn1_1.6" 5 "Simu1" 0.35 0.35 0.209921818299376 0.404574476260362 0 0.202718985675778 0.546495414726368 0.385399709428449 0.403994 0.3946886 0.414637025 0.658958 0.649519975 0.6697033 0.112236 0.102367 0.12318405 "Sul" 5 "Srxn1"
"Srxn1_1.7" 6 "Simu1" 0.35 0.35 0.185784709255909 0.398709335300646 0 0.200735434904875 1.12742904411563 0.604970874214477 0.555751 0.5447247 0.5683782 0.932662 0.92135495 0.945512175 0.1336195 0.121874 0.146646 "Sul" 6 "Srxn1"
"Srxn1_1.8" 7 "Simu1" 0.35 0.35 0.175374268604088 0.363060655347948 0 0.181843204589108 1.59317387508504 0.760701279522779 0.7027465 0.6900089 0.71735305 1.22629 1.21298975 1.24135 0.1546535 0.1410919 0.169711075 "Sul" 7 "Srxn1"
"Srxn1_1.9" 8 "Simu1" 0.35 0.35 0.17694217948238 0.377389571447625 0 0.18978960303387 1.90651394669063 0.827068234921817 0.850158 0.835732075 0.866743125 1.51156 1.4964295 1.52873 0.1753695 0.160017 0.192399125 "Sul" 8 "Srxn1"
"Srxn1_1.10" 9 "Simu1" 0.35 0.35 0.163579905539379 0.36788596479809 0 0.18729384792735 2.12604661589525 0.939179118640608 1.006035 0.989899875 1.0245305 1.82297 1.80595875 1.84241 0.1957615 0.1786514 0.214724025 "Sul" 9 "Srxn1"
"Srxn1_1.11" 10 "Simu1" 0.35 0.35 0.180429239810551 0.418195591114547 0 0.214912880890654 2.15175304009021 0.977521801125147 1.15607 1.13819975 1.17643025 2.13865 2.11977925 2.16026 0.215817 0.196940825 0.236679925 "Sul" 10 "Srxn1"
"Srxn1_1.12" 11 "Simu1" 0.35 0.35 0.174166025996603 0.421393316700628 0 0.219992143360791 2.22656935127424 1.058137652647 1.3247 1.30517 1.34697025 2.5094 2.48860975 2.53344025 0.235558 0.21495675 0.25827795 "Sul" 11 "Srxn1"
"Srxn1_1.13" 12 "Simu1" 0.35 0.35 0.175386561508339 0.416336517483434 0 0.215772896741136 2.17647354802296 1.05949462510961 1.49092 1.46974975 1.51508 2.891225 2.8684495 2.91745075 0.254982 0.232686925 0.279551475 "Sul" 12 "Srxn1"
"Srxn1_1.14" 13 "Simu1" 0.35 0.35 0.15563166268824 0.377986913416732 0 0.197629842329798 2.13272116152023 1.09375856068272 1.66031 1.6376095 1.6863 3.27427 3.2495995 3.30267175 0.274095 0.25016795 0.300479375 "Sul" 13 "Srxn1"
"Srxn1_1.15" 14 "Simu1" 0.35 0.35 0.14595087862172 0.359338639531411 0 0.188922905664222 2.05858383242257 1.00475307180027 1.80941 1.78538 1.83682025 3.62342 3.597179 3.65386025 0.292892 0.267336675 0.321079125 "Sul" 14 "Srxn1"
"Srxn1_1.16" 15 "Simu1" 0.35 0.35 0.136191897738998 0.313316976437166 0 0.160619195330163 2.10054156920367 1.00904619316283 1.930405 1.90598975 1.9589305 3.95566 3.92777975 3.98799025 0.3114 0.284231675 0.34136455 "Sul" 15 "Srxn1"
"Srxn1_1.17" 16 "Simu1" 0.35 0.35 0.11612613520942 0.299323933494747 0 0.160538656657884 2.1010308438063 0.990613383671585 1.98249 1.95245975 2.0155405 4.241105 4.21181875 4.27519 0.329593 0.300848925 0.3613265 "Sul" 16 "Srxn1"
"Srxn1_1.18" 17 "Simu1" 0.35 0.35 0.120813311674303 0.275203171791292 0 0.140640445445078 2.15847937522297 1.06220225721097 1.9784 1.94754925 2.01290025 4.51146 4.4808 4.5469305 0.347551 0.317201175 0.380921 "Sul" 17 "Srxn1"
"Srxn1_1.19" 18 "Simu1" 0.35 0.35 0.127048912643534 0.296903185554855 0 0.153010128909482 2.11267132824076 0.988371993104419 1.971625 1.94053925 2.00678 4.74883 4.71749925 4.78500025 0.365183 0.333291975 0.400220075 "Sul" 18 "Srxn1"
"Srxn1_1.20" 19 "Simu1" 0.35 0.35 0.120253460065096 0.276882096191176 0 0.141979888973424 2.1343627773568 0.984560394258438 1.964 1.9324395 1.9996 5.000545 4.9686295 5.03673025 0.382553 0.34916965 0.419218 "Sul" 19 "Srxn1"
"Srxn1_1.21" 20 "Simu1" 0.35 0.35 0.117633361681226 0.281645636129995 0 0.146438788406255 2.21108006452195 1.05953038844209 1.955905 1.923979 1.9919235 5.15214 5.11163975 5.192151 0.399632 0.36484765 0.43791 "Sul" 20 "Srxn1"
"Srxn1_1.22" 21 "Simu1" 0.35 0.35 0.0887496621704618 0.207260079376627 0 0.106786993735299 2.19001024123447 0.964790084425394 1.94774 1.9152395 1.98450325 5.214755 5.155685 5.27147025 0.4164175 0.38022875 0.4562913 "Sul" 21 "Srxn1"
"Srxn1_1.23" 22 "Simu1" 0.35 0.35 0.0896982093185535 0.190828923149183 0 0.0959267746624123 2.16970656781358 1.01539528323906 1.939875 1.90683 1.97757175 5.15635 5.09929975 5.21195075 0.432971 0.39534855 0.4744 "Sul" 22 "Srxn1"
