"iter"	"ks_Srxn1"	"kd_Srxn1"	"Ka_Srxn1"	"hill_Srxn1"	"Vmax_Srxn1"	"Km_Srxn1"	"hillact_Srxn1"	"r_Sul"	"decay_Sul"	"LnPrior"	"LnData"	"LnPosterior"
4995001	0.0218035	0.0154583	0.0140089	1.00375	130576	107302	9.80349	12.2766	0.150273	-24.40204	-12893.46	-12917.87
4995002	0.0218035	0.0154604	0.0140089	1.00407	130576	107302	9.80349	11.2579	0.150273	-24.59559	-12889.22	-12913.81
4995003	0.0218035	0.0153626	0.0140089	1.00407	130522	107308	9.85976	9.9338	0.150273	-24.07254	-12888.9	-12912.97
4995004	0.0218035	0.0153626	0.0140089	1.00407	130553	107308	9.85976	9.18841	0.149745	-23.70394	-12889.93	-12913.63
4995005	0.0218035	0.0153626	0.0140089	1.00407	130553	107269	9.85976	9.18841	0.149745	-20.37709	-12889.85	-12910.23
4995006	0.0218035	0.0154732	0.0140089	1.00407	130553	107269	9.85482	7.70261	0.149745	-19.40321	-12890.37	-12909.77
4995007	0.0228211	0.0154732	0.0140089	1.00407	130553	107212	9.88727	9.22279	0.149745	-16.64986	-12887.78	-12904.43
4995008	0.0228211	0.0155215	0.0140089	1.00407	130553	107212	9.71666	9.22279	0.149745	-16.53074	-12889.64	-12906.17
4995009	0.0228211	0.0155821	0.0140587	1.00379	130553	107287	9.87005	11.6196	0.149745	-19.54612	-12888.74	-12908.28
4995010	0.0228211	0.0155821	0.0140587	1.00379	130339	107287	9.87005	12.9577	0.149745	-22.64273	-12885.21	-12907.85
4995011	0.0228211	0.0155821	0.0140587	1.00379	130496	107342	9.87005	10.1843	0.149745	-19.90291	-12888.57	-12908.47
4995012	0.0228211	0.0156233	0.0140587	1.00379	130496	107342	9.9728	10.8767	0.149745	-20.40542	-12888.03	-12908.43
4995013	0.0243415	0.0156974	0.0140587	1.00359	130411	107342	9.9728	11.1811	0.149452	-21.88618	-12886.68	-12908.57
4995014	0.0224986	0.0156974	0.0140587	1.00351	130413	107342	9.9728	11.1489	0.150068	-21.53066	-12888.27	-12909.8
4995015	0.0241091	0.0156974	0.0140587	1.00351	130495	107342	9.85998	11.1489	0.150068	-20.2326	-12890.47	-12910.7
4995016	0.0241091	0.0158395	0.0140587	1.00345	130495	107342	9.85998	10.8841	0.149126	-19.86407	-12887.58	-12907.44
4995017	0.023624	0.0158265	0.0140587	1.00345	130389	107342	9.94564	10.4108	0.149126	-20.67541	-12885.17	-12905.84
4995018	0.023624	0.0158265	0.0140748	1.00345	130588	107342	9.92864	9.48687	0.149126	-19.18622	-12887.6	-12906.79
4995019	0.023624	0.0159125	0.0140748	1.00343	130588	107379	9.89612	9.23777	0.149126	-20.01974	-12886.78	-12906.8
4995020	0.023624	0.0159125	0.0140748	1.00343	130588	107379	9.89612	6.85094	0.149126	-18.29206	-12891.89	-12910.18
4995021	0.023624	0.0159029	0.0140748	1.00343	130588	107379	9.89612	7.63242	0.14913	-18.9754	-12889.98	-12908.96
4995022	0.023624	0.0159029	0.0140748	1.00343	130588	107379	9.89612	7.63242	0.14913	-18.9797	-12888.94	-12907.92
4995023	0.023624	0.0159051	0.0140748	1.00343	130570	107379	9.7241	7.63242	0.149374	-18.18967	-12889.18	-12907.37
4995024	0.023624	0.01592	0.0139897	1.00343	130317	107379	9.7241	7.63242	0.149374	-19.84047	-12888.33	-12908.17
4995025	0.023624	0.0159322	0.0139897	1.00344	130322	107379	9.7241	7.63242	0.149374	-19.77109	-12888.93	-12908.7
4995026	0.023624	0.0158398	0.0139897	1.00344	130322	107163	9.70791	7.63242	0.149374	-14.9091	-12892.14	-12907.05
4995027	0.023624	0.0159866	0.0139897	1.00344	130372	107163	9.70791	7.83279	0.149374	-14.33617	-12889.65	-12903.98
4995028	0.0236681	0.0159866	0.0139897	1.00344	130376	107169	9.70791	7.83279	0.149374	-14.09975	-12889.66	-12903.76
4995029	0.0234053	0.0159866	0.0139897	1.00344	130452	107169	9.66545	8.09463	0.149374	-13.44313	-12890.8	-12904.24
4995030	0.0234053	0.0159866	0.0139897	1.00344	130452	107169	9.85808	9.32327	0.149374	-14.15332	-12887.39	-12901.54
4995031	0.0243507	0.0159731	0.0139897	1.00366	130452	107218	9.90198	9.32327	0.149374	-15.72099	-12886.68	-12902.4
4995032	0.0243507	0.0158841	0.0141267	1.00352	130475	107146	9.90198	9.32327	0.149374	-13.98603	-12889.17	-12903.15
4995033	0.0243507	0.0158841	0.0141267	1.00357	130366	107063	9.90198	9.32327	0.149374	-14.81379	-12889.41	-12904.23
4995034	0.0243507	0.0160118	0.0141524	1.00343	130466	107063	9.91748	11.6365	0.148335	-15.49968	-12891.41	-12906.91
4995035	0.0243507	0.0161041	0.014239	1.00324	130466	107076	9.91748	11.2085	0.148335	-16.86378	-12892.32	-12909.19
4995036	0.023007	0.0160764	0.014239	1.00324	130466	107076	9.75546	8.58578	0.148335	-14.72251	-12890.99	-12905.72
4995037	0.0239299	0.0162437	0.0141862	1.00324	130466	107205	9.45141	10.1144	0.148335	-16.57092	-12893.16	-12909.73
4995038	0.0239299	0.0161903	0.0141862	1.00324	130466	107205	9.49011	10.1144	0.148335	-14.50759	-12892.49	-12907
4995039	0.0239299	0.0161465	0.0141862	1.00316	130495	107211	9.34736	10.1144	0.148335	-14.21743	-12895.73	-12909.95
4995040	0.0242325	0.0162203	0.0141862	1.00316	130495	107211	9.34736	6.64582	0.148335	-11.2862	-12899.5	-12910.79
4995041	0.0242325	0.0162203	0.0141862	1.00326	130495	107068	9.65678	6.64582	0.148335	-10.24881	-12904.04	-12914.29
4995042	0.0242325	0.016373	0.0141862	1.00326	130495	107037	9.79996	7.20117	0.148335	-10.69613	-12901.12	-12911.81
4995043	0.0242325	0.016373	0.0141862	1.00322	130410	107037	9.88535	7.20117	0.148335	-11.26034	-12898.06	-12909.32
4995044	0.0242325	0.016373	0.0141862	1.00319	130410	106978	9.88535	7.20117	0.148335	-11.32324	-12897.26	-12908.58
