"medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Simulation" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 0 0 0 0 0 0 0 0 "Sim1" "Sulf" 0 "Srxn1"
"Srxn1_1.2" 0.02318315 0.021147395 0.025441205 0.02318315 0.021147395 0.025441205 0.02318315 0.021147395 0.025441205 "Sim1" "Sulf" 1 "Srxn1"
"Srxn1_1.3" 0.0518574 0.0478256525 0.05625381 0.0568631 0.05255155 0.0618898325 0.04599495 0.04196027 0.050473 "Sim1" "Sulf" 2 "Srxn1"
"Srxn1_1.4" 0.1397425 0.133858975 0.14616 0.194043 0.188031975 0.20081025 0.068442 0.0624569475 0.0750939 "Sim1" "Sulf" 3 "Srxn1"
"Srxn1_1.5" 0.26097 0.253353 0.26940405 0.4020025 0.394319 0.41073205 0.0905382 0.0826158725 0.0993111575 "Sim1" "Sulf" 4 "Srxn1"
"Srxn1_1.6" 0.404041 0.394717675 0.414532 0.658982 0.649467925 0.66966725 0.112283 0.102453825 0.123136 "Sim1" "Sulf" 5 "Srxn1"
"Srxn1_1.7" 0.555778 0.544768875 0.568297375 0.9326625 0.921220975 0.94538505 0.133672 0.121972 0.14657805 "Sim1" "Sulf" 6 "Srxn1"
"Srxn1_1.8" 0.7027775 0.690013875 0.717295125 1.22633 1.2129 1.24119 0.154727 0.141178 0.169634125 "Sim1" "Sulf" 7 "Srxn1"
"Srxn1_1.9" 0.850197 0.835674975 0.8666771 1.51158 1.49623 1.52851025 0.17544 0.160081 0.19232105 "Sim1" "Sulf" 8 "Srxn1"
"Srxn1_1.10" 1.00607 0.9898778 1.0245 1.82303 1.80576925 1.84220025 0.195808 0.178672975 0.214631075 "Sim1" "Sulf" 9 "Srxn1"
"Srxn1_1.11" 1.15611 1.13819 1.17643 2.13871 2.11956 2.16006 0.2158575 0.197001 0.23658025 "Sim1" "Sulf" 10 "Srxn1"
"Srxn1_1.12" 1.32475 1.30513975 1.3469505 2.50952 2.48835 2.53306025 0.235594 0.2150349 0.25819365 "Sim1" "Sulf" 11 "Srxn1"
"Srxn1_1.13" 1.49099 1.46972975 1.51508 2.89135 2.86826 2.91709 0.255024 0.2327908 0.279465275 "Sim1" "Sulf" 12 "Srxn1"
"Srxn1_1.14" 1.6604 1.6375695 1.68623 3.27439 3.24932975 3.30226025 0.27414 0.25024395 0.300365825 "Sim1" "Sulf" 13 "Srxn1"
"Srxn1_1.15" 1.809495 1.78540975 1.8368 3.62358 3.59685925 3.65361 0.292964 0.267446 0.3209483 "Sim1" "Sulf" 14 "Srxn1"
"Srxn1_1.16" 1.930635 1.90597975 1.9585705 3.95581 3.92748 3.98784025 0.3114665 0.284393775 0.341188 "Sim1" "Sulf" 15 "Srxn1"
"Srxn1_1.17" 1.98256 1.95231975 2.01503075 4.241315 4.21143 4.27498025 0.32967 0.301041 0.361079 "Sim1" "Sulf" 16 "Srxn1"
"Srxn1_1.18" 1.97844 1.94731975 2.01239 4.51158 4.48052925 4.5465805 0.347596 0.317421 0.380673 "Sim1" "Sulf" 17 "Srxn1"
"Srxn1_1.19" 1.971715 1.940268 2.00632025 4.748985 4.71713975 4.784621 0.365245 0.333549775 0.399968525 "Sim1" "Sulf" 18 "Srxn1"
"Srxn1_1.20" 1.964075 1.93208 1.99914075 5.00073 4.96840975 5.03651 0.3826145 0.349411825 0.418934025 "Sim1" "Sulf" 19 "Srxn1"
"Srxn1_1.21" 1.95598 1.92366975 1.99168025 5.15229 5.11145825 5.19172075 0.399727 0.365017825 0.437649 "Sim1" "Sulf" 20 "Srxn1"
"Srxn1_1.22" 1.94788 1.91512 1.98433025 5.21478 5.15517975 5.2720405 0.4165315 0.380383 0.456092 "Sim1" "Sulf" 21 "Srxn1"
"Srxn1_1.23" 1.93998 1.90669975 1.97756025 5.15645 5.0989595 5.21209025 0.433087 0.395515 0.4742272 "Sim1" "Sulf" 22 "Srxn1"
"Srxn1_1.24" 1.93213 1.89823 1.97074075 5.097565 5.04228925 5.15126075 0.4493965 0.410445 0.49204445 "Sim1" "Sulf" 23 "Srxn1"
"Srxn1_1.25" 1.92448 1.8900895 1.9641 5.03955 4.98660925 5.09145 0.465424 0.425145725 0.5095465 "Sim1" "Sulf" 24 "Srxn1"
"Srxn1_1.26" 1.91705 1.88179 1.9576205 4.98242 4.9313995 5.03339025 0.481145 0.439596 0.526755625 "Sim1" "Sulf" 25 "Srxn1"
"Srxn1_1.27" 1.909645 1.87384925 1.95117025 4.94173 4.88858 4.99601 0.496643 0.4538289 0.543736075 "Sim1" "Sulf" 26 "Srxn1"
"Srxn1_1.28" 1.90236 1.86575975 1.94466 4.886105 4.8343195 4.9394205 0.5118745 0.467820675 0.5603 "Sim1" "Sulf" 27 "Srxn1"
"Srxn1_1.29" 1.8952 1.85763 1.93885 4.831285 4.78104875 4.88387075 0.5268605 0.481517175 0.57662525 "Sim1" "Sulf" 28 "Srxn1"
"Srxn1_1.30" 1.888225 1.84973 1.9328405 4.77726 4.7284495 4.829141 0.541667 0.49505485 0.592725 "Sim1" "Sulf" 29 "Srxn1"
"Srxn1_1.31" 1.88133 1.8418495 1.92686 4.72416 4.67656975 4.7755305 0.556251 0.508488325 0.608591075 "Sim1" "Sulf" 30 "Srxn1"
"Srxn1_1.32" 1.874605 1.8340695 1.92098025 4.671925 4.62522 4.72299025 0.570573 0.52161435 0.62423205 "Sim1" "Sulf" 31 "Srxn1"
"Srxn1_1.33" 1.867945 1.82625925 1.91525 4.620565 4.5741995 4.67112 0.584668 0.534509975 0.639656 "Sim1" "Sulf" 32 "Srxn1"
"Srxn1_1.34" 1.8614 1.818709 1.90962125 4.569995 4.52418975 4.620112 0.59851 0.547185 0.654908 "Sim1" "Sulf" 33 "Srxn1"
"Srxn1_1.35" 1.854965 1.81098975 1.90430025 4.52031 4.474709 4.5700105 0.612169 0.559682975 0.669922 "Sim1" "Sulf" 34 "Srxn1"
"Srxn1_1.36" 1.8486 1.80353 1.89888025 4.47145 4.4257695 4.52096075 0.625572 0.571966 0.684645 "Sim1" "Sulf" 35 "Srxn1"
"Srxn1_1.37" 1.84235 1.79624 1.8937305 4.423285 4.37772 4.4729005 0.638829 0.584062 0.69895725 "Sim1" "Sulf" 36 "Srxn1"
