"time" "Srxn1_max" "NRF2_max" "time2" "Srxn1_mean" "NRF2_mean" "time3" "Srxn1_min" "NRF2_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"Conti_0.1_0.11" 0 0 0 0 0 0 0 0 0 0.1 0.1 "simulation1" 0 0
"Conti_0.1_0.12" 1 0.064378372129991 0.140255659528795 1 0.0494311904204544 0.0467518865095985 1 0.045411018709921 0 0.1 0.1 "simulation1" 0.057125329297907 0.0799737453978686
"Conti_0.1_0.13" 2 0.139836663839024 0.0840412886843023 2 0.100846695252445 0.0280137628947674 2 0.0903589836370584 0 0.1 0.1 "simulation1" 0.0549096213179702 0.0784140422352227
"Conti_0.1_0.14" 3 0.205243343804626 0.104464975120466 3 0.14973702478526 0.0348216583734888 3 0.134850357476693 0 0.1 0.1 "simulation1" 0.0503744628452999 0.0730117670229702
"Conti_0.1_0.15" 4 0.277643198794006 0.121973533890252 4 0.200280376746845 0.0445639460616565 4 0.178887520198577 0 0.1 0.1 "simulation1" 0.0700634077245035 0.0965505429152337
"Conti_0.1_0.16" 5 0.356438516163608 0.13981715279174 5 0.251977599113782 0.0475616863256604 5 0.222476395178421 0 0.1 0.1 "simulation1" 0.0852120005409782 0.10201920250912
"Conti_0.1_0.17" 6 0.434133203411665 0.12152835705863 6 0.302522338497064 0.0405094523528767 6 0.265621361634966 0 0.1 0.1 "simulation1" 0.144703059701494 0.137379322957175
"Conti_0.1_0.18" 7 0.505216083070332 0.116402373637508 7 0.351218647674739 0.0388007912125026 7 0.308326944402776 0 0.1 0.1 "simulation1" 0.208344461257336 0.165308474872248
"Conti_0.1_0.19" 8 0.585404393339104 0.165223507522869 8 0.401370550270382 0.0550745025076229 8 0.350597617019674 0 0.1 0.1 "simulation1" 0.266145407913785 0.188414647994321
"Conti_0.1_0.110" 9 0.671285521808874 0.143924365645379 9 0.454477515940054 0.0611906776656453 9 0.392437806416672 0 0.1 0.1 "simulation1" 0.492676142576145 0.469793439906983
"Conti_0.1_0.111" 10 0.743951359433165 0.113107887650675 10 0.504329921361237 0.0377026292168918 10 0.43385189694726 0 0.1 0.1 "simulation1" 0.420227069068308 0.408203119424691
"Conti_0.1_0.112" 11 0.814369604373439 0.133324529153203 11 0.551378990874365 0.0444415097177343 11 0.474844228293012 0 0.1 0.1 "simulation1" 0.422682011761808 0.44290682894227
"Conti_0.1_0.113" 12 0.884288668088541 0.112212180473733 12 0.598126335265346 0.0374040601579112 12 0.515419095635991 0 0.1 0.1 "simulation1" 0.408454171467982 0.416573559588833
"Conti_0.1_0.114" 13 0.949898116735483 0.116933676098808 13 0.643632338529362 0.0389778920329359 13 0.555580750389081 0 0.1 0.1 "simulation1" 0.439369835627194 0.436281120820133
"Conti_0.1_0.115" 14 1.01566473223422 0.116214094242151 14 0.68885260863613 0.0387380314140504 14 0.595333400704893 0 0.1 0.1 "simulation1" 0.45654673405584 0.429206277627319
"Conti_0.1_0.116" 15 1.08475159015263 0.135006013207147 15 0.734468750193344 0.0450020044023822 15 0.634681211872611 0 0.1 0.1 "simulation1" 0.450474927138954 0.407814946308965
"Conti_0.1_0.117" 16 1.15174739693653 0.109365957733826 16 0.77931434111152 0.0364553192446088 16 0.673628306751221 0 0.1 0.1 "simulation1" 0.412250881099715 0.376220762501185
"Conti_0.1_0.118" 17 1.21299478489549 0.110267624148978 17 0.822631488529975 0.0367558747163261 17 0.712178766216409 0 0.1 0.1 "simulation1" 0.412517250248071 0.335255710189173
"Conti_0.1_0.119" 18 1.27194184644788 0.09965709652216 18 0.865156773783607 0.0332190321740533 18 0.75033662958488 0 0.1 0.1 "simulation1" 0.470686812523232 0.31656605854171
"Conti_0.1_0.120" 19 1.33103911266705 0.113964433338325 19 0.907398775143503 0.0379881444461084 19 0.78810589503713 0 0.1 0.1 "simulation1" 0.471952640720143 0.326368412100945
"Conti_0.1_0.121" 20 1.3917689755018 0.110557780248428 20 0.94968771205813 0.0368525934161426 20 0.825490520036371 0 0.1 0.1 "simulation1" 0.44603355415445 0.300392804747085
"Conti_0.1_0.122" 21 1.4510902905722 0.111660008969264 21 0.99137885133038 0.0372200029897548 21 0.862494421743191 0 0.1 0.1 "simulation1" 0.41324659271621 0.258548271963512
"Conti_0.1_0.123" 22 1.51169409748706 0.119810675122273 22 1.03304250117676 0.0399368917074244 22 0.899121477425998 0 0.1 0.1 "simulation1" 0.419891514332086 0.295590254235072
"Conti_0.1_0.124" 23 1.57301931208851 0.11859604540398 23 1.07456981068564 0.0395320151346599 23 0.935375524867271 0 0.1 0.1 "simulation1" 0.443482013048592 0.318625679718674
"Conti_0.1_0.125" 24 1.6340517915416 0.120558520870581 24 1.11574297317733 0.040186173623527 24 0.971260362765705 0 0.1 0.1 "simulation1" 0.428921721627147 0.289520950486815
"Conti_0.1_0.126" 25 1.69065690553372 0.099657844360729 25 1.15568631202725 0.0332192814535763 25 1.00677975113429 0 0.1 0.1 "simulation1" 0.396488215264983 0.267634976111507
"Conti_0.1_0.127" 26 1.74453641226395 0.10897294780305 26 1.19477095431068 0.0363243159343501 26 1.04193741169408 0 0.1 0.1 "simulation1" 0.314787160478213 0.244086201619895
"Conti_0.1_0.128" 27 1.79813974125487 0.0994898992602811 27 1.23351514589895 0.033163299753427 27 1.07673702826431 0 0.1 0.1 "simulation1" 0.241387155027867 0.11802733400089
"Conti_0.1_0.129" 28 1.84941252115592 0.100079259648602 28 1.27148718817017 0.0333597532162006 28 1.11118224714842 0 0.1 0.1 "simulation1" 0.300061838305534 0.23134211404953
"Conti_0.1_0.130" 29 1.90013847854215 0.0973705862964794 29 1.30906620945752 0.0324568620988265 29 1.14527667751608 0 0.1 0.1 "simulation1" 0.237936346787847 0.136913652141828
"Conti_0.1_0.131" 30 1.94662776150203 0.0810286144920405 30 1.34547712634895 0.0270095381640135 30 1.17902389178131 0 0.1 0.1 "simulation1" 0.189670763087937 0.117659502485944
"Conti_0.1_0.132" 31 1.99358392673013 0.101385588675765 31 1.38170999704456 0.0337951962252551 31 1.21242742597685 0 0.1 0.1 "simulation1" 0.228773476179088 0.16834682479345
"Conti_0.1_0.133" 32 2.04189126045277 0.0890908413789515 32 1.41797084471482 0.0296969471263172 32 1.24549078012464 0 0.1 0.1 "simulation1" 0.253327424691975 0.191183367185403
"Conti_0.32_0.321" 0 0 0 0 0 0 0 0 0 0.32 0.32 "simulation2" 0 0
"Conti_0.32_0.322" 1 0.117345397292068 0.369848408200736 1 0.06305415092791 0.13715230770434 1 0.045411018709921 0 0.32 0.32 "simulation2" 0 0
"Conti_0.32_0.323" 2 0.317268072864275 0.350733895378558 2 0.147119155566929 0.136008293931616 2 0.0903595717786328 0 0.32 0.32 "simulation2" 0 0
"Conti_0.32_0.324" 3 0.529903470642078 0.4406877556798 3 0.237748550846527 0.1833554418654 3 0.135153269038222 0.0143101442311029 0.32 0.32 "simulation2" 0 0
"Conti_0.32_0.325" 4 0.760556031541821 0.411342595625963 4 0.346400838945188 0.2150829515986 4 0.19194336182928 0.105881167500824 0.32 0.32 "simulation2" 0.00828953338419895 0.014357892992471
"Conti_0.32_0.326" 5 0.980330263295243 0.421093286369637 5 0.461283688205865 0.218243273884566 5 0.261790531897579 0.0983088305372479 0.32 0.32 "simulation2" 0.0726457410310782 0.0560832749113563
"Conti_0.32_0.327" 6 1.1966251832052 0.404965625140144 6 0.573173604787867 0.208258971258607 6 0.328545339378319 0.0999275620157221 0.32 0.32 "simulation2" 0.277987142850369 0.076990149046195
"Conti_0.32_0.328" 7 1.40354842645087 0.39921114024836 7 0.680193360493546 0.203105532220741 7 0.394386161384154 0.0951040706899597 0.32 0.32 "simulation2" 0.492508330817325 0.158777641792358
"Conti_0.32_0.329" 8 1.60097536613769 0.385111507240051 8 0.781579303919507 0.191900023355583 8 0.455182661313178 0.0774896602009954 0.32 0.32 "simulation2" 0.661294903885325 0.183736519941626
"Conti_0.32_0.3210" 9 1.81135094628321 0.435822121576751 9 0.889119002353729 0.227652546612993 9 0.516876905232608 0.1019884630219 0.32 0.32 "simulation2" 0.919340486601227 0.329346812986291
"Conti_0.32_0.3211" 10 2.00300874448134 0.334187472620461 10 0.992482098743154 0.178654058542941 10 0.579673304172807 0.0865994971140551 0.32 0.32 "simulation2" 0.930953442757749 0.351807102813421
"Conti_0.32_0.3212" 11 2.1628953872281 0.346133078217308 11 1.08246593230842 0.180604342376385 11 0.640170528692028 0.0954933364012968 0.32 0.32 "simulation2" 0.936998547848975 0.30036104808714
"Conti_0.32_0.3213" 12 2.32562709813151 0.343719348015768 12 1.17432416926684 0.187116639110011 12 0.70380297392905 0.105457601474639 0.32 0.32 "simulation2" 0.955659917982285 0.293517383741967
"Conti_0.32_0.3214" 13 2.49549999853165 0.379809691412895 13 1.26803294756175 0.193579479665018 13 0.767829119740063 0.0999190492088351 0.32 0.32 "simulation2" 0.940102701023423 0.236251198399335
"Conti_0.32_0.3215" 14 2.69618720112189 0.441903756760262 14 1.36673236625026 0.210280569964884 14 0.825795692271436 0.0752494223844495 0.32 0.32 "simulation2" 0.932367814422925 0.209189649091902
"Conti_0.32_0.3216" 15 2.90914440911579 0.423336430762411 15 1.46390706306482 0.191125379952402 15 0.876559265160384 0.0591426537049147 0.32 0.32 "simulation2" 0.810484446130564 0.0987991722985368
"Conti_0.32_0.3217" 16 3.10359852260361 0.396735203359176 16 1.55246041690765 0.179459555452019 16 0.922746027125443 0.0460047230643017 0.32 0.32 "simulation2" 0.969527291343628 0.190835314194444
"Conti_0.32_0.3218" 17 3.28075537731692 0.375632194259994 17 1.63475208268144 0.167216049837842 17 0.966141086075922 0.0424214327768241 0.32 0.32 "simulation2" 0.968525809529213 0.155676088331589
"Conti_0.32_0.3219" 18 3.45127888204092 0.380081368069238 18 1.71412318606939 0.170319821423448 18 1.0114123399096 0.0605052523645127 0.32 0.32 "simulation2" 1.00786285953118 0.139729326199286
"Conti_0.32_0.3220" 19 3.6238574777316 0.384109518423812 19 1.79591563515605 0.179781287155116 19 1.05635380768864 0.0448111959875197 0.32 0.32 "simulation2" 0.98882435816084 0.162208363059412
"Conti_0.32_0.3221" 20 3.78938345638295 0.363270623185544 20 1.87809476417396 0.175207057848047 20 1.10173510297403 0.0669361315555304 0.32 0.32 "simulation2" 0.954081634760399 0.159772930413838
"Conti_0.32_0.3222" 21 3.943453287428 0.353962853378121 21 1.95663035249862 0.167774539008609 21 1.14836804684086 0.0542540126546402 0.32 0.32 "simulation2" 0.820515479191409 0.160797935005803
"Conti_0.32_0.3223" 22 4.09514219324529 0.356829762267844 22 2.03068729373608 0.157585808907238 22 1.19027156050056 0.0402052985989494 0.32 0.32 "simulation2" 0.805556200506791 0.165059574576726
"Conti_0.32_0.3224" 23 4.2367763723456 0.327432014259932 23 2.09792168015627 0.140789949656145 23 1.2302536303934 0.0400147722135193 0.32 0.32 "simulation2" 0.786829561180437 0.182624478101048
