"time" "Srxn1_max" "NRF2_max" "time2" "Srxn1_mean" "NRF2_mean" "time3" "Srxn1_min" "NRF2_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"Conti_1_11" 0 0 0 0 0 0 0 0 0 1 1 "simulation1" 0 0
"Conti_1_12" 1 0.045411018709921 0 1 0.045411018709921 0 1 0.045411018709921 0 1 1 "simulation1" 0.00094521179855576 0.00163715485901213
"Conti_1_13" 2 0.0903589836370584 0 2 0.0903589836370584 0 2 0.0903589836370584 0 1 1 "simulation1" 0 0
"Conti_1_14" 3 0.134850357476693 0 3 0.134850357476693 0 3 0.134850357476693 0 1 1 "simulation1" 0 0
"Conti_1_15" 4 0.178887520198577 0 4 0.178887520198577 0 4 0.178887520198577 0 1 1 "simulation1" 0 0
"Conti_1_16" 5 0.222476395178421 0 5 0.222476395178421 0 5 0.222476395178421 0 1 1 "simulation1" 0.0187711948052851 0.0325126631215268
"Conti_1_17" 6 0.265621361634966 0 6 0.265621361634966 0 6 0.265621361634966 0 1 1 "simulation1" 0.123447968818721 0.086457450843005
"Conti_1_18" 7 0.308326944919149 0 7 0.308326944512214 0 7 0.308326944402776 0 1 1 "simulation1" 0.239949321100608 0.184452823216324
"Conti_1_19" 8 0.35059778040123 3.80777692506884e-05 8 0.350597651646119 1.26925897502295e-05 8 0.350597617019674 0 1 1 "simulation1" 0.28406179985972 0.180342681337585
"Conti_1_110" 9 0.392438212257305 0 9 0.392437892428941 0 9 0.392437806416672 0 1 1 "simulation1" 0.3595979862916 0.228215356773184
"Conti_1_111" 10 0.433852228209166 0 10 0.433851967153607 0 10 0.43385189694726 0 1 1 "simulation1" 0.413646697592654 0.303186333085455
"Conti_1_112" 11 0.474844571668934 0 11 0.4748443020594 0 11 0.474844228293012 0 1 1 "simulation1" 0.420663027192936 0.262974736545617
"Conti_1_113" 12 0.515419434264205 0 12 0.515419167391601 0 12 0.515419095635991 0 1 1 "simulation1" 0.44759002365878 0.299410859096708
"Conti_1_114" 13 0.555581084379442 0 13 0.555580820218887 0 13 0.555580750389081 0 1 1 "simulation1" 0.478164638774766 0.326848742732924
"Conti_1_115" 14 0.595333729525359 0 14 0.595333468054684 0 14 0.595333400704893 0 1 1 "simulation1" 0.524962596401084 0.373758039600529
"Conti_1_116" 15 0.634681534382922 0 15 0.634681275575053 0 15 0.634681211872611 0 1 1 "simulation1" 0.529898835249714 0.356840348188108
"Conti_1_117" 16 0.673628625472689 0 16 0.673628369300507 0 16 0.673628306751221 0 1 1 "simulation1" 0.520550032052438 0.32149513680343
"Conti_1_118" 17 0.71217908257653 0 17 0.712178829013194 0 17 0.712178766216409 0 1 1 "simulation1" 0.567268926839497 0.38683683116476
"Conti_1_119" 18 0.750336943019455 0 18 0.750336692038397 0 18 0.75033662958488 0 1 1 "simulation1" 0.595482726137408 0.435602042911206
"Conti_1_120" 19 0.788106205290226 0 19 0.788105956865147 0 19 0.78810589503713 0 1 1 "simulation1" 0.642968848127324 0.494781476355027
"Conti_1_121" 20 0.825490827138787 0 20 0.825490581243657 0 20 0.825490520036371 0 1 1 "simulation1" 0.678392794441832 0.551723784153597
"Conti_1_122" 21 0.862494725730907 0 21 0.862494482339962 0 21 0.862494421743191 0 1 1 "simulation1" 0.717739525435777 0.561659530850102
"Conti_1_123" 22 0.899121778315276 0 22 0.899121537403013 0 22 0.899121477425998 0 1 1 "simulation1" 0.725388700692793 0.579640812509282
"Conti_1_124" 23 0.935375822687619 0 23 0.935375584228795 0 23 0.935375524867271 0 1 1 "simulation1" 0.69778332989825 0.560905122635009
"Conti_1_125" 24 0.971260989879523 0 24 0.971260491953865 0 24 0.971260362765705 0 1 1 "simulation1" 0.675813963077061 0.561746896993409
"Conti_1_126" 25 1.00809126818358 0.0228378245073 25 1.00705615807973 0.0076126081691 25 1.00677975113429 0 1 1 "simulation1" 0.751362297207518 0.431954423830288
"Conti_1_127" 26 NA 0 26 NA 0 26 1.04193741169408 0 1 1 "simulation1" 0.660333266729488 0.438732927604925
"Conti_1_128" 27 NA 0.00510170254194442 27 NA 0.00170056751398147 27 1.07673702826431 0 1 1 "simulation1" 0.623550871872826 0.448736384208174
"Conti_1_129" 28 NA 0 28 NA 0 28 1.11118224714842 0 1 1 "simulation1" 0.60198148234524 0.438991180401749
"Conti_1_130" 29 NA 0.0102004163084657 29 NA 0.00340013876948856 29 1.14527667751608 0 1 1 "simulation1" 0.616153109232442 0.437839880018509
"Conti_1_131" 30 NA 0 30 NA 0 30 1.17902389178131 0 1 1 "simulation1" 0.550865731242487 0.447830295800651
"Conti_1_132" 31 NA 0.00176243712552782 31 NA 0.000587479041842605 31 1.21242742597685 0 1 1 "simulation1" 0.567130781844214 0.530352103617755
"Conti_1_133" 32 NA 0.0078198738459212 32 NA 0.00260662461530707 32 1.24549078012464 0 1 1 "simulation1" 0.501061673786617 0.437894359010715
"Conti_1_134" 33 NA 0 33 NA 0 33 1.27821741860256 0 1 1 "simulation1" 0.476200822294684 0.469252154911802
"Conti_1_135" 34 NA 0 34 NA 0 34 1.31061077050741 0 1 1 "simulation1" 0.439473030674637 0.429540057961441
"Conti_1_136" 35 NA 0.00150697225019214 35 NA 0.00050232408339738 35 1.34267423001425 0 1 1 "simulation1" 0.406823340376752 0.397377264496763
"Conti_1_137" 36 NA 0 36 NA 0 36 1.37441115673201 0 1 1 "simulation1" 0.373450732573842 0.384454405042192
"Conti_1_138" 37 NA 0 37 NA 0 37 1.40582487605551 0 1 1 "simulation1" 0.344718363536067 0.326303464710803
"Conti_1_139" 38 NA 0 38 NA 0 38 1.43691867951391 0 1 1 "simulation1" 0.334546049705238 0.336609329665746
"Conti_1_140" 39 NA 0 39 NA 0 39 1.46769582511559 0 1 1 "simulation1" 0.29611840143555 0.308198371367174
"Conti_1_141" 40 NA 0 40 NA 0 40 1.49815953768951 0 1 1 "simulation1" 0.194930258668829 0.132858536843761
"Conti_1_142" 41 NA 0 41 NA 0 41 1.52831300922315 0 1 1 "simulation1" 0.182052705217541 0.133403716974389
"Conti_1_143" 42 NA 0 42 NA 0 42 1.55815939919692 0 1 1 "simulation1" 0.166587777319722 0.138444735388461
"Conti_1_144" 43 NA 0 43 NA 0 43 1.58770183491521 0 1 1 "simulation1" 0.201561340464743 0.208114761980815
"Conti_1_145" 44 NA 0 44 NA 0 44 1.61694341183411 0 1 1 "simulation1" 0.167133517891135 0.188338293607279
"Conti_1_146" 45 NA 0 45 NA 0 45 1.64588719388573 0 1 1 "simulation1" 0.143708149645481 0.172776689878165
"Conti_1_147" 46 NA 0 46 NA 0 46 1.67453621379923 0 1 1 "simulation1" 0.150239798544679 0.164218076751418
"Conti_1_148" 47 NA 0 47 NA 0 47 1.70289347341858 0 1 1 "simulation1" 0.132923371361478 0.143659844928138
"Conti_1_149" 48 NA 0 48 NA 0 48 1.73096194401714 0 1 1 "simulation1" 0.129466895759473 0.142819095477552
"Conti_2.15_2.151" 0 0 0 0 0 0 0 0 0 2.15 2.15 "simulation2" 0 0
"Conti_2.15_2.152" 1 0.0454110730770967 0 1 0.0454110762584776 0 1 0.045411018709921 0 2.15 2.15 "simulation2" 0 0
"Conti_2.15_2.153" 2 0.0987812867163479 0.0910184065625271 2 0.092143922940153 0.0303394688541757 2 0.0903589836370584 0 2.15 2.15 "simulation2" 0 0
"Conti_2.15_2.154" 3 0.163208440283802 0.0775667488295955 3 0.140826936878173 0.0258555829431985 3 0.134850357476693 0 2.15 2.15 "simulation2" 0 0
"Conti_2.15_2.155" 4 0.227307907619912 0.104079117111167 4 0.189551499983776 0.0386968631226448 4 0.178887520198577 0 2.15 2.15 "simulation2" 0 0
"Conti_2.15_2.156" 5 0.307616511609203 0.160814651036208 5 0.24194371166561 0.0571654494122455 5 0.222476395178421 0 2.15 2.15 "simulation2" 0.0563780776781072 0.053315031680221
"Conti_2.15_2.157" 6 0.393150450166607 0.138613179244564 6 0.294456013445085 0.046652804661928 6 0.265621361634966 0 2.15 2.15 "simulation2" 0.198966109687877 0.141838684966668
"Conti_2.15_2.158" 7 0.482050062911345 0.185290458302389 7 0.348813683849801 0.0741322829473398 7 0.308326944402776 0 2.15 2.15 "simulation2" 0.350917394014159 0.23474215909151
"Conti_2.15_2.159" 8 0.586322328793501 0.206119504001407 8 0.406451371001897 0.0704866723106066 8 0.350597617019674 0 2.15 2.15 "simulation2" 0.4476289164308 0.267760332156928
"Conti_2.15_2.1510" 9 0.694117796673146 0.205685316828187 9 0.462382609431811 0.0688156168376248 9 0.392437806416672 0 2.15 2.15 "simulation2" 0.534305659193032 0.298181877573404
"Conti_2.15_2.1511" 10 0.794900787018187 0.183550655880796 10 0.516338577673068 0.0611835519602654 10 0.43385189694726 0 2.15 2.15 "simulation2" 0.592378800637641 0.327617481104218
"Conti_2.15_2.1512" 11 0.887688595636094 0.179478618686811 11 0.568168957286885 0.0598262062289369 11 0.474844228293012 0 2.15 2.15 "simulation2" 0.626113044887098 0.341536910899519
"Conti_2.15_2.1513" 12 0.988108764184216 0.214410502195435 12 0.621985130254924 0.0780056431463928 12 0.515419125785596 0 2.15 2.15 "simulation2" 0.792926088203663 0.332714962422197
"Conti_2.15_2.1514" 13 1.09505673729713 0.21469257176351 13 0.681548863902185 0.0954344987572486 13 0.555698366580628 0.00417454956574148 2.15 2.15 "simulation2" 0.80385279013265 0.296587563077962
"Conti_2.15_2.1515" 14 1.20143852348815 0.218669007251942 14 0.739250382551402 0.0733275864780422 14 0.595571025374425 0 2.15 2.15 "simulation2" 0.809660131601712 0.343163777414147
"Conti_2.15_2.1516" 15 1.31454461304328 0.242972762766724 15 0.795102092562026 0.0882652119226058 15 0.63502762641955 0.00404324380401366 2.15 2.15 "simulation2" 0.884744637961404 0.377044194788121
"Conti_2.15_2.1517" 16 1.42541360368961 0.215702880904842 16 0.850290467568695 0.0719639584465296 16 0.674087242169717 0 2.15 2.15 "simulation2" 0.907218978689124 0.43471191187199
"Conti_2.15_2.1518" 17 1.52768374314707 0.21246169001505 17 0.904211260458078 0.0837717859674049 17 0.712632129700597 0 2.15 2.15 "simulation2" 0.999583452269509 0.457142104348856
