"time" "Srxn1_max" "NRF2_max" "time2" "Srxn1_mean" "NRF2_mean" "time3" "Srxn1_min" "NRF2_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"Conti_0.35_0.351" 0 0 0 0 0 0 0 0 0 0.35 0.35 "simulation1" 0 0
"Conti_0.35_0.352" 1 0.0469624548400661 0.0444541803865521 1 0.0460602752413757 0.0245921903157594 1 0.045411018709921 0 0.35 0.35 "simulation1" 0.0412289580456226 0.071410650078144
"Conti_0.35_0.353" 2 0.152476810959357 0.322058224517883 2 0.118490962341519 0.183622422884868 2 0.0903589836370584 0 0.35 0.35 "simulation1" 0.0153076467134585 0.0265136218520248
"Conti_0.35_0.354" 3 0.352565076823129 0.402073379678231 3 0.230268303041225 0.215386904542838 3 0.134850357476693 0 0.35 0.35 "simulation1" 0.0158711460101195 0.0274896312638711
"Conti_0.35_0.355" 4 0.578348367204617 0.426682889019605 4 0.347481937786384 0.221037174383317 4 0.178887520198577 0 0.35 0.35 "simulation1" 0.0874919790506658 0.116473961005034
"Conti_0.35_0.356" 5 0.800513194922578 0.404574476260362 5 0.461938219329478 0.209921818299376 5 0.222476395178421 0 0.35 0.35 "simulation1" 0.546495414726368 0.385399709428449
"Conti_0.35_0.357" 6 1.0114882892299 0.398709335300646 6 0.566467414838437 0.185784709255909 6 0.265621361634966 0 0.35 0.35 "simulation1" 1.12742904411563 0.604970874214477
"Conti_0.35_0.358" 7 1.2073835425503 0.363060655347948 7 0.661742527126379 0.175374268604088 7 0.308326944402776 0 0.35 0.35 "simulation1" 1.59317387508504 0.760701279522779
"Conti_0.35_0.359" 8 1.39450366198141 0.377389571447625 8 0.754634075477831 0.17694217948238 8 0.350597617019674 0 0.35 0.35 "simulation1" 1.90651394669063 0.827068234921817
"Conti_0.35_0.3510" 9 1.58089336538462 0.36788596479809 9 0.843723195382628 0.163579905539379 9 0.392437806416672 0 0.35 0.35 "simulation1" 2.12604661589525 0.939179118640608
"Conti_0.35_0.3511" 10 1.77912046467109 0.418195591114547 10 0.932810307173524 0.180429239810551 10 0.43385189694726 0 0.35 0.35 "simulation1" 2.15175304009021 0.977521801125147
"Conti_0.35_0.3512" 11 1.99158423203226 0.421393316700628 11 1.02367706449832 0.174166025996603 11 0.474844228293012 0 0.35 0.35 "simulation1" 2.22656935127424 1.058137652647
"Conti_0.35_0.3513" 12 2.2015526040746 0.416336517483434 12 1.11247589765836 0.175386561508339 12 0.515419095635991 0 0.35 0.35 "simulation1" 2.17647354802296 1.05949462510961
"Conti_0.35_0.3514" 13 2.3959903775596 0.377986913416732 13 1.19636842712457 0.15563166268824 13 0.555580750389081 0 0.35 0.35 "simulation1" 2.13272116152023 1.09375856068272
