"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Vmax_buildSrxn1.1." "Km.1." "hill.1." "LnPrior" "LnData" "LnPosterior"
"1" 0 0.0261376 0.0090037 130301 107408 4.29903 -9.77215 -99893.22 -99903
"2" 490001 0.021031 0.0295898 131536 103304 1.02353 -17.19291 -1365.175 -1382.367
"3" 490002 0.021031 0.0295898 131536 103157 1.02353 -17.74912 -1364.65 -1382.399
"4" 490003 0.021031 0.0295951 131536 103157 1.02353 -17.74983 -1364.655 -1382.405
"5" 490004 0.021031 0.0295951 131415 103157 1.02301 -17.6335 -1367.141 -1384.774
"6" 490005 0.0210532 0.0295931 131399 103397 1.02301 -16.71814 -1366.112 -1382.83
"7" 490006 0.0210532 0.0297845 131399 103397 1.02301 -16.74434 -1365.874 -1382.618
"8" 490007 0.0210532 0.0297845 131399 103175 1.02301 -17.57798 -1365.666 -1383.244
"9" 490008 0.0210532 0.0297845 131399 103175 1.02301 -17.57798 -1365.666 -1383.244
"10" 490009 0.0210592 0.0299139 131399 103175 1.023 -17.59578 -1365.686 -1383.281
"11" 490010 0.0210592 0.0298747 131399 103175 1.02319 -17.59034 -1365.812 -1383.403
"12" 490011 0.0211245 0.0298747 131445 103175 1.02319 -17.63067 -1366.055 -1383.686
"13" 490012 0.0211245 0.0298747 131752 103175 1.02319 -17.96338 -1365.562 -1383.525
"14" 490013 0.0211245 0.0298747 131752 103175 1.02319 -17.96338 -1365.562 -1383.525
"15" 490014 0.0210561 0.0298747 131265 102905 1.02309 -18.55638 -1365.355 -1383.911
"16" 490015 0.0210561 0.0298747 131478 103615 1.02309 -16.06123 -1368.133 -1384.194
"17" 490016 0.0211053 0.0296177 131814 103615 1.02329 -16.40452 -1365.717 -1382.121
"18" 490017 0.0212457 0.0296177 131662 103615 1.02329 -16.21613 -1367.023 -1383.239
"19" 490018 0.0210679 0.0294595 131662 104098 1.02347 -14.66515 -1369.904 -1384.569
"20" 490019 0.0210679 0.0294822 131577 104135 1.02347 -14.46565 -1371.829 -1386.295
"21" 490020 0.0211455 0.0294822 131282 103822 1.02347 -15.15102 -1370.984 -1386.135
"22" 490021 0.0215694 0.0294973 131282 103822 1.0231 -15.1461 -1370.469 -1385.615
"23" 490022 0.0212517 0.0293009 131324 103493 1.02317 -16.26632 -1368.312 -1384.578
"24" 490023 0.0212517 0.0293009 131324 103387 1.02317 -16.64965 -1368.894 -1385.544
"25" 490024 0.0212517 0.0293009 131324 103387 1.02339 -16.64965 -1367.345 -1383.995
"26" 490025 0.0212517 0.0293009 131324 103839 1.02339 -15.10331 -1368.548 -1383.652
"27" 490026 0.021403 0.0293009 131208 103888 1.02336 -14.85963 -1370.44 -1385.3
"28" 490027 0.021403 0.0292654 131458 103888 1.02336 -15.0597 -1368.963 -1384.022
"29" 490028 0.0211788 0.0292654 131445 103888 1.02355 -15.05144 -1368.513 -1383.564
"30" 490029 0.0211788 0.0292654 132177 103888 1.0239 -15.99825 -1366.37 -1382.368
"31" 490030 0.0211788 0.0290749 132379 103888 1.0239 -16.33031 -1366.676 -1383.006
"32" 490031 0.0211419 0.0290649 132599 103888 1.0239 -16.76223 -1367.326 -1384.088
"33" 490032 0.0211419 0.0290879 132599 103888 1.02436 -16.76524 -1365.399 -1382.164
"34" 490033 0.0211419 0.0293045 132614 103888 1.02389 -16.82579 -1365.236 -1382.061
"35" 490034 0.0211419 0.0293828 132465 103870 1.02396 -16.58867 -1365.55 -1382.138
"36" 490035 0.0211419 0.0290735 131840 103870 1.02396 -15.52592 -1366.993 -1382.519
"37" 490036 0.0211419 0.0291282 132049 103870 1.02374 -15.83165 -1366.354 -1382.186
"38" 490037 0.0211419 0.0293008 132049 103726 1.02374 -16.32179 -1365.703 -1382.025
"39" 490038 0.0212131 0.0293008 132028 103726 1.02374 -16.28796 -1366.208 -1382.496
"40" 490039 0.0212131 0.0293413 132028 103726 1.02374 -16.29335 -1366.212 -1382.505
"41" 490040 0.0210271 0.0293413 132061 103569 1.02373 -16.88028 -1364.714 -1381.594
"42" 490041 0.0210271 0.0293413 132061 103569 1.02357 -16.88028 -1365.514 -1382.395
"43" 490042 0.0210271 0.0296128 132078 103569 1.02357 -16.94246 -1364.686 -1381.628
"44" 490043 0.0210271 0.0293009 131210 103569 1.02343 -15.92196 -1366.214 -1382.136
"45" 490044 0.0210271 0.0293009 131210 103569 1.02314 -15.92196 -1366.43 -1382.352
"46" 490045 0.0210271 0.0295178 131210 103569 1.02328 -15.95076 -1366.828 -1382.778
"47" 490046 0.0210271 0.0293969 131419 103569 1.0231 -16.10182 -1366.367 -1382.469
"48" 490047 0.0210271 0.0293969 131909 103550 1.0231 -16.73028 -1369.088 -1385.819
"49" 490048 0.0210271 0.0293969 131909 103473 1.02387 -17.00078 -1364.727 -1381.728
"50" 490049 0.0210271 0.0293969 131909 103202 1.02413 -17.99994 -1364.159 -1382.159
"51" 490050 0.0210271 0.0295732 131909 103387 1.02413 -17.33393 -1367.742 -1385.076
"52" 490051 0.0210271 0.0295732 133299 103387 1.02435 -20.23577 -1362.627 -1382.863
"53" 490052 0.0211372 0.0295732 132931 103387 1.02432 -19.27784 -1363.454 -1382.732
"54" 490053 0.0212257 0.029335 132142 103387 1.02432 -17.64906 -1365.905 -1383.554
"55" 490054 0.0212257 0.0292611 132221 103387 1.02416 -17.77081 -1365.287 -1383.058
