"time" "Srxn1_max" "NRF2_max" "time2" "Srxn1_mean" "NRF2_mean" "time3" "Srxn1_min" "NRF2_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"Rep_0.1_01" 0 0 0 0 0 0 0 0 0 0.1 0 "simulation1" 0 0
"Rep_0.1_02" 1 0.0208181256650988 0 1 0.0208181256650988 0 1 0.0208181256650988 0 0.1 0 "simulation1" 0 0
"Rep_0.1_03" 2 0.0410110309410544 0 2 0.041010880496554 0 2 0.0410108798352633 0 0.1 0 "simulation1" 0 0
"Rep_0.1_04" 3 0.0606800660770308 0.0357295051171416 3 0.0605965139905326 0.0119098350390472 3 0.0605963988651711 0 0.1 0 "simulation1" 0 0
"Rep_0.1_05" 4 0.0947377908439336 0.0827525807109641 4 0.0807692346335572 0.0500831830314351 4 0.0795942026294409 0 0.1 0 "simulation1" 0.00269160659017544 0.00466199936817108
"Rep_0.1_06" 5 0.140887193702219 0.068602049698552 5 0.102270865823802 0.0385900681089265 5 0.0980214964843565 0 0.1 0 "simulation1" 0.0258246894084676 0.0338591146200284
"Rep_0.1_07" 6 0.180726716295586 0.078972629113109 6 0.120886306025947 0.0368605762946538 6 0.115895443730863 0 0.1 0 "simulation1" 0.051617773625682 0.0456179873952303
"Rep_0.1_08" 7 0.236094917297131 0.0960620986848184 7 0.139031204117191 0.0389626491341931 7 0.133232660663031 0 0.1 0 "simulation1" 0.131658050886782 0.0626158979667499
"Rep_0.1_09" 8 0.290006944832395 0.0799236191686437 8 0.156736479389656 0.037912245966052 8 0.150049237256778 0 0.1 0 "simulation1" 0.177959898214575 0.0595383811174125
"Rep_0.1_010" 9 0.32886147884711 0.0748217184681677 9 0.173604182183808 0.0362396262502308 9 0.166360812253017 0 0.1 0 "simulation1" 0.225535384204931 0.0645820728062604
"Rep_0.1_011" 10 0.376821961904948 0.095773831298166 10 0.191943615032579 0.0521206570534154 10 0.182182554048416 0 0.1 0 "simulation1" 0.249228814196585 0.122924370707878
"Rep_0.1_012" 11 0.426382974844217 0.0805670939921375 11 0.211564071494222 0.0467304241653805 11 0.197529172278372 0 0.1 0 "simulation1" 0.256808027002114 0.150292039875295
"Rep_0.1_013" 12 0.46508429485064 0.079029851922336 12 0.229038190403159 0.045632466432853 12 0.212414934285319 0 0.1 0 "simulation1" 0.245803025681785 0.147234129293229
"Rep_0.1_014" 13 0.500384606574955 0.0768128401862143 13 0.244011680689775 0.0268552882315294 13 0.226853679905284 0 0.1 0 "simulation1" 0.276152607212867 0.168892410815133
"Rep_0.1_015" 14 0.540433346055853 0.0893014037453682 14 0.258217286702263 0.0428352718977865 14 0.240858833141375 0 0.1 0 "simulation1" 0.331982523340661 0.198976428470348
"Rep_0.1_016" 15 0.588137076403982 0.0903717274486903 15 0.273172039649439 0.0407464394372723 15 0.254443414556589 0 0.1 0 "simulation1" 0.326391857193484 0.221616878422162
"Rep_0.1_017" 16 0.615779494133525 0.0569587487935236 16 0.286893010481744 0.0367325522814725 16 0.267620053822705 0 0.1 0 "simulation1" 0.360970036109639 0.250067415990765
"Rep_0.1_018" 17 0.628226609165758 0.0619480276089466 17 0.299737055311325 0.0334517153110138 17 0.280401001357235 0 0.1 0 "simulation1" 0.333643845813851 0.241582739980587
"Rep_0.1_019" 18 0.637667282535795 0.0471805869804118 18 0.311739254652353 0.0227024785103966 18 0.292798139700294 0 0.1 0 "simulation1" 0.33843154463648 0.251886275371525
"Rep_0.1_020" 19 0.642163774545342 0.0441420742132901 19 0.323260156784465 0.0252752198708494 19 0.304822994562022 0 0.1 0 "simulation1" 0.277350993950949 0.208716231772824
"Rep_0.1_021" 20 0.644361124106679 0.0227762883166314 20 0.334397027926262 0.0125691579316973 20 0.316486745537785 0 0.1 0 "simulation1" 0.290357155587712 0.228029161515076
"Rep_0.1_022" 21 0.649282767564559 0.0607458587666856 21 0.345232505188048 0.0298613946099503 21 0.327800236502291 0 0.1 0 "simulation1" 0.340502016860172 0.258032336224517
"Rep_0.1_023" 22 0.659683399969813 0.0490455849254136 22 0.355929717524844 0.0284291900491382 22 0.338773985716921 0.00257877050137589 0.1 0 "simulation1" 0.338907321498289 0.266569801671917
"Rep_0.1_024" 23 0.662353781384426 0.0347022140879841 23 0.366145929274653 0.0222732652491426 23 0.349418195536108 0 0.1 0 "simulation1" 0.377122601835453 0.328971529499182
"Rep_0.1_025" 24 0.665416901917401 0.054852832929124 24 0.376046637528037 0.02977460182744 24 0.359742761889657 0 0.1 0 "simulation1" 0.410276098765904 0.355400648466341
"Rep_0.1_026" 25 0.70600531697172 0.113860019636935 25 0.398602850986565 0.0791278988062343 25 0.370256934192844 0.0439094218927172 0.1 0 "simulation1" 0.328034693890973 0.179659447015607
"Rep_0.1_027" 26 0.729739954106464 0.0136561514711047 26 0.415990458392999 0.00871803067267785 26 0.380444583389783 0 0.1 0 "simulation1" 0.260524702991262 0.157713161556878
