"time" "Srxn1_max" "NRF2_max" "time2" "Srxn1_mean" "NRF2_mean" "time3" "Srxn1_min" "NRF2_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"Conti_0.01_0.011" 0 0 0 0 0 0 0 0 0 0.01 0.01 "simulation1" 0 0
"Conti_0.01_0.012" 1 0.020818656776424 0.0312671240046491 1 0.0208181259971634 0.0104223746682164 1 0.0208181256650988 0 0.01 0.01 "simulation1" 0 0
"Conti_0.01_0.013" 2 0.0411636138708854 0.105971608803237 2 0.0410111318470161 0.0376016997516232 2 0.0410109602090385 0 0.01 0.01 "simulation1" 0 0
"Conti_0.01_0.014" 3 0.123824602564862 0.293427014004684 3 0.0717910054545801 0.211461661456896 3 0.0606035035880133 0.0590057638631851 0.01 0.01 "simulation1" 0 0
"Conti_0.01_0.015" 4 0.486528835767685 0.427854278621995 4 0.221659630941234 0.28412730631736 4 0.0798943700553274 0.0986151593226372 0.01 0.01 "simulation1" 0.0456143815102565 0.0790064263315947
"Conti_0.01_0.016" 5 0.975770209242439 0.461070338793521 5 0.427176803625839 0.288866572743445 5 0.0988868800649002 0.0855158339232409 0.01 0.01 "simulation1" 0.458206370054939 0.384583525654451
"Conti_0.01_0.017" 6 1.46762471081783 0.45900780951245 6 0.615832805800049 0.276355220854778 6 0.116820619588569 0.0479255836342044 0.01 0.01 "simulation1" 1.18248249689589 0.78629025174771
"Conti_0.01_0.018" 7 1.92704017881567 0.441760239582037 7 0.791774467236937 0.28360849617388 7 0.134194168607694 0.077964896906681 0.01 0.01 "simulation1" 1.93604642201763 1.119548739004
"Conti_0.01_0.019" 8 2.36710271240355 0.449495408098629 8 0.9765195326252 0.28823754161318 8 0.151043956082774 0.0459946742964256 0.01 0.01 "simulation1" 2.5202798721767 1.45386765887852
"Conti_0.01_0.0110" 9 2.77696106869097 0.420711808750109 9 1.16497243582608 0.292555230254149 9 0.16740408737423 0.0844806404697088 0.01 0.01 "simulation1" 2.92503985244007 1.6102550165956
"Conti_0.01_0.0111" 10 3.16104711813643 0.433429113291715 10 1.35442085409458 0.295350870946989 10 0.183747220854888 0.101847804846855 0.01 0.01 "simulation1" 3.15701839072001 1.77519858419384
"Conti_0.01_0.0112" 11 3.54664167866151 0.433802763927965 11 1.55364001790772 0.306874577530659 11 0.200026540522963 0.108214189476091 0.01 0.01 "simulation1" 3.40290676862594 1.93747781042471
"Conti_0.01_0.0113" 12 3.9154992415329 0.426946331393913 12 1.76359797266119 0.311887745545506 12 0.217453530204257 0.137831913192291 0.01 0.01 "simulation1" 3.45558117811243 1.99159069528989
"Conti_0.01_0.0114" 13 4.24756739294442 0.411021068965683 13 1.99092915602667 0.330960192846722 13 0.244939872973597 0.176367149720148 0.01 0.01 "simulation1" 3.59730351863425 2.03804667064041
"Conti_0.01_0.0115" 14 4.63844821419036 0.510364983724561 14 2.26013813729459 0.356291219083066 14 0.26931688072442 0.127649755950109 0.01 0.01 "simulation1" 3.75077302601785 2.13366552554365
"Conti_0.01_0.0116" 15 5.08058175733737 0.490054561661201 15 2.52560816600785 0.337185666039918 15 0.284557083604164 0.122836104921561 0.01 0.01 "simulation1" 4.160722004154 2.39285817235087
"Conti_0.01_0.0117" 16 5.45918077274965 0.452728721263742 16 2.76689424124316 0.342166741073616 16 0.300734975501305 0.142260088353025 0.01 0.01 "simulation1" 4.3966485800828 2.38485640973957
"Conti_0.01_0.0118" 17 5.81934271925414 0.480057589690369 17 3.00717336233232 0.342426683544991 17 0.323529476310591 0.169317720294407 0.01 0.01 "simulation1" 4.78717470867461 2.53431162870098
"Conti_0.01_0.0119" 18 6.20525853579842 0.495656255493423 18 3.24945151388396 0.350509993227236 18 0.353389899561758 0.173033397886775 0.01 0.01 "simulation1" 5.10782302941631 2.77696734116307
"Conti_0.01_0.0120" 19 6.56417352843832 0.462023705017302 19 3.47120448612628 0.3295647798995 19 0.377860330527562 0.156647732562568 0.01 0.01 "simulation1" 5.61613064911078 3.08620479809544
"Conti_0.01_0.0121" 20 6.88830277376161 0.463332447404514 20 3.66640031523623 0.330959485019414 20 0.397850670952629 0.155870020910645 0.01 0.01 "simulation1" 5.89528915488162 3.16739527615026
"Conti_0.01_0.0122" 21 7.18851715645589 0.441758362744632 21 3.83866640232721 0.314072682221467 21 0.414211630663337 0.140833523236825 0.01 0.01 "simulation1" 6.10951124376986 3.32754469057004
"Conti_0.01_0.0123" 22 7.46543479664708 0.445382992148512 22 4.0110192319723 0.335236830544627 22 0.438558172721519 0.18770380632817 0.01 0.01 "simulation1" 6.57560384951971 3.52387217127472
"Conti_0.01_0.0124" 23 7.74259847816597 0.446881682467766 23 4.19761064337397 0.328994218663707 23 0.466833309278196 0.156770005455601 0.01 0.01 "simulation1" 6.74857866213229 3.62776661182846
"Conti_0.01_0.0125" 24 7.95656248056809 0.395073638044433 24 4.32961359779007 0.306054192668977 24 0.47876142463719 0.14120319229549 0.01 0.01 "simulation1" 6.95917737454341 3.86167077724864
"Conti_0.01_0.0126" 25 8.2823415074527 0.585782329087195 25 4.61505139289558 0.482056365411338 25 0.681969940345972 0.416081424038645 0.01 0.01 "simulation1" 7.87444544937861 3.31010066003876
"Conti_0.01_0.0127" 26 8.60278173175888 0.40535640057049 26 4.95819901136411 0.380664450616971 26 1.06998237854535 0.334361120689473 0.01 0.01 "simulation1" 7.13685163760428 2.97869481104007
"Conti_0.01_0.0128" 27 8.83381108987481 0.493993728632756 27 5.18940027581046 0.370686278725373 27 1.2345259147179 0.236239026216365 0.01 0.01 "simulation1" 7.37768399034271 3.24448206488203
"Conti_0.01_0.0129" 28 9.15675952376537 0.521037750736816 28 5.42924673586239 0.392573672835437 28 1.34403883624615 0.282763102206234 0.01 0.01 "simulation1" 7.47659369425022 3.24207704241139
"Conti_0.01_0.0130" 29 9.49215313128981 0.52943110375011 29 5.6807563032531 0.392959102653444 29 1.52871070900089 0.300048132230346 0.01 0.01 "simulation1" 7.67350429061702 3.33189027213993
"Conti_0.01_0.0131" 30 9.79859754824501 0.497420398030487 30 5.92132924449723 0.388611078553983 30 1.7049531031836 0.2866881678583 0.01 0.01 "simulation1" 7.83697030228978 3.21523136600365
"Conti_0.01_0.0132" 31 10.0783762376981 0.503701327165664 31 6.15358403333274 0.390395427537437 31 1.90230140264967 0.322166948972513 0.01 0.01 "simulation1" 7.92822234249666 3.19827496762565
"Conti_0.01_0.0133" 32 10.3408549974222 0.478830072269512 32 6.36186293059463 0.368743187394103 32 2.10043353931856 0.291294706684441 0.01 0.01 "simulation1" 7.70522333428502 3.17337562585705
"Conti_0.01_0.0134" 33 10.531260108062 0.423852740252189 33 6.5248613890025 0.350627634305867 33 2.24764353543388 0.282517624978823 0.01 0.01 "simulation1" 7.89189055810741 3.29539365412491
"Conti_0.01_0.0135" 34 10.707937983081 0.464156184985782 34 6.6726329988759 0.355311483535143 34 2.34929013520818 0.251406334682243 0.01 0.01 "simulation1" 7.66012396557877 3.1785935494086
"Conti_0.01_0.0136" 35 10.8920317657599 0.437827203121777 35 6.80319689129821 0.337389583651975 35 2.40903025746326 0.245002486214277 0.01 0.01 "simulation1" 7.58302531431785 3.03703049661567
"Conti_0.01_0.0137" 36 11.0696971389706 0.464690114112267 36 6.91748540708164 0.343256524009044 36 2.46606737709105 0.247754066590494 0.01 0.01 "simulation1" 7.49043945383917 3.15335640401148
"Conti_0.01_0.0138" 37 11.2526678476887 0.449592869391017 37 7.03030292297255 0.337334745082167 37 2.5216277240864 0.242670444789373 0.01 0.01 "simulation1" 7.25116825202847 2.95451632130046
"Conti_0.01_0.0139" 38 11.4150754334872 0.444805891382653 38 7.12670403285302 0.329970760194818 38 2.53279650066586 0.195575101803526 0.01 0.01 "simulation1" 7.08715615463043 2.97893720924847
"Conti_0.01_0.0140" 39 11.5403018154669 0.40897375103945 39 7.1890605641641 0.310784093626718 39 2.52223055162422 0.217509112963025 0.01 0.01 "simulation1" 7.03464222365314 3.16743335174905
"Conti_0.01_0.0141" 40 11.6490714036462 0.429010421227808 40 7.2651419463622 0.342053122437726 40 2.56475434357055 0.257228088497258 0.01 0.01 "simulation1" 6.76290263431111 3.18781579086013
"Conti_0.01_0.0142" 41 11.7630737669383 0.415273301578158 41 7.35288784917336 0.323260345048319 41 2.61787773451769 0.23366556221677 0.01 0.01 "simulation1" 6.63631105576896 3.03252682765332
"Conti_0.01_0.0143" 42 11.8479819111951 0.40140156960669 42 7.41612288090336 0.322008545877837 42 2.65519037006089 0.247091951047971 0.01 0.01 "simulation1" 6.48469333107519 3.11268697790812
"Conti_0.01_0.0144" 43 11.9291400655636 0.412005521361685 43 7.47257293971818 0.315878987156407 43 2.73162774093093 0.267133089397887 0.01 0.01 "simulation1" 6.30075170516493 3.08652309419833
"Conti_0.01_0.0145" 44 12.0107717865725 0.40285667787001 44 7.49451730661537 0.292487384744468 44 2.76486679468844 0.205595838820683 0.01 0.01 "simulation1" 6.1435787958235 2.94311904788758
"Conti_0.01_0.0146" 45 12.0695749897255 0.391592459103245 45 7.48029543875037 0.285398640310727 45 2.75227095923183 0.215808969874524 0.01 0.01 "simulation1" 5.94252876628043 3.00223075771357
"Conti_0.01_0.0147" 46 12.1388331212361 0.414544014458888 46 7.48221992921042 0.304284844492994 46 2.76176498074004 0.230681569396813 0.01 0.01 "simulation1" 5.76185932777731 3.01298233659949
"Conti_0.01_0.0148" 47 12.211718046916 0.39789758394006 47 7.50349078081527 0.302583793675901 47 2.7809853477285 0.230191248582645 0.01 0.01 "simulation1" 5.5409810026373 2.9735185614321
