"time" "Srxn1_max" "NRF2_max" "time2" "Srxn1_mean" "NRF2_mean" "time3" "Srxn1_min" "NRF2_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"Rep_0.01_01" 0 0 0 0 0 0 0 0 0 0.01 0 "simulation1" 0 0
"Rep_0.01_02" 1 0.0236231347634695 0.171819684941376 1 0.0209148622623117 0.0969037940696356 1 0.0208181256650988 0 0.01 0 "simulation1" 0.028695212431862 0.049701565865967
"Rep_0.01_03" 2 0.168608490429439 0.319766678729444 2 0.0476855949853588 0.177794965145891 2 0.0410109277150869 0 0.01 0 "simulation1" 0.026862881939331 0.0465278763566456
"Rep_0.01_04" 3 0.536161711986254 0.410585875079208 3 0.180852109663878 0.308221278649969 3 0.0664190319513624 0.195604078647556 0.01 0 "simulation1" 0.0251502455717676 0.0435615031531357
"Rep_0.01_05" 4 1.00477528088402 0.456319425019501 4 0.507626541331884 0.374685168765699 4 0.176947532549705 0.259391414528224 0.01 0 "simulation1" 0.0552492370833442 0.0587466070725636
"Rep_0.01_06" 5 1.49325489786514 0.454888205448125 5 0.875258876436544 0.366885686189851 5 0.34395715867134 0.271881434233465 0.01 0 "simulation1" 0.227693888482404 0.0887622579342322
"Rep_0.01_07" 6 1.90338364571315 0.38587514050073 6 1.19642272842955 0.344146835552084 6 0.512314267975627 0.267749067346238 0.01 0 "simulation1" 0.639442509948447 0.170917955605443
"Rep_0.01_08" 7 2.27808109349913 0.426303263272818 7 1.48682169638987 0.346627922541784 7 0.634136152294039 0.236089145590224 0.01 0 "simulation1" 1.1504229607049 0.3398896387815
"Rep_0.01_09" 8 2.66652288903245 0.419504863182098 8 1.78582546787697 0.361808912315984 8 0.759235596892252 0.270839718813808 0.01 0 "simulation1" 1.69140270501954 0.302332867924911
"Rep_0.01_010" 9 3.15696102881482 0.551280485151899 9 2.14174502421184 0.395752727922546 9 0.894514372290136 0.232742703982602 0.01 0 "simulation1" 2.12662997867622 1.03912172049797
"Rep_0.01_011" 10 3.45825763420471 0.221598606604606 10 2.27337929840566 0.138977394265501 10 0.90403104367785 0 0.01 0 "simulation1" 1.97245453690166 0.964593237818216
"Rep_0.01_012" 11 3.39603662643199 0.150894859927811 11 2.22720537830044 0.0950244800104524 11 0.897700784422344 0 0.01 0 "simulation1" 2.26414241190886 1.1822335461497
"Rep_0.01_013" 12 3.32490917954788 0.16326022003473 12 2.1818602063396 0.105204634949913 12 0.89156060284194 0 0.01 0 "simulation1" 2.48069226199673 1.26335897856268
"Rep_0.01_014" 13 3.25773405886286 0.153821513562815 13 2.13782065172061 0.0891122026099103 13 0.885604748872593 0 0.01 0 "simulation1" 2.72700338931 1.37117906091365
"Rep_0.01_015" 14 3.18872703449093 0.145485972021368 14 2.09483569936308 0.0923361887881194 14 0.879827744825877 0 0.01 0 "simulation1" 3.02437664269706 1.28894232130812
"Rep_0.01_016" 15 3.12167682104973 0.152809813214555 15 2.05323005144086 0.0941165601614464 15 0.874224222942852 0 0.01 0 "simulation1" 3.19437930709134 1.40150080182856
"Rep_0.01_017" 16 3.05877861039689 0.158372969785465 16 2.01302426113301 0.100823966311162 16 0.868788973600912 0.000730038748584239 0.01 0 "simulation1" 3.43880840355511 1.42888842430725
