"time" "Srxn1_max" "NRF2_max" "time2" "Srxn1_mean" "NRF2_mean" "time3" "Srxn1_min" "NRF2_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"Rep_1_01" 0 0 0 0 0 0 0 0 0 1 0 "simulation1" 0 0
"Rep_1_02" 1 0.0672844447462645 0.204181701694327 1 0.0214196741996454 0.0848750986934435 1 0.0208181256650988 0 1 0 "simulation1" 0.000886921989113963 0.00153619394749543
"Rep_1_03" 2 0.213676839222015 0.158811644758626 2 0.043037874678336 0.052937214919542 2 0.0410108798352633 0 1 0 "simulation1" 0 0
"Rep_1_04" 3 0.295912619441757 0.160321114044644 3 0.0627032316449449 0.0534403713482146 3 0.0605963988651711 0 1 0 "simulation1" 0 0
"Rep_1_05" 4 0.394711447168546 0.177068963550849 4 0.0818653096391096 0.0590229878502831 4 0.0795942026294409 0 1 0 "simulation1" 0 0
"Rep_1_06" 5 0.536394366291285 0.203684689003193 5 0.100751950461824 0.0678948963343976 5 0.0980214964843565 0 1 0 "simulation1" 0 0
"Rep_1_07" 6 0.667308587775651 0.172356089657208 6 0.11902264118668 0.0574520298857361 6 0.115895443730863 0 1 0 "simulation1" 0.0101608686453664 0.0130869822939366
"Rep_1_08" 7 0.763111904789139 0.174507198400269 7 0.136539961742174 0.0589604261467463 7 0.133232660663031 0 1 0 "simulation1" 0.0405246699742735 0.0486838797811672
"Rep_1_09" 8 0.861100196594207 0.175897679080038 8 0.153531964405326 0.0586325596933459 8 0.150049237256778 0 1 0 "simulation1" 0.0620260875662814 0.0784445025437086
"Rep_1_010" 9 0.985782412207258 0.201644395643958 9 0.171149366283372 0.0849263000804058 9 0.166360812253017 0 1 0 "simulation1" 0.144039286998074 0.0924584951980786
"Rep_1_011" 10 1.0703221988545 0.136480055066171 10 0.187821353673078 0.0454933516887238 10 0.182182554048416 0 1 0 "simulation1" 0.0818268628712168 0.0765508836729029
"Rep_1_012" 11 1.08377789004256 0.124376997712591 11 0.203035371297209 0.0414589992375305 11 0.197529172278372 0 1 0 "simulation1" 0.0902926692852587 0.0924177890072583
"Rep_1_013" 12 1.13038565477744 0.173088901404785 12 0.217887417384321 0.0576963004682615 12 0.212414934285319 0 1 0 "simulation1" 0.0887493662718628 0.082682699549551
"Rep_1_014" 13 1.18982668848925 0.141048547986801 13 0.23233760370074 0.047016182662267 13 0.226853679905284 0 1 0 "simulation1" 0.102682729242107 0.0875312389506689
"Rep_1_015" 14 1.21198576545791 0.134525519362786 14 0.246242560253058 0.0448418397875954 14 0.240858833141375 0 1 0 "simulation1" 0.110965094485358 0.094311475288801
"Rep_1_016" 15 1.22693364745266 0.130582004602289 15 0.259717454554401 0.0435273348674295 15 0.254443414556589 0 1 0 "simulation1" 0.115828386982367 0.124574697370349
"Rep_1_017" 16 1.25938746501473 0.156262420534507 16 0.272830576843962 0.0520874735115024 16 0.267620053822705 0 1 0 "simulation1" 0.103239182977206 0.115770910422911
"Rep_1_018" 17 1.29180660201785 0.132511731971315 17 0.285552664870075 0.0441705773237717 17 0.280401001357235 0 1 0 "simulation1" 0.114546451698462 0.11119898333292
"Rep_1_019" 18 1.3101389508499 0.140949936952863 18 0.297859170597244 0.0469833123176209 18 0.292798139700294 0 1 0 "simulation1" 0.103658422600614 0.077103656459144
"Rep_1_020" 19 1.33210311302244 0.136901782338316 19 0.309804807668829 0.0456339274461053 19 0.304822994562022 0 1 0 "simulation1" 0.173770323621223 0.10003416901651
