"time" "Srxn1_max" "NRF2_max" "time2" "Srxn1_mean" "NRF2_mean" "time3" "Srxn1_min" "NRF2_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"Rep_0.35_01" 0 0 0 0 0 0 0 0 0 0.35 0 "simulation1" 0 0
"Rep_0.35_02" 1 0.34221371116202 0.696117674666894 1 0.105086635473878 0.277513752327264 1 0.0208181851380181 0 0.35 0 "simulation1" 0.0130233938749732 0.0174396837438897
"Rep_0.35_03" 2 1.48713714729747 1.52004662549195 2 0.603609809309468 0.667322971855127 2 0.0722529873724995 0.178105737103219 0.35 0 "simulation1" 0.0111748207276045 0.0158633310284226
"Rep_0.35_04" 3 2.98513774173007 1.47135994420227 3 1.27058582214504 0.635928487047383 3 0.245878602217356 0.201099001498511 0.35 0 "simulation1" 0.0172491948191775 0.0205212076915465
"Rep_0.35_05" 4 4.36593122884809 1.44299865097215 4 1.87317758236192 0.611286512514231 4 0.407247039595197 0.175751913202579 0.35 0 "simulation1" 0.0532507090225042 0.0143331206378936
"Rep_0.35_06" 5 5.65044267274864 1.3646388346738 5 2.42050348298563 0.563039760358056 5 0.499139699395646 0.132124339169895 0.35 0 "simulation1" 0.191120588205877 0.0454209403981753
"Rep_0.35_07" 6 6.8438296706942 1.34558427351805 6 2.91444922366253 0.539668702331764 6 0.534979662100504 0.106435147501168 0.35 0 "simulation1" 0.434106209572771 0.183011850575942
"Rep_0.35_08" 7 8.01435196660402 1.37988426156396 7 3.37334294596799 0.522772505864016 7 0.544987316174755 0.0587759523123539 0.35 0 "simulation1" 0.836913074321392 0.27460488527844
"Rep_0.35_09" 8 9.16059667198149 1.3577051827829 8 3.80807267975987 0.510634200715166 8 0.549974951082826 0.068179371744413 0.35 0 "simulation1" 1.05483803461228 0.346722951723281
"Rep_0.35_010" 9 9.7616271770426 0.277647616949604 9 4.07613774562677 0.200719905405887 9 0.586663581761651 0.145962378773042 0.35 0 "simulation1" 1.19222148172925 0.399118122860952
"Rep_0.35_011" 10 9.55514789561934 0.092499538109356 10 4.01173400943031 0.0308331793697853 10 0.6053813193631 0 0.35 0 "simulation1" 0.990286827086379 0.291591839088071
"Rep_0.35_012" 11 9.29360643842512 0.0942936425253704 11 3.91208329109392 0.0314312141751235 11 0.608019475228124 0 0.35 0 "simulation1" 1.02936651008737 0.292283589692753
"Rep_0.35_013" 12 9.0672434686013 0.140814130930579 12 3.81546737271551 0.0469380436435262 12 0.610578296470864 0 0.35 0 "simulation1" 0.977941617719362 0.276366906176202
"Rep_0.35_014" 13 8.85759638813363 0.1128819209361 13 3.72177856182646 0.0376273069787001 13 0.613060276526632 0 0.35 0 "simulation1" 0.999454573254631 0.299990470420741
"Rep_0.35_015" 14 8.6332045972551 0.110380594449159 14 3.63085814611245 0.0367935314830529 14 0.615467721222147 0 0.35 0 "simulation1" 0.990286680192383 0.300054107555882
"Rep_0.35_016" 15 8.40835144272113 0.0975503632975336 15 3.54266346177776 0.0345374182012842 15 0.617802875134301 0 0.35 0 "simulation1" 1.03158029313072 0.269033717046219
"Rep_0.35_017" 16 8.21191512059962 0.144986056215637 16 3.45717696166516 0.0483286854052124 16 0.620067906982872 0 0.35 0 "simulation1" 1.02860158831061 0.267199021029112
"Rep_0.35_018" 17 8.04216490028581 0.126044823719065 17 3.37432906310757 0.0461174832032613 17 0.622264919429017 0 0.35 0 "simulation1" 1.07576526051641 0.266857924773719
"Rep_0.35_019" 18 7.85022246234895 0.113297860698884 18 3.29388883629546 0.0377659535662948 18 0.624395955587435 0 0.35 0 "simulation1" 1.06270618312003 0.254343317872564
"Rep_0.35_020" 19 7.6590528369562 0.117218529091793 19 3.21582898594397 0.0392428495018746 19 0.626462997169547 0 0.35 0 "simulation1" 1.14098870378704 0.269483680530758
"Rep_0.35_021" 20 7.48356869802485 0.127415692362923 20 3.14013495315234 0.0424718974543076 20 0.628467965941597 0 0.35 0 "simulation1" 1.12636873774833 0.333898388496704
"Rep_0.35_022" 21 7.3198914933932 0.128079097000387 21 3.06673690360824 0.0435218181931888 21 0.630412725850435 0 0.35 0 "simulation1" 1.14719228979518 0.354222360638894
"Rep_0.35_023" 22 7.16644670621404 0.135197837531934 22 2.99555905257187 0.0450659458439781 22 0.632299085015735 0 0.35 0 "simulation1" 1.06797369395516 0.310511559581866
"Rep_0.35_024" 23 7.02614666501679 0.135792654105989 23 2.92653540713638 0.0452642180353297 23 0.634128797227228 0 0.35 0 "simulation1" 1.03580748226036 0.296189423843731
"Rep_0.35_025" 24 6.86870601421751 0.107401270433493 24 2.85953406507121 0.0358004234778309 24 0.63590356356399 0 0.35 0 "simulation1" 0.950436799844406 0.330371026103169
"Rep_0.35_026" 25 6.70228798171042 0.114570987328184 25 2.79451003943791 0.0381903291093946 25 0.637625034037485 0 0.35 0 "simulation1" 0.882361308125998 0.394685701413799
"Rep_0.35_027" 26 6.55202555403895 0.126525455833721 26 2.73146097842067 0.0421751519445736 26 0.639294809111359 0 0.35 0 "simulation1" 0.833192590465368 0.339601919979615
"Rep_0.35_028" 27 6.43484914166719 0.148950337350335 27 2.67038809064721 0.0496501124501117 27 0.640914441187672 0 0.35 0 "simulation1" 0.84428711884656 0.319515829463108
"Rep_0.35_029" 28 6.31201726952476 0.117360437815242 28 2.61112547699428 0.0396403616782431 28 0.642485436050206 0 0.35 0 "simulation1" 0.833807391992326 0.337402555805094
"Rep_0.35_030" 29 6.17955961864053 0.132232670224685 29 2.55360305932859 0.0445473895178032 29 0.644009254264355 0 0.35 0 "simulation1" 0.775011416501662 0.320252254981016
"Rep_0.35_031" 30 6.04584693966192 0.10664144094899 30 2.49779325133458 0.0355471469829965 30 0.64548731253504 0 0.35 0 "simulation1" 0.740818913478529 0.26533710615445
