"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Kact.1." "hill.1." "Vmax_buildSrxn1.1." "Km.1." "hill_act.1." "fraction_x.1." "fraction_x.1.1." "fraction_x.1.2." "fraction_x.1.3." "fraction_x.1.4." "LnPrior" "LnData" "LnPosterior"
"1" 0 0.0235654 0.0105721 0.0764195 3.55045 128163 105941 6.45006 0.0980575 0.498868 0.180894 0.544586 0.0998855 -10.70891 -250752 -250762.7
"2" 490001 0.0210773 0.0304367 0.0421388 1.00004 137011 99087 5.06611 0.237404 0.270062 0.563796 0.242068 0.15255 -60.52 -11558.82 -11619.34
"3" 490002 0.0210773 0.0304367 0.0421388 1.00004 137011 99087 5.06611 0.132943 0.270062 0.564847 0.242068 0.15255 -60.3142 -11558.47 -11618.78
"4" 490003 0.0212416 0.0304367 0.0421388 1.00004 137011 99054.7 5.04739 0.132943 0.270062 0.564847 0.242068 0.15255 -60.5779 -11558.85 -11619.43
"5" 490004 0.0212416 0.0304367 0.0421388 1.00004 137011 98885.3 5.04739 0.411437 0.270589 0.564847 0.242068 0.15255 -62.70069 -11557.52 -11620.22
"6" 490005 0.0212155 0.0304367 0.041022 1.00004 137011 98992.1 5.04739 0.250759 0.27179 0.564847 0.242068 0.151481 -61.31132 -11556.35 -11617.66
"7" 490006 0.0210662 0.0304367 0.0406135 1.00021 137011 99154.5 5.03065 0.0986987 0.27179 0.566756 0.242068 0.151481 -59.74164 -11560.27 -11620.01
"8" 490007 0.0211206 0.030328 0.0403892 1.00021 137301 99154.5 5.03065 0.0915261 0.270923 0.566756 0.242068 0.149485 -61.63767 -11556.05 -11617.68
"9" 490008 0.0212746 0.030328 0.0405323 1.00021 137301 99154.5 5.03065 0.162893 0.272313 0.566756 0.242068 0.149485 -61.74376 -11557.36 -11619.11
"10" 490009 0.0211968 0.030328 0.040156 1.00039 137301 99154.5 5.04276 0.202867 0.26815 0.566756 0.242068 0.15209 -61.81293 -11558.74 -11620.56
"11" 490010 0.0211605 0.030328 0.0414781 1.00039 137301 99277.8 5.1071 0.202867 0.266749 0.566756 0.242434 0.15209 -60.82953 -11561.31 -11622.14
"12" 490011 0.0211374 0.030328 0.0414781 1.00039 137301 99277.8 5.05247 0.116647 0.267588 0.566756 0.242434 0.15209 -60.70351 -11559.92 -11620.63
"13" 490012 0.0212862 0.030008 0.0415983 1.00083 137274 99277.8 5.07093 0.116647 0.267191 0.566756 0.235616 0.149671 -60.45763 -11564.77 -11625.23
"14" 490013 0.0212817 0.030008 0.0415983 1.00083 137274 99277.8 5.07758 0.18008 0.268692 0.566756 0.235616 0.151777 -60.56368 -11565.25 -11625.81
"15" 490014 0.0212817 0.0299601 0.0415983 1.00083 137402 99219.1 5.08605 0.180927 0.269822 0.566756 0.235616 0.15228 -61.88582 -11562.91 -11624.79
"16" 490015 0.021045 0.0299601 0.0408721 1.00083 137259 99219.1 5.08605 0.245199 0.269822 0.566756 0.235616 0.15228 -61.05244 -11561.75 -11622.81
"17" 490016 0.0210133 0.030028 0.0408721 1.00083 137259 99219.1 5.09306 0.000165002 0.269692 0.566843 0.235616 0.148993 -60.69289 -11560.72 -11621.41
"18" 490017 0.0210207 0.030028 0.0408721 1.00083 137259 99136.9 5.04749 0.100425 0.270112 0.566843 0.241924 0.149172 -61.45424 -11558.53 -11619.99
"19" 490018 0.0210893 0.030028 0.0408721 1.00083 137303 98978.1 5.04749 0.100425 0.270155 0.566843 0.241924 0.149172 -63.02164 -11557.07 -11620.09
"20" 490019 0.0210028 0.0301297 0.0399581 1.00083 137318 98978.1 5.01677 0.100425 0.270364 0.566843 0.229242 0.146307 -63.1368 -11559.86 -11623
"21" 490020 0.0210613 0.0303684 0.0399581 1.00083 137318 98754.6 5.00864 0.160432 0.268195 0.566843 0.241537 0.146307 -65.09748 -11554.48 -11619.58
"22" 490021 0.0210613 0.0303684 0.0399581 1.00083 137318 98754.6 5.00609 0.255533 0.268341 0.566843 0.241537 0.146307 -65.3081 -11554.4 -11619.71
"23" 490022 0.0210597 0.0304466 0.0397763 1.00083 137318 98754.6 5.03575 0.136051 0.268341 0.56559 0.234217 0.146307 -65.04747 -11554.17 -11619.21
"24" 490023 0.0210597 0.0304466 0.0397763 1.00083 137318 98754.6 5.01007 0.156627 0.268341 0.56559 0.234255 0.147551 -65.09549 -11553.34 -11618.43
"25" 490024 0.0210597 0.0304466 0.0397763 1.00083 137318 98754.6 5.06168 0.188116 0.267417 0.56559 0.23384 0.147551 -65.13058 -11554.43 -11619.56
"26" 490025 0.0210597 0.0304466 0.0397763 1.00083 137261 98754.6 5.06168 0.188116 0.268656 0.56559 0.23384 0.148613 -64.74734 -11555.15 -11619.9
"27" 490026 0.0210212 0.0304466 0.0398225 1.00083 137261 98754.6 5.06168 0.188116 0.268656 0.56559 0.239744 0.148613 -64.74959 -11554.71 -11619.46
"28" 490027 0.0210214 0.0304466 0.0398225 1.00083 137261 98754.6 5.07165 0.169768 0.268656 0.564202 0.239744 0.148613 -64.70665 -11554.61 -11619.32
"29" 490028 0.0210214 0.0304466 0.0398225 1.00083 137243 98754.6 5.07165 0.169768 0.268656 0.564202 0.231599 0.144884 -64.58032 -11556.55 -11621.14
"30" 490029 0.0210214 0.0304466 0.0390448 1.00083 137243 98754.6 5.00579 0.00238168 0.266122 0.564202 0.242166 0.144884 -64.40589 -11555.62 -11620.02
"31" 490030 0.0210214 0.0304466 0.0390448 1.00083 137243 98852.6 5.01826 0.15914 0.266122 0.564202 0.239485 0.144884 -63.77567 -11555.08 -11618.85
"32" 490031 0.0210214 0.0304466 0.0390448 1.00083 137142 98852.6 5.00123 0.19353 0.266122 0.564202 0.239485 0.144884 -63.18213 -11555.01 -11618.19
"33" 490032 0.0211135 0.0304466 0.039262 1.00083 137142 98852.6 5.00123 0.19353 0.266734 0.564202 0.239485 0.144884 -63.18211 -11555.5 -11618.68
"34" 490033 0.0211135 0.0304466 0.039262 1.00083 137142 98852.6 5.0127 0.0133869 0.266032 0.564202 0.238483 0.144884 -62.92921 -11555.47 -11618.4
"35" 490034 0.0211135 0.0304466 0.039262 1.00083 137142 98852.6 5.0127 0.0133869 0.266032 0.568408 0.238483 0.144884 -62.93851 -11558.39 -11621.32
"36" 490035 0.0210159 0.0304466 0.0387546 1.00083 137285 98840.6 5.0127 0.130357 0.266032 0.568408 0.238483 0.144884 -64.115 -11557.75 -11621.86
"37" 490036 0.0210159 0.0304466 0.0387546 1.00083 137285 99135.4 5.00426 0.16918 0.266032 0.568408 0.230931 0.143573 -61.814 -11560.25 -11622.07
"38" 490037 0.0210159 0.0304466 0.0388466 1.00083 137285 98948.8 5.02336 0.16918 0.266032 0.568408 0.230931 0.143363 -63.29609 -11559.17 -11622.46
"39" 490038 0.0210159 0.0304466 0.0388466 1.00083 137285 98948.8 5.04484 0.00600333 0.265471 0.568408 0.230931 0.142299 -63.07899 -11560.71 -11623.79
"40" 490039 0.0210159 0.0304466 0.0393849 1.00083 136857 98827.9 5.04484 0.00600333 0.267013 0.568408 0.230931 0.142454 -61.26303 -11562.89 -11624.15
"41" 490040 0.0210159 0.0302647 0.0394217 1.00083 136857 98839.4 5.04484 0.0243188 0.267013 0.567664 0.230931 0.142454 -61.15351 -11562 -11623.16
"42" 490041 0.0210915 0.0302647 0.0394217 1.00083 136857 98839.4 5.04484 0.0530349 0.266445 0.567664 0.237151 0.14685 -61.18237 -11559.14 -11620.32
"43" 490042 0.0212731 0.0302647 0.039124 1.00065 136857 98839.4 5.04484 0.231729 0.266445 0.563405 0.237151 0.14685 -61.47028 -11560.21 -11621.68
"44" 490043 0.0213093 0.0302184 0.039124 1.00088 136857 98719.9 5.0569 0.0586584 0.266654 0.563405 0.237151 0.14685 -62.14677 -11559.76 -11621.9
"45" 490044 0.0212147 0.0302184 0.0400649 1.00088 136857 98719.9 5.06079 0.0586584 0.268148 0.563405 0.237151 0.14685 -62.15477 -11557.85 -11620.01
"46" 490045 0.0210569 0.0302184 0.0400649 1.00077 136520 98719.9 5.03957 0.223237 0.268148 0.563405 0.237151 0.14685 -60.36509 -11558.14 -11618.51
"47" 490046 0.0211355 0.0302184 0.0400649 1.00077 136520 98719.9 5.00501 0.358419 0.26582 0.563405 0.237151 0.14685 -60.77802 -11557.71 -11618.49
"48" 490047 0.0211355 0.0302476 0.0405674 1.00077 136598 98719.9 5.00175 0.299217 0.26582 0.563405 0.237151 0.14685 -61.06589 -11558.06 -11619.12
"49" 490048 0.0210416 0.0304415 0.0405674 1.00045 136598 98773.9 5.0277 0.436857 0.26582 0.563405 0.237151 0.14685 -61.13107 -11557.12 -11618.25
