,mean,sd,2.50%,97.50%,Rhat
buildSrxn1Base.1.,0.045643471,0.005023091,0.0356201,0.0552683,1.059970032
degradSrxn1.1.,0.010236165,0.00078698,0.00907504,0.0120356,1.02173269
Vmax_buildSrxn1.1.,56228.32521,1028.308294,54249.2625,58308.825,1.07272791
Km.1.,3194.813022,169.7501548,2877.64375,3501.03875,1.728799586
hill.1.,1.412209402,0.010338428,1.39349,1.43207,1.828761024
Vmax_buildSrxn1.1.1.,56113.46149,1191.638909,53805.4625,58471.525,1.054122516
Vmax_buildSrxn1.1.2.,56360.68765,1175.050783,54081.7,58701.5875,1.052784418
Vmax_buildSrxn1.1.3.,57802.6502,1162.358158,55548.8,60065.7,1.062219936
Vmax_buildSrxn1.1.4.,57427.26881,1172.683813,55156.6,59719.1,1.07135123
Vmax_buildSrxn1.1.5.,58627.20605,1195.175232,56343.825,60965.5,1.068849151
Vmax_buildSrxn1.1.6.,49671.90712,1095.728812,47614.3,51858.325,1.059866934
