,mean,sd,2.50%,97.50%,Rhat
buildSrxn1Base.1.,0.021136497,0.000135873,0.0210036,0.021499693,1.004650126
degradSrxn1.1.,0.030489921,0.000309551,0.029906448,0.0310947,1.009362796
Kact.1.,0.03947739,0.001525753,0.0365223,0.042445608,1.031417343
hill.1.,1.000293713,0.000281274,1.00001,1.00108,1.008976505
Vmax_buildSrxn1.1.,136494.3859,898.6766773,134719.05,138362,1.014027532
Km.1.,99016.61652,830.5996696,97288.5,100507,1.023941783
hill_act.1.,5.053017017,0.054883317,5.00105,5.20361,1.001495323
fraction_x.1.,0.248987322,0.187888665,0.0104853,0.697529,0.999912684
fraction_x.1.1.,0.265387128,0.005755814,0.254138,0.276574,1.032693087
fraction_x.1.2.,0.562942518,0.003835892,0.555176675,0.570357825,1.020626074
fraction_x.1.3.,0.235506621,0.007022892,0.221878,0.248636,1.024989639
fraction_x.1.4.,0.145669767,0.005916984,0.13422065,0.157439,1.034426633
